"Prezime";"Ime";"Vrijeme";"Klasifikator";"Dugo";"km";"m/u";"KT staze"
"Štambuk";"Andro Vladimir";"15:38";0;"M12";"1.4";95;9
"Puhariæ";"Roko";"22:03";0;"M12";"1.4";95;9
"Gobec";"Jan";"32:33";0;"M12";"1.4";95;9
"Jašiæ";"Mirza";"33:43";0;"M12";"1.4";95;9
"Težak";"Karlo";"38:17";0;"M12";"1.4";95;9
"Lukaèek";"Dalibor";"38:49";0;"M12";"1.4";95;9
"Gobec";"Timo Vilim";"58:54";0;"M12";"1.4";95;9
"Greblièki";"Filip";"18:36";3;"M12";"1.4";95;9
"Jagarinec";"Josip";;1;"M12";"1.4";95;9
"Tišljar";"Ana";"19:40";0;"Ž12";"1.4";95;9
"Ocvirk";"Pia";"20:49";0;"Ž12";"1.4";95;9
"Lovrec";"Mia";"25:55";0;"Ž12";"1.4";95;9
"Košuljandiæ";"Iva";"28:33";0;"Ž12";"1.4";95;9
"Pajèin";"Lana";"42:06";0;"Ž12";"1.4";95;9
"Allwinger";"Otto";"21:08";0;"OPEN";"1.2";90;8
"Puhariæ";"Samo";"28:10";0;"OPEN";"1.2";90;8
"Peucelle";"Erika";"35:32";0;"OPEN";"1.2";90;8
"Lesjak";"Jelena";"46:18";0;"OPEN";"1.2";90;8
"Lesjak";"Jakov";"38:02";3;"OPEN";"1.2";90;8
"Ocvirk";"Eva";"23:31";0;"Ž35";"1.6";115;10
"Janžek";"Smiljana";"27:06";0;"Ž35";"1.6";115;10
"Vukeliæ";"Ana";"28:16";0;"Ž35";"1.6";115;10
"Punek Gobec";"Neda";"29:21";0;"Ž35";"1.6";115;10
"Pletikosa";"Zvjezdana";"30:55";0;"Ž35";"1.6";115;10
"Lovrec";"Darinka";"34:57";0;"Ž35";"1.6";115;10
"Cindriæ Perkoviæ";"Jasminka";"35:01";0;"Ž35";"1.6";115;10
"Štambuk";"Dario";"23:12";0;"M35";"2.1";120;15
"Delgado";"Francisco";"23:13";0;"M35";"2.1";120;15
"Merunka";"Darko";"25:26";0;"M35";"2.1";120;15
"Prelog";"Zlatko";"30:20";0;"M35";"2.1";120;15
"Vukeliæ";"Bojan";"30:50";0;"M35";"2.1";120;15
"Orehoci";"Robert";"31:25";0;"M35";"2.1";120;15
"Tkalec";"Robert";"35:56";0;"M35";"2.1";120;15
"Klariæ";"Darko";"39:01";0;"M35";"2.1";120;15
"Štambuk";"Matej";"18:09";0;"M20";"2.1";120;15
"Štambuk";"Mario";"18:58";0;"M20";"2.1";120;15
"Perica";"Petar";"23:20";0;"M20";"2.1";120;15
"Mikulèiæ";"Ivor";"24:03";0;"M20";"2.1";120;15
"Janžek";"Lovro";"39:54";0;"M20";"2.1";120;15
"Koèila";"Mihaela";"27:07";0;"Ž20";"1.7";125;13
"Sokoloviæ";"Hana";"37:47";0;"Ž20";"1.7";125;13
"Jeliæ";"Ivona";"1:04:25";0;"Ž20";"1.7";125;13
"Štambuk";"Marija";;1;"Ž20";"1.7";125;13
"Lovrec";"Iva";"30:40";0;"Ž16";"1.6";115;10
"Težak";"Dora";"35:57";0;"Ž16";"1.6";115;10
"Jeliæ";"Iris";"59:35";0;"Ž16";"1.6";115;10
"Vrbeta";"Anamaria";"40:04";3;"Ž16";"1.6";115;10
"Mihaljeviæ";"Luka";"21:23";0;"M16";"1.7";115;15
"Malnar";"Patrik";"24:30";0;"M16";"1.7";115;15
"Tišljar";"Antun";"33:52";0;"M16";"1.7";115;15
"Vukmanoviæ";"Vinka";"19:22";0;"Ž21A";"1.8";130;14
"Leljak";"Nevija";"20:46";0;"Ž21A";"1.8";130;14
"Stepan";"Nikolina";"21:53";0;"Ž21A";"1.8";130;14
"Štimac";"Linda";"22:39";0;"Ž21A";"1.8";130;14
"Orliæ";"Antonija";"23:02";0;"Ž21A";"1.8";130;14
"Gobec";"Ivana";"23:55";0;"Ž21A";"1.8";130;14
"Lesjak";"Sonja";"24:45";0;"Ž21A";"1.8";130;14
"Petranoviæ";"Barbara";"25:23";0;"Ž21A";"1.8";130;14
"Žgela";"Marijana";"25:46";0;"Ž21A";"1.8";130;14
"Žužiæ";"Sanja";"25:57";0;"Ž21A";"1.8";130;14
"Gudalovic";"Ana";"27:51";0;"Ž21A";"1.8";130;14
"Bedekoviæ Tankoviæ";"Martina";"44:17";0;"Ž21A";"1.8";130;14
"Razum";"Matija";"18:41";0;"M21A";"2.2";130;13
"Legac";"Lino";"19:41";0;"M21A";"2.2";130;13
"Štanfel";"Matjaž";"19:56";0;"M21A";"2.2";130;13
"Bijeliæ";"Vedran";"21:10";0;"M21A";"2.2";130;13
"Kaniski";"Tomislav";"21:26";0;"M21A";"2.2";130;13
"Gobec";"Damir";"21:54";0;"M21A";"2.2";130;13
"Ocvirk";"Edi";"22:12";0;"M21A";"2.2";130;13
