Prezime;Ime;Vrijeme;Klasifikator;Dugo;km;m/u;KT staze
"Štambuk";"Andro Vladimir";"22:43";"0";"M12";"2.4";"75";"10"
"Cvetkoviæ";"Filip";"35:07";"0";"M12";"2.4";"75";"10"
"Kuèinac";"Matija";"36:52";"0";"M12";"2.4";"75";"10"
"Puhariæ";"Roko";"37:46";"0";"M12";"2.4";"75";"10"
"Gobec";"Jan";"42:46";"0";"M12";"2.4";"75";"10"
"Gobec";"Timo";"49:52";"0";"M12";"2.4";"75";"10"
"Letica";"Ivan";"51:56";"0";"M12";"2.4";"75";"10"
"Težak";"Karlo";"53:11";"0";"M12";"2.4";"75";"10"
"Korper";"Bruno";"56:26";"0";"M12";"2.4";"75";"10"
"Mladenoviæ";"Filip";"58:46";"0";"M12";"2.4";"75";"10"
"Smrekar";"Leo";"60:27";"0";"M12";"2.4";"75";"10"
"Petrliæ";"Matej";"99:54";"0";"M12";"2.4";"75";"10"
"Greblièki";"Filip";"";"3";"M12";"2.4";"75";"10"
"Jašiæ";"Mirza";"";"3";"M12";"2.4";"75";"10"
"Tišljar";"Antun";"31:30";"0";"M14";"2.6";"80";"11"
"Vujaniæ";"Josip";"31:34";"0";"M14";"2.6";"80";"11"
"Vujaniæ";"Filip";"33:13";"0";"M14";"2.6";"80";"11"
"Miljkoviæ";"Borna";"45:05";"0";"M14";"2.6";"80";"11"
"Medaniæ";"David";"56:13";"0";"M14";"2.6";"80";"11"
"Jašiæ";"Elkaz";"68:53";"0";"M14";"2.6";"80";"11"
"Lehpamer";"Lovro";"96:28";"0";"M14";"2.6";"80";"11"
"Malnar";"Patrik";"78:07";"0";"M16";"4.9";"190";"12"
"Mihaljeviæ";"Luka";"93:06";"0";"M16";"4.9";"190";"12"
"Borisavljeviæ";"Karlo";"145:59";"0";"M16";"4.9";"190";"12"
"Skukan";"Filip";"61:14";"3";"M16";"4.9";"190";"12"
"Štambuk";"Mario";"48:16";"0";"M20";"5.6";"220";"12"
"Štambuk";"Matej";"52:57";"0";"M20";"5.6";"220";"12"
"Mikulèiæ";"Ivor";"61:12";"0";"M20";"5.6";"220";"12"
"Perica";"Petar";"85";"0";"M20";"5.6";"220";"12"
"Legac";"Lino";"56:40";"0";"M21A";"8.3";"310";"17"
"Bijeliæ";"Vedran";"61:41";"0";"M21A";"8.3";"310";"17"
"Kaniški";"Tomislav";"62:51";"0";"M21A";"8.3";"310";"17"
"Ocvirk";"Edi";"63:13";"0";"M21A";"8.3";"310";"17"
"Salopek";"Tihomir";"65:19";"0";"M21A";"8.3";"310";"17"
"Razum";"Matija";"65:39";"0";"M21A";"8.3";"310";"17"
"Pongrac";"Branimir";"74:54";"0";"M21A";"8.3";"310";"17"
"Varnica";"Tomislav";"78";"0";"M21A";"8.3";"310";"17"
"Fabijaniæ";"Daniel";"78:46";"0";"M21A";"8.3";"310";"17"
"Miljkoviæ";"Damir";"80:26";"0";"M21A";"8.3";"310";"17"
"Tot";"Nikola";"82:20";"0";"M21A";"8.3";"310";"17"
"Markoviæ";"Frane";"86";"0";"M21A";"8.3";"310";"17"
"Spasiæ";"Vladimir";"86:48";"0";"M21A";"8.3";"310";"17"
"Grbac";"Edi";"89:50";"0";"M21A";"8.3";"310";"17"
"Vukmanoviæ";"Mladen";"90:02";"0";"M21A";"8.3";"310";"17"
"Surjan";"Darko";"90:09";"0";"M21A";"8.3";"310";"17"
"Suban";"Damir";"92:03";"0";"M21A";"8.3";"310";"17"
"Stanèiæ Vidraè";"Nino";"121:17";"0";"M21A";"8.3";"310";"17"
"Gveriæ";"Ivan";"140:52";"0";"M21A";"8.3";"310";"17"
"Maroviæ";"Goran";"178:37";"0";"M21A";"8.3";"310";"17"
"Joviæ";"Ante";"85:28";"3";"M21A";"8.3";"310";"17"
"Dražiæ";"Jurica";"";"3";"M21A";"8.3";"310";"17"
"Gamberger";"Marko";"40:14";"0";"M21B";"4.4";"150";"13"
"Leovac";"Josip";"44:51";"0";"M21B";"4.4";"150";"13"
"Tusiæ";"Andrija";"48:05";"0";"M21B";"4.4";"150";"13"
