"Surname";"First name";"Time";"Classifier";"Long";"km";"m";"Course controls"
"Ocvirk";"Edi";"106:03";0;"M21A";"11.7";610;24
"Salopek";"Tihomir";"126:51";0;"M21A";"11.7";610;24
"Gobec";"Damir";"129:41";0;"M21A";"11.7";610;24
"Berkovic";"Vedran";"153:52";0;"M21A";"11.7";610;24
"Suban";"Damir";"154:04";0;"M21A";"11.7";610;24
"Varnica";"Tomislav";"158:37";0;"M21A";"11.7";610;24
"Èapeta";"Davor";"161:51";0;"M21A";"11.7";610;24
"Fabijaniæ";"Daniel";"171:23";0;"M21A";"11.7";610;24
"Vukmanoviæ";"Mladen";"171:38";0;"M21A";"11.7";610;24
"Surjan";"Darko";"172:32";0;"M21A";"11.7";610;24
"Markoviæ";"Frane";"176:16";0;"M21A";"11.7";610;24
"Razum";"Matija";;3;"M21A";"11.7";610;24
"Legac";"Lino";;3;"M21A";"11.7";610;24
"Spasiæ";"Vladimir";;3;"M21A";"11.7";610;24
"Štanfel";"Matjaž";;3;"M21A";"11.7";610;24
"Šubat";"Andrej";;3;"M21A";"11.7";610;24
"Joviæ";"Ante";;3;"M21A";"11.7";610;24
"Pretnar";"Janez";"79:46";3;"M21A";"11.7";610;24
"Bijeliæ";"Vedran";"118:36";3;"M21A";"11.7";610;24
"Lesjak";"Sonja";"100:35";0;"Ž21A";"7.5";415;13
"Gobec";"Ivana";"120:28";0;"Ž21A";"7.5";415;13
"Orliæ";"Antonija";"129:25";0;"Ž21A";"7.5";415;13
"Leljak";"Nevija";"133:47";0;"Ž21A";"7.5";415;13
"Štimac";"Linda";"153:11";0;"Ž21A";"7.5";415;13
"Sršen";"Matea";"184:12";0;"Ž21A";"7.5";415;13
"Vukmanoviæ";"Vinka";;3;"Ž21A";"7.5";415;13
"Gudaloviæ";"Ana";;3;"Ž21A";"7.5";415;13
"Petranoviæ";"Barbara";;3;"Ž21A";"7.5";415;13
"Stepan";"Nikolina";;1;"Ž21A";"7.5";415;13
"Turkalj";"Milan";"81:19";0;"M65";"3.9";180;6
"Vidoviæ";"Branko";"86:40";0;"M65";"3.9";180;6
"Branoviæ";"Stanislav";"108:32";0;"M65";"3.9";180;6
"Èepelak";"Radovan";"120:17";0;"M65";"3.9";180;6
"Debiæ";"Mladen";"152:24";0;"M65";"3.9";180;6
"Gobec";"Željko";;3;"M65";"3.9";180;6
"Belaj";"Željko";"80:34";0;"M55";"4.9";250;7
"Jasprica";"Damir";"94:56";0;"M55";"4.9";250;7
"Matijašiæ";"Josip";"164:58";0;"M55";"4.9";250;7
"Ulip";"Željko";;1;"M55";"4.9";250;7
"Cindriæ";"Marijan";;1;"M55";"4.9";250;7
"Lovrec";"Nenad";"55:45";0;"M45";"6.0";255;8
"Gobec";"Karlo";"68:00";0;"M45";"6.0";255;8
"Sladiè";"Roman";"84:34";0;"M45";"6.0";255;8
"Lukaèiæ";"Ivica";"92:21";0;"M45";"6.0";255;8
"Janžek";"Dražen";"112:33";0;"M45";"6.0";255;8
"Perica";"Mladen";"121:10";0;"M45";"6.0";255;8
"Sopina";"Slavko";"137:47";0;"M45";"6.0";255;8
"Jeliæ";"Mladen";;3;"M45";"6.0";255;8
"Košèak";"Željko";"72:32";0;"M35";"7.0";385;14
"Štambuk";"Dario";"81:27";0;"M35";"7.0";385;14
"Delgado";"Francisco";"95:16";0;"M35";"7.0";385;14
"Orehoci";"Robert";"98:18";0;"M35";"7.0";385;14
"Tisljar";"Ivo";"101:24";0;"M35";"7.0";385;14
"Merunka";"Darko";"107:42";0;"M35";"7.0";385;14
"Prelog";"Zlatko";"119:45";0;"M35";"7.0";385;14
"Vukeliæ";"Bojan";;3;"M35";"7.0";385;14
"Domjaniæ";"Tomislav";;1;"M35";"7.0";385;14
"Duhovic";"Darko";;1;"M35";"7.0";385;14
"Štefanac";"Marin";"48:00";0;"M21B";"4.9";250;7
"Grbac";"Edi";"53:39";0;"M21B";"4.9";250;7
"Gveriæ";"Ivan";"65:49";0;"M21B";"4.9";250;7
"Jeliæ";"Ivor";"90:18";0;"M21B";"4.9";250;7
"Dražiæ";"Jurica";"99:28";0;"M21B";"4.9";250;7
"Tkalec";"Robert";"102:37";0;"M21B";"4.9";250;7
"Jalšovec";"Nenad";"130:49";0;"M21B";"4.9";250;7
"Cindriæ";"Hrvoje";"135:30";0;"M21B";"4.9";250;7
"Bilic";"Ivan";;3;"M21B";"4.9";250;7
"Opaliæ";"Boško";;3;"M21B";"4.9";250;7
