"Surname";"First name";"Time";"Classifier";"Long";"duzina";"uspon";"kontrola"
"Štanfel";"Matjaž";"36:38";"0";"M21A";"4.7";"150";"14"
"Razum";"Matija";"40:51";"0";"M21A";"4.7";"150";"14"
"Kaniški";"Tomislav";"47:24";"0";"M21A";"4.7";"150";"14"
"Ocvirk";"Edi";"50:03";"0";"M21A";"4.7";"150";"14"
"Vukmanoviæ";"Mladen";"54:52";"0";"M21A";"4.7";"150";"14"
"Pongrac";"Branimir";"56:14";"0";"M21A";"4.7";"150";"14"
"Gobec";"Damir";"59:49";"0";"M21A";"4.7";"150";"14"
"Telišman";"Mario";"61:32";"0";"M21A";"4.7";"150";"14"
"Salopek";"Tihomir";"62:51";"0";"M21A";"4.7";"150";"14"
"Varnica";"Tomislav";"70:59";"0";"M21A";"4.7";"150";"14"
"Surjan";"Darko";"71:26";"0";"M21A";"4.7";"150";"14"
"Suban";"Damir";"73:38";"0";"M21A";"4.7";"150";"14"
"Budi";"Franjo";"0";"3";"M21A";"4.7";"150";"14"
"Legac";"Lino";"0";"3";"M21A";"4.7";"150";"14"
"Markoviæ";"Frane";"0";"3";"M21A";"4.7";"150";"14"
"Vukmanoviæ";"Vinka";"42:48";"0";"Ž21A";"3.9";"155";"12"
"Gobec";"Ivana";"43:54";"0";"Ž21A";"3.9";"155";"12"
"Stepan";"Nikolina";"45:20";"0";"Ž21A";"3.9";"155";"12"
"Orliæ";"Antonija";"50:40";"0";"Ž21A";"3.9";"155";"12"
"Èepelak";"Radovan";"56:59";"0";"M65";"2.3";"75";"6"
"Debiæ";"Mladen";"62:51";"0";"M65";"2.3";"75";"6"
"Cindriæ";"Marijan";"55:00";"0";"M55";"3.5";"140";"7"
"Pongrac";"Ivan";"57:01";"0";"M55";"3.5";"140";"7"
"Matijašiæ";"Josip";"63:53";"0";"M55";"3.5";"140";"7"
"Lovrec";"Nenad";"47:53";"0";"M45";"3.9";"155";"12"
"Gobec";"Karlo";"50:03";"0";"M45";"3.9";"155";"12"
"Lukaèiæ";"Ivica";"69:23";"0";"M45";"3.9";"155";"12"
"Perica";"Mladen";"72:26";"0";"M45";"3.9";"155";"12"
"Jeliæ";"Mladen";"75:04";"0";"M45";"3.9";"155";"12"
"Štambuk";"Dario";"42:33";"0";"M35";"4";"145";"11"
"Delgado";"Francisco";"45:29";"0";"M35";"4";"145";"11"
"Vukeliæ";"Bojan";"56:15";"0";"M35";"4";"145";"11"
"Merunka";"Darko";;"3";"M35";"4";"145";"11"
"Slijepèeviæ";"Siniša";;"3";"M35";"4";"145";"11"
"Odoviæ";"Luka";"33:54";"0";"M21B";"3.5";"140";"7"
"Jeliæ";"Ivor";"37:24";"0";"M21B";"3.5";"140";"7"
"Leovac";"Josip";"54:13";"0";"M21B";"3.5";"140";"7"
"Puhariæ";"Samo";"60:48";"0";"M21B";"3.5";"140";"7"
"Biliæ";"Ivan";"61:06";"0";"M21B";"3.5";"140";"7"
"Cvetkoviæ";"Robert";"71:29";"0";"M21B";"3.5";"140";"7"
"Tkalec";"Robert";;"3";"M21B";"3.5";"140";"7"
"Delost";"Vedran";;"3";"M21B";"3.5";"140";"7"
"Štambuk";"Mario";"38:23";"0";"M20";"4";"145";"11"
"Perica";"Petar";"75:03";"0";"M20";"4";"145";"11"
"Pahor";"Matjaž";;"3";"M20";"4";"145";"11"
"Štambuk";"Matej";;"3";"M20";"4";"145";"11"
"Malnar";"Patrik";"38:07";"0";"M16";"3.5";"140";"7"
"Mihaljeviæ";"Luka";"60:20";"0";"M16";"3.5";"140";"7"
"Borisavljeviæ";"Karlo";"63:52";"0";"M16";"3.5";"140";"7"
"Vujaniæ";"Josip";"30:32";"0";"M14";"2.3";"75";"6"
"Vujaniæ";"Filip";"32:06";"0";"M14";"2.3";"75";"6"
"Medaniæ";"David";"59:16";"0";"M14";"2.3";"75";"6"
"Tkalec";"Nikola";;"3";"M14";"2.3";"75";"6"
"Štambuk";"Andro Vladimir";"14:19";"0";"M12";"1.7";"65";"5"
"Puhariæ";"Roko";"15:42";"0";"M12";"1.7";"65";"5"
"Cvetkoviæ";"Filip";"18:14";"0";"M12";"1.7";"65";"5"
"Gobec";"Jan";"20:38";"0";"M12";"1.7";"65";"5"
"Gobec";"Timo Vilim";"22:42";"0";"M12";"1.7";"65";"5"
"Tkalec";"Vedran";;"3";"M12";"1.7";"65";"5"
"Fabek";"Branka";"46:10";"0";"Ž45";"2.7";"100";"7"
"Cvitkoviæ";"Maja";"55:02";"0";"Ž45";"2.7";"100";"7"
"Ebenspanger";"Emilija";"58:18";"0";"Ž45";"2.7";"100";"7"
"Èuljak Gross";"Mladenka";"60:51";"0";"Ž45";"2.7";"100";"7"
"Ocvirk";"Eva";"37:39";"0";"Ž35";"3.5";"140";"7"
