"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspon";"kontrola"
"Janžek";"Gregor";"1:00:40";0;"M14";"6.3";255;8
"Borisavljeviæ";"Karlo";"1:06:36";0;"M14";"6.3";255;8
"Težak";"Karlo";"2:04:13";0;"M14";"6.3";255;8
"Gobec";"Timo Vilim";"2:10:01";0;"M14";"6.3";255;8
"Tkalec";"Nikola";;3;"M14";"6.3";255;8
"Gobec";"Lea Katarina";"1:03:32";0;"Ž14";"5.8";255;8
"Perica";"Petar";"1:27:04";0;"M 15-18";"9.3";390;13
"Janžek";"Lovro";"1:32:22";0;"M 15-18";"9.3";390;13
"Mihaljeviæ";"Luka";"1:50:22";0;"M 15-18";"9.3";390;13
"Marot";"Blaž";;1;"M 15-18";"9.3";390;13
"Lovrec";"Iva";"1:32:29";0;"Ž 15-18";"8.2";330;11
"Težak";"Dora";"1:39:02";0;"Ž 15-18";"8.2";330;11
"Lovrec";"Mia";"2:02:05";0;"Ž 15-18";"8.2";330;11
"Lovrec";"Nenad";"1:13:07";0;"M E";"13.9";525;18
"Berkoviæ";"Vedran";"1:15:29";0;"M E";"13.9";525;18
"Raj";"Grega";"1:16:42";0;"M E";"13.9";525;18
"Vidoviè";"Iztok";"1:23:18";0;"M E";"13.9";525;18
"Dorotiæ";"Igor";"1:31:04";0;"M E";"13.9";525;18
"Gobec";"Karlo";"1:44:45";0;"M E";"13.9";525;18
"Luka";"Bahun";"1:45:34";0;"M E";"13.9";525;18
"Golec";"Krešimir";"1:46:52";0;"M E";"13.9";525;18
"Andrejc";"Grega";"2:13:16";0;"M E";"13.9";525;18
"Šaronja";"Željko";"2:35:31";0;"M E";"13.9";525;18
"Andrejc";"David";"1:47:16";3;"M E";"13.9";525;18
"Pistor";"Matej";"1:12:12";3;"M E";"13.9";525;18
"Žužiæ";"Sanja";"1:41:21";0;"Ž E";"11.2";420;13
"Janžek";"Smiljana";"1:58:56";0;"Ž E";"11.2";420;13
"Vrdoljak";"Paula";"2:00:18";0;"Ž E";"11.2";420;13
"Kuhelnik";"Ina";"2:09:29";0;"Ž E";"11.2";420;13
"Balažiè";"Petja";"2:12:13";0;"Ž E";"11.2";420;13
"Gobec";"Ivana";"2:18:16";0;"Ž E";"11.2";420;13
"Punek Gobec";"Neda";"2:20:18";0;"Ž E";"11.2";420;13
"Cindriæ Perkoviæ";"Jasminka";"2:32:47";0;"Ž E";"11.2";420;13
"Koèila";"Mihaela";"3:10:56";0;"Ž E";"11.2";420;13
"Zavrl";"Maja";"3:11:44";0;"Ž E";"11.2";420;13
"Bertol";"Ivica";"1:04:17";0;"M kratka";"7.6";310;12
"Delgado";"Francisco";"1:27:23";0;"M kratka";"7.6";310;12
"Markešiæ";"Borko";"2:22:37";3;"M kratka";"7.6";310;12
"Kristan";"Martin";"1:31:52";0;"M45";"10.0";390;12
"Perica";"Mladen";"1:38:28";0;"M45";"10.0";390;12
"Janžek";"Dražen";"2:05:56";0;"M45";"10.0";390;12
"Kuhelnik";"Zvonko";"2:11:34";0;"M45";"10.0";390;12
"Vodovnik";"Mirko";"2:13:29";0;"M45";"10.0";390;12
"Sokoloviæ";"Alida";"2:17:04";0;"M45";"10.0";390;12
"Knez";"Jože";"3:13:21";0;"M45";"10.0";390;12
"Mihaljeviæ";"Nenad";"3:19:42";0;"M45";"10.0";390;12
