"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspod";"kontrola"
"Pistor";"Matej";"56:10";"0";"M E";"12.8";"335";"18"
"Vidoviè";"Iztok";"1:03:04";"0";"M E";"12.8";"335";"18"
"Berkoviæ";"Vedran";"1:04:41";"0";"M E";"12.8";"335";"18"
"Lovrec";"Nenad";"1:07:42";"0";"M E";"12.8";"335";"18"
"Dorotiæ";"Igor";"1:14:01";"0";"M E";"12.8";"335";"18"
"Sekuti";"Damjan";"1:16:03";"0";"M E";"12.8";"335";"18"
"Raj";"Grega";"1:16:56";"0";"M E";"12.8";"335";"18"
"Legac";"Lino";"1:22:22";"0";"M E";"12.8";"335";"18"
"Marot";"Blaž";"1:32:22";"0";"M E";"12.8";"335";"18"
"Šaronja";"Željko";"1:59:26";"0";"M E";"12.8";"335";"18"
"Gobec";"Karlo";;"1";"M E";"12.8";"335";"18"
"Šumah";"Robert";;"1";"M E";"12.8";"335";"18"
"Vrdoljak";"Paula";"1:14:55";"0";"Ž E";"10.5";"265";"12"
"Gobec";"Neda";"1:17:07";"0";"Ž E";"10.5";"265";"12"
"Raj";"Nastja";"1:23:11";"0";"Ž E";"10.5";"265";"12"
"Žužiæ";"Sanja";"1:28:58";"0";"Ž E";"10.5";"265";"12"
"Sokoloviæ";"Alida";;"3";"Ž E";"10.5";"265";"12"
"Janžek";"Smiljana";;"1";"Ž E";"10.5";"265";"12"
"Perica";"Mladen";"1:04:35";"0";"M45";"9.9";"220";"10"
"Vodovnik";"Mirko";"1:16:04";"0";"M45";"9.9";"220";"10"
"Matijašiæ";"Josip";"1:39:50";"0";"M45";"9.9";"220";"10"
"Mihaljeviæ";"Nenad";"1:25:16";"3";"M45";"9.9";"220";"10"
"Klariæ";"Darko";"1:10:16";"0";"M kratka";"10.5";"265";"12"
"Bertol";"Ivica";"1:14:28";"0";"M kratka";"10.5";"265";"12"
"Surjan";"Darko";"1:16:24";"0";"M kratka";"10.5";"265";"12"
"Begiæ";"Senad";"1:24:57";"0";"M kratka";"10.5";"265";"12"
"Kranjec";"Robert";"1:28:14";"0";"M kratka";"10.5";"265";"12"
"Æuriæ";"Tomislav";"1:28:20";"0";"M kratka";"10.5";"265";"12"
"Ilièiæ";"Goran";"1:30:58";"0";"M kratka";"10.5";"265";"12"
"Delgado";"Francisco";"1:33:21";"0";"M kratka";"10.5";"265";"12"
"Delost";"Vedran";"1:44:28";"0";"M kratka";"10.5";"265";"12"
"Opaliæ";"Boško";"1:51:50";"0";"M kratka";"10.5";"265";"12"
"Skukan";"Danko";"2:34:26";"0";"M kratka";"10.5";"265";"12"
"Šumbera";"Sanko";"2:41:39";"0";"M kratka";"10.5";"265";"12"
"Sinkiæ";"Mladen";;"1";"M kratka";"10.5";"265";"12"
"Hasanac";"Krešo";;"1";"M kratka";"10.5";"265";"12"
"Dobriæ";"Nives";"50:40";"0";"Ž kratka";"5.6";"160";"8"
"Kružiæ";"Tea";"51:41";"0";"Ž kratka";"5.6";"160";"8"
"Šaronja";"Andrea";"1:04:46";"0";"Ž kratka";"5.6";"160";"8"
"Bavèeviæ";"Ana";"1:11:28";"0";"Ž kratka";"5.6";"160";"8"
"Ištvanoviæ";"Ivana";"1:51:58";"0";"Ž kratka";"5.6";"160";"8"
"Mihelko";"Mihaela";;"1";"Ž kratka";"5.6";"160";"8"
"Perica";"Petar";"57:42";"0";"M 15-18";"9.9";"220";"10"
"Mihaljeviæ";"Luka";"59:28";"0";"M 15-18";"9.9";"220";"10"
"Skukan";"Filip";"1:37:17";"0";"M 15-18";"9.9";"220";"10"
"Janžek";"Lovro";;"1";"M 15-18";"9.9";"220";"10"
"Lovrec";"Iva";"44:39";"0";"Ž 15-18";"6.1";"180";"9"
"Borisavljeviæ";"Karlo";"56:31";"0";"M14";"5.6";"160";"8"
"Gobec";"Timo";"1:02:04";"0";"M14";"5.6";"160";"8"
"Janžek";"Gregor";;"1";"M14";"5.6";"160";"8"
"Gobec";"Lea Katarina";"29:55";"0";"Ž14";"3.5";"120";"8"
"Lovrec";"Mia";"56:20";"0";"Ž14";"3.5";"120";"8"
