"LAST NAME";"FIRST NAME";"CAT";"POINTS";"TIME";"FINISH";"CONTROLS";"TIME CONTROLS"
"Tišljar";"Ivo";"E";16;37;88,93;15;3
"Bertol";"Ivica";"E";15;35;83,7;15;3
"Tkalec";"Vladimir";"E";15;99;82,76;15;3
"Žužiæ";"Sanja";"E";13;42;73,07;15;3
"Opaliæ";"Boško";"E";13;48;72,98;15;3
"Perkoviæ";"Dalibor";"E";13;63;72,76;15;3
"Kuèinac";"Teodora";"E";13;75;75,29;15;3
"Lovrec";"Nenad";"E";13;97;72,27;15;3
"Gobec";"Karlo";"E";12;91;67,09;15;3
"Cindriæ Perkoviæ";"Jasminka";"E";12;97;67;15;3
"Vukeliæ";"Bojan";"E";12;214;65,29;15;3
"Tišljar";"Antun";"E";9;108;51,05;15;3
"Matijašiæ";"Josip";"E";8;150;45,18;15;3
"Lovrec";"Iva";"A";12;14;92,44;11;2
"Lovrec";"Mia";"A";11;17;85,21;11;2
"Gobec";"Lea Katarina";"A";11;20;85,12;11;2
"Gobec";"Jan";"A";10;36;77,5;11;2
"Težak";"Karlo";"A";10;86;76,01;11;2
"Tišljar";"Ana";"A";10;97;75,68;11;2
"Gobec";"Timo Vilim";"A";9;49;70,24;11;2
"Kuèinac";"Matija";"A";9;83;68,96;11;2
"Težak";"Dora";"A";9;137;67,35;11;2
