"Prezime";"Ime";"Vrijeme";"Klasifikator";"Dugo";"km";"m/u";"KT staze"
"Ocvirk";"Edi";"15:31";0;"M21";"3.2";15;26
"Razum";"Matija";"15:31";0;"M21";"3.2";15;26
"Bijeliæ";"Vedran";"17:30";0;"M21";"3.2";15;26
"Grbac";"Edi";"17:54";0;"M21";"3.2";15;26
"Legac";"Lino";"17:58";0;"M21";"3.2";15;26
"Èapeta";"Davor";"19:26";0;"M21";"3.2";15;26
"Budi";"Franjo";"20:48";0;"M21";"3.2";15;26
"Markoviæ";"Frane";"20:51";0;"M21";"3.2";15;26
"Leovac";"Josip";"25:41";0;"M21";"3.2";15;26
"Životiæ";"Filip";"27:19";0;"M21";"3.2";15;26
"Cvetkoviæ";"Robert";"31:24";0;"M21";"3.2";15;26
"Puhariæ";"Samo";"35:30";0;"M21";"3.2";15;26
"Šeperiæ Grdiša";"Ivan";"39:11";0;"M21";"3.2";15;26
"Kaniški";"Tomislav";;1;"M21";"3.2";15;26
"Stepan";"Nikolina";"16:32";0;"Ž21";"2.7";15;20
"Orliæ";"Antonija";"16:36";0;"Ž21";"2.7";15;20
"Gobec";"Ivana";"17:10";0;"Ž21";"2.7";15;20
"Tusiæ";"Anamaria";"18:16";0;"Ž21";"2.7";15;20
"Beblek";"Ana";"18:38";0;"Ž21";"2.7";15;20
"Žgela";"Marijana";"19:59";0;"Ž21";"2.7";15;20
"Sršen";"Matea";"20:37";0;"Ž21";"2.7";15;20
"Gobec";"Neda";"20:55";0;"Ž21";"2.7";15;20
"Haramija";"Marija";"34:00";0;"Ž21";"2.7";15;20
"Kružiæ";"Tea";;1;"Ž21";"2.7";15;20
"Štambuk";"Matej";"14:44";0;"M20";"2.8";10;20
"Štambuk";"Mario";"15:17";0;"M20";"2.8";10;20
"Sokoloviæ";"Hana";"24:22";0;"Ž20";"2.1";10;15
"Malnar";"Patrik";"11:17";0;"M16";"2.1";10;15
"Mihaljeviæ";"Luka";"12:02";0;"M16";"2.1";10;15
"Lehpamer";"Lovro";"27:09";0;"M16";"2.1";10;15
"Medaniæ";"David";"27:48";0;"M16";"2.1";10;15
"Skukan";"Filip";"34:44";0;"M16";"2.1";10;15
"Borisavljeviæ";"Karlo";;1;"M16";"2.1";10;15
"Lovrec";"Iva";"13:10";0;"Ž16";"1.8";10;11
"Težak";"Dora";"14:31";0;"Ž16";"1.8";10;11
"Gobec";"Lea Katarina";"17:20";0;"Ž16";"1.8";10;11
"Vata";"Ema";"24:02";0;"Ž16";"1.8";10;11
"Druèak";"Hana";"26:01";0;"Ž16";"1.8";10;11
"Puhariæ";"Roko";"7:52";0;"M12";"1.2";5;9
"Štambuk";"Andro Vladimir";"8:05";0;"M12";"1.2";5;9
"Težak";"Karlo";"10:14";0;"M12";"1.2";5;9
"Gobec";"Jan";"10:22";0;"M12";"1.2";5;9
"Gobec";"Timo";"10:58";0;"M12";"1.2";5;9
"Cvetkoviæ";"Filip";"14:09";0;"M12";"1.2";5;9
"Letica";"Ivan";;1;"M12";"1.2";5;9
"Ocvirk";"Pia";"6:57";0;"Ž12";"1.2";5;9
"Lovrec";"Mia";"8:26";0;"Ž12";"1.2";5;9
"Košuljandiæ";"Iva";"11:06";0;"Ž12";"1.2";5;9
"Ocvirk";"Til";"13:45";0;"Ž12";"1.2";5;9
"Štambuk";"Zdenka Petra";"42:08";0;"Ž12";"1.2";5;9
"Orehoci";"Robert";"15:11";0;"M35";"2.8";10;20
"Lovrec";"Nenad";"16:29";0;"M35";"2.8";10;20
"Štambuk";"Dario";"17:01";0;"M35";"2.8";10;20
"Delgado";"Francisco";"17:58";0;"M35";"2.8";10;20
"Gobec";"Karlo";"18:56";0;"M35";"2.8";10;20
"Vukeliæ";"Bojan";"20:33";0;"M35";"2.8";10;20
"Horjan";"Zdenko";"22:50";0;"M35";"2.8";10;20
"Jeliæ";"Mladen";"25:53";0;"M35";"2.8";10;20
"Sokoloviæ";"Slobodan";"27:58";0;"M35";"2.8";10;20
"Matijašiæ";"Josip";"28:46";0;"M35";"2.8";10;20
"Turkalj";"Milan";"30:55";0;"M35";"2.8";10;20
"Branoviæ";"Stanislav";"36:05";0;"M35";"2.8";10;20
"Božinoviæ";"Milan";"43:02";0;"M35";"2.8";10;20
"Jasprica";"Damir";"30:34";3;"M35";"2.8";10;20
"Težak";"Robert";;1;"M35";"2.8";10;20
"Ocvirk";"Eva";"10:49";0;"Ž35";"1.8";10;11
"Vukeliæ";"Ana";"12:22";0;"Ž35";"1.8";10;11
"Lovrec";"Darinka";"14:22";0;"Ž35";"1.8";10;11
"Cvitkoviæ";"Maja";"15:58";0;"Ž35";"1.8";10;11
"Jakšiæ";"Mirka";"16:46";0;"Ž35";"1.8";10;11
"Ebenspanger";"Emilija";"17:27";0;"Ž35";"1.8";10;11
"Tusiæ";"Rozmari";"17:42";0;"Ž35";"1.8";10;11
"Dobriæ";"Nives";;1;"Ž35";"1.8";10;11
"Fabek";"Branka";;1;"Ž35";"1.8";10;11
"Sokoloviæ";"Alida";;1;"Ž35";"1.8";10;11
"Nikoliæ";"Bojana";;1;"Ž35";"1.8";10;11
"Spudiæ";"Valeria";"15:48";0;"OPEN";"1.2";5;9
"Karloviæ";"Luka";"16:39";0;"OPEN";"1.2";5;9
"Strmeèki";"Vibor";"18:46";0;"OPEN";"1.2";5;9
"Holenda";"Karmen";"18:56";0;"OPEN";"1.2";5;9
"Popoviæ Budi";"Daniela";"20:07";0;"OPEN";"1.2";5;9
"Tomašiæ";"Laura";"21:44";0;"OPEN";"1.2";5;9
"Golubiæ";"Vlado";"1:11:39";0;"OPEN";"1.2";5;9
"Skukan";"Danko";;1;"OPEN";"1.2";5;9
