"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspon";"kontrola"
"Gobec";"Timo Vilim";"23:06";0;"M12";"2.2";"65";"7"
"Gobec";"Jan";"24:28";0;"M12";"2.2";"65";"7"
"Pejèinoviæ";"Luka";"27:07";0;"M12";"2.2";"65";"7"
"Štambuk";"Andro Vladimir";"22:31";0;"M14";"2.3";"75";"8"
"Lehpamer";"Lovro";"27:12";0;"M14";"2.3";"75";"8"
"Puhariæ";"Roko";"37:02";0;"M14";"2.3";"75";"8"
"Cvetkoviæ";"Filip";"38:10";0;"M14";"2.3";"75";"8"
"Považanj";"Borislav";"48:10";0;"M14";"2.3";"75";"8"
"Tisljar";"Antun";"mp";1;"M14";"2.3";"75";"8"
"Ivkoviæ";"Luka";"31:23";0;"M16";"2.9";"105";"11"
"Borisavljeviæ";"Karlo";"33:51";0;"M16";"2.9";"105";"11"
"Malnar";"Patrik";"39:10";0;"M16";"2.9";"105";"11"
"Mihaljeviæ";"Luka";"47:17";0;"M16";"2.9";"105";"11"
"Štambuk";"Matej";"37:34";0;"M20";"3.6";"160";"13"
"Perica";"Petar";"41:42";0;"M20";"3.6";"160";"13"
"Štambuk";"Mario";"57:53";0;"M20";"3.6";"160";"13"
"Razum";"Matija";"34:03";0;"M21A";"4.4";"170";"17"
"Ocvirk";"Edi";"36:32";0;"M21A";"4.4";"170";"17"
"Bijeliæ";"Vedran";"38:18";0;"M21A";"4.4";"170";"17"
"Varnica";"Tomislav";"46:34";0;"M21A";"4.4";"170";"17"
"Palinkaš";"Saša";"47:14";0;"M21A";"4.4";"170";"17"
"Vujasinoviæ";"Stevan";"48:18";0;"M21A";"4.4";"170";"17"
"Milišiæ-Zeèeviæ";"Angel";"48:41";0;"M21A";"4.4";"170";"17"
"Draušnik";"Ivan";"52:39";0;"M21A";"4.4";"170";"17"
"Spasiæ";"Vladimir";"59:19";0;"M21A";"4.4";"170";"17"
"Gobec";"Damir";"62:49";0;"M21A";"4.4";"170";"17"
"Andraèiæ";"Zoran";"dnf";1;"M21A";"4.4";"170";"17"
"Cindriæ";"Hrvoje";"dns";1;"M21A";"4.4";"170";"17"
"Považanj";"Željko";"25:35";0;"M21B";"2.2";"60";"8"
"Cvetkoviæ";"Robert";"31:27";0;"M21B";"2.2";"60";"8"
"Puhariæ";"Samo";"49:35";0;"M21B";"2.2";"60";"8"
"Telišman";"Mario";"dns";1;"M21B";"2.2";"60";"8"
"Orehoci";"Robert";"31:41";0;"M35";"3.4";"115";"12"
