"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspon";"kontrola"
"Gobec";"Timo Vilim";"74:33";"0";"M12";"1.85";"60";"8"
"Tkalec";"Vedran";"115:25";"0";"M12";"1.85";"60";"8"
"Pejèinoviæ";"Luka";"dns";"1";"M12";"1.85";"60";"8"
"Jakopec";"Matej";"dns";"1";"M12";"1.85";"60";"8"
"Štambuk";"Andro Vladimir";"31:12";"0";"M14";"2.57";"100";"9"
"Tisljar";"Antun";"36:43";"0";"M14";"2.57";"100";"9"
"Puhariæ";"Roko";"44:17";"0";"M14";"2.57";"100";"9"
"Lehpamer";"Lovro";"64:39";"0";"M14";"2.57";"100";"9"
"Cvetkoviæ";"Filip";"70:53";"0";"M14";"2.57";"100";"9"
"Renic";"Marko";"82:55";"0";"M14";"2.57";"100";"9"
"Malnar";"Patrik";"65:55";"0";"M16";"4.05";"180";"12"
"Mihaljeviæ";"Luka";"70:37";"0";"M16";"4.05";"180";"12"
"Janžek";"Gregor";"81:37";"0";"M16";"4.05";"180";"12"
"Ivkoviæ";"Luka";"117:26";"0";"M16";"4.05";"180";"12"
"Matijeviæ";"Danilo";"137:42";"0";"M16";"4.05";"180";"12"
"Babiæ";"Domagoj";"dns";"3";"M16";"4.05";"180";"12"
"Tkalec";"Nikola";"dns";"3";"M16";"4.05";"180";"12"
"Perica";"Petar";"90:37";"0";"M20";"5.69";"230";"14"
"Štambuk";"Mario";"97:10";"0";"M20";"5.69";"230";"14"
"Ugljareviæ";"Tomislav";"111:54";"0";"M20";"5.69";"230";"14"
"Gaziæ";"Ivan";"145:27";"0";"M20";"5.69";"230";"14"
"Poliæ";"Ivan";"157:09";"0";"M20";"5.69";"230";"14"
"Èamber";"Tomislav";"157:31";"0";"M20";"5.69";"230";"14"
"Janžek";"Lovro";"191:32";"0";"M20";"5.69";"230";"14"
"Matiæ";"Marko";"212:34";"0";"M20";"5.69";"230";"14"
"Štanfel";"Matjaž";"66:44";"0";"M21A";"9.13";"380";"24"
"Razum";"Matija";"79:21";"0";"M21A";"9.13";"380";"24"
"Legac";"Lino";"80:00";"0";"M21A";"9.13";"380";"24"
"Bijeliæ";"Vedran";"83:43";"0";"M21A";"9.13";"380";"24"
"Vukmanoviæ";"Mladen";"116:27";"0";"M21A";"9.13";"380";"24"
"Nikola";"Toni";"131:52";"0";"M21A";"9.13";"380";"24"
"Suhina";"Vanja";"146:37";"0";"M21A";"9.13";"380";"24"
"Ocvirk";"Edi";"dns";"3";"M21A";"9.13";"380";"24"
"Golec";"Krešimir";"dnf";"3";"M21A";"9.13";"380";"24"
"Jeliæ";"Ivor";"68:27";"0";"M21B";"4.05";"160";"13"
"Odoviæ";"Luka";"70:18";"0";"M21B";"4.05";"160";"13"
