Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 1;Èas+
M12     (1850m, 60m)
1.;31;Gobec Timo Vilim;M12;Vihor;CRO;74:33;
2.;1;Tkalec Vedran;M12;OKM;CRO;115:25;+40:52
;60;Pejèinoviæ Luka;M12;JAP;CRO;dns;
;102;Jakopec Matej;M12;OK Sova;CRO;dns;

M14     (2570m, 100m)
1.;128;Štambuk Andro Vladimir;M14;IME;CRO;31:12;
2.;139;Tisljar Antun;M14;ORI;CRO;36:43;+05:31
3.;64;Puhariæ Roko;M14;JAP;CRO;44:17;+13:05
4.;63;Lehpamer Lovro;M14;JAP;CRO;64:39;+33:27
5.;65;Cvetkoviæ Filip;M14;JAP;CRO;70:53;+39:41
6.;138;Renic Marko;M14;ORI;CRO;82:55;+51:43

M16     (4050m, 180m)
1.;48;Malnar Patrik;M16;RIS;CRO;65:55;
2.;40;Mihaljeviæ Luka;M16;Vihor;CRO;70:37;+04:42
3.;11;Janžek Gregor;M16;OKM;CRO;81:37;+15:42
4.;107;Ivkoviæ Luka;M16;OK Sova;CRO;117:26;+51:31
5.;106;Matijeviæ Danilo;M16;OK Sova;CRO;137:42;+71:47
;105;Babiæ Domagoj;M16;OK Sova;CRO;dns;
;4;Tkalec Nikola;M16;OKM;CRO;dns;

M17-20     (5690m, 230m)
1.;15;Perica Petar;M17-20;BJE;CRO;90:37;
2.;142;Štambuk Mario;M17-20;IME;CRO;97:10;+06:33
3.;54;Ugljareviæ Tomislav;M17-20;RIS;CRO;111:54;+21:17
4.;119;Gaziæ Ivan;M17-20;OK Sova;CRO;145:27;+54:50
5.;121;Poliæ Ivan;M17-20;OK Sova;CRO;157:09;+66:32
6.;;Èamber Tomislav;M17-20;OK Sova;CRO;157:31;+66:54
7.;13;Janžek Lovro;M17-20;OKM;CRO;191:32;+100:55
8.;120;Matiæ Marko;M17-20;OK Sova;CRO;212:34;+121:57

M21A     (9130m, 380m)
1.;52;Štanfel Matjaž;M21A;RIS;CRO;66:44;
2.;70;Razum Matija;M21A;JAP;CRO;79:21;+12:37
3.;71;Legac Lino;M21A;JAP;CRO;80:00;+13:16
4.;21;Bijeliæ Vedran;M21A;BJE;CRO;83:43;+16:59
5.;83;Vukmanoviæ Mladen;M21A;KAP;CRO;116:27;+49:43
6.;51;Nikola Toni;M21A;RIS;CRO;131:52;+65:08
7.;29;Suhina Vanja;M21A;Vihor;CRO;146:37;+79:53
;58;Ocvirk Edi;M21A;JAP;CRO;dns;
;42;Golec Krešimir;M21A;Vihor;CRO;dnf;

M21B     (4050m, 160m)
1.;79;Jeliæ Ivor;M21B;KAP;CRO;68:27;
2.;100;Odoviæ Luka;M21B;TOR;CRO;70:18;+01:51
3.;117;Rudec Ivan;M21B;OK Sova;CRO;72:34;+04:07
4.;114;Trivunoviæ Vlado;M21B;OK Sova;CRO;75:12;+06:45
