Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 2;Èas+
M12     (2520m, 110m)
1.;31;Gobec Timo Vilim;M12;Vihor;CRO;50:28;
;102;Jakopec Matej;M12;OK Sova;CRO;dns;

M14     (2270m, 150m)
1.;128;Štambuk Andro Vladimir;M14;IME;CRO;45:07;
2.;65;Cvetkoviæ Filip;M14;JAP;CRO;52:38;+07:31
3.;139;Tisljar Antun;M14;ORI;CRO;53:17;+08:10
4.;64;Puhariæ Roko;M14;JAP;CRO;58:33;+13:26
5.;63;Lehpamer Lovro;M14;JAP;CRO;74:20;+29:13
;127;Karloviæ Luka;M14;IME;CRO;mp;

M16     (2600m, 240m)
1.;40;Mihaljeviæ Luka;M16;Vihor;CRO;54:00;
2.;48;Malnar Patrik;M16;RIS;CRO;54:15;+00:15
3.;107;Ivkoviæ Luka;M16;OK Sova;CRO;86:12;+32:12
4.;106;Matijeviæ Danilo;M16;OK Sova;CRO;145:26;+91:26
;105;Babiæ Domagoj;M16;OK Sova;CRO;dns;
;11;Janžek Gregor;M16;OKM;CRO;dns;

M17-20     (3180m, 240m)
1.;15;Perica Petar;M17-20;BJE;CRO;57:26;
2.;54;Ugljareviæ Tomislav;M17-20;RIS;CRO;60:22;+02:56
3.;7;Bahun Luka;M17-20;OKM;CRO;76:25;+18:59
4.;121;Poliæ Ivan;M17-20;OK Sova;CRO;78:12;+20:46
5.;13;Janžek Lovro;M17-20;OKM;CRO;107:06;+49:40
;120;Matiæ Marko;M17-20;OK Sova;CRO;dns;
;119;Gaziæ Ivan;M17-20;OK Sova;CRO;mp;

M21A     (4210m, 360m)
1.;52;Štanfel Matjaž;M21A;RIS;CRO;41:54;
2.;21;Bijeliæ Vedran;M21A;BJE;CRO;50:47;+08:53
3.;70;Razum Matija;M21A;JAP;CRO;53:19;+11:25
4.;71;Legac Lino;M21A;JAP;CRO;55:19;+13:25
5.;83;Vukmanoviæ Mladen;M21A;KAP;CRO;69:58;+28:04
6.;51;Nikola Toni;M21A;RIS;CRO;86:04;+44:10
7.;29;Suhina Vanja;M21A;Vihor;CRO;87:26;+45:32
8.;82;Spasiæ Vladimir;M21A;KAP;CRO;122:41;+80:47
;58;Ocvirk Edi;M21A;JAP;CRO;dnf;

M21B     (2270m, 150m)
1.;79;Jeliæ Ivor;M21B;KAP;CRO;31:18;
2.;100;Odoviæ Luka;M21B;TOR;CRO;35:17;+03:59
3.;115;Vrbiæ Josip;M21B;OK Sova;CRO;40:11;+08:53
4.;23;Šantiæ Domagoj;M21B;BJE;CRO;42:10;+10:52
5.;143;Biliæ Ivan;M21B;IME;CRO;43:16;+11:58
6.;114;Trivunoviæ Vlado;M21B;OK Sova;CRO;43:19;+12:01
7.;101;Aniæ Nikola;M21B;TOR;CRO;51:39;+20:21
8.;112;Sovilj Dalibor;M21B;OK Sova;CRO;52:14;+20:56
9.;44;Pletikosa Dean;M21B;Vihor;CRO;52:20;+21:02
10.;109;Pajèin Nikola;M21B;OK Sova;CRO;54:22;+23:04
11.;113;Bradièiæ Luka;M21B;OK Sova;CRO;54:41;+23:23
12.;73;Cvetkoviæ Robert;M21B;JAP;CRO;58:56;+27:38
