Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 1;Èas+
1.;44;Gobec Jan;M12;Vihor;CRO;10:27;
2.;45;Gobec Timo;M12;Vihor;CRO;10:59;+00:32
3.;1;Jakopec Matej;M12;OK Sova;CRO;13:02;+02:35
;15;Pejèinoviæ Luka;M12;JAP;CRO;mp;
1.;6;Ivkoviæ Luka;M16;OK Sova;CRO;14:35;
2.;50;Mihaljeviæ Luka;M16;Vihor;CRO;14:43;+00:08
3.;71;Malnar Patrik;M16;OKR;CRO;16:32;+01:57
4.;65;Štambuk Andro Vladimir;M16;IME;CRO;16:39;+02:04
5.;51;Borisavljeviæ Karlo;M16;Vihor;CRO;17:33;+02:58
6.;3;Babiæ Domagoj;M16;OK Sova;CRO;19:07;+04:32
7.;66;Tišljar Antun;M16;ORI;CRO;19:36;+05:01
8.;22;Cvetkoviæ Filip;M16;JAP;CRO;20:59;+06:24
9.;21;Puhariæ Roko;M16;JAP;CRO;21:41;+07:06
10.;20;Lehpamer Lovro;M16;JAP;CRO;24:11;+09:36
;5;Merkaš Branimir;M16;OK Sova;CRO;dns;
;4;Matkoviæ Dominik;M16;OK Sova;CRO;mp;
1.;63;Štambuk Mario;M20;IME;CRO;13:26;
2.;62;Štambuk Matej;M20;IME;CRO;14:13;+00:47
3.;37;Perica Petar;M20;BJE;CRO;18:27;+05:01
1.;35;Vukovic Igor;M21A;OTK;SRB;13:42;
2.;27;Razum Matija;M21A;JAP;CRO;14:35;+00:53
3.;41;Bijeliæ Vedran;M21A;BJE;CRO;16:16;+02:34
4.;42;Draušnik Ivan;M21A;BJE;CRO;16:37;+02:55
5.;36;Avramovic Dejan;M21A;OTK;SRB;16:55;+03:13
6.;59;Varnica Tomislav;M21A;Vihor;CRO;17:43;+04:01
;29;Telišman Mario;M21A;JAP;CRO;dns;
;28;Ocvirk Edi;M21A;JAP;CRO;mp;
;60;Gobec Damir;M21A;Vihor;CRO;mp;
1.;48;Lovrec Nenad;M35;Vihor;CRO;16:14;
2.;39;Orehoci Robert;M35;BJE;CRO;17:54;+01:40
3.;18;Suban Damir;M35;JAP;CRO;18:10;+01:56
4.;64;Štambuk Dario;M35;IME;CRO;18:14;+02:00
5.;16;Budi Franjo;M35;JAP;CRO;18:23;+02:09
6.;49;Grgesina Vladimir;M35;Vihor;CRO;18:47;+02:33
7.;47;Gobec Karlo;M35;Vihor;CRO;18:51;+02:37
8.;14;Sirvydis Viktoras;M35;Telsiai OK;LTU;21:31;+05:17
9.;19;Cvetkoviæ Robert;M35;JAP;CRO;25:28;+09:14
10.;17;Puhariæ Samo;M35;JAP;CRO;27:17;+11:03
;46;Delgado Francisco;M35;Vihor;CRO;dns;
;2;Žagar Vujadin;M35;OK Sova;CRO;dns;
1.;38;Perica Mladen;M50;BJE;CRO;19:25;
2.;68;Jasprica Damir;M50;OKT;CRO;21:45;+02:20
;104;Validzic Damir;M50;;;dns;
1.;72;Urbanc Patricija;OPEN;OKR;CRO;14:45;
2.;12;Melmajer Biljana;OPEN;OK Sova;CRO;17:50;+03:05
3.;123;Jovanoviæ Klementina;OPEN;OK Sova;CRO;30:07;+15:22
;30;Popoviæ Budi Daniela;OPEN;JAP;CRO;dns;
;13;Melmajer Nastasia;OPEN;OK Sova;CRO;mp;
1.;7;Pajèin Lana;Ž12;OK Sova;CRO;15:28;
2.;8;Ivkoviæ Sara;Ž12;OK Sova;CRO;16:00;+00:32
3.;23;Ocvirk Til;Ž12;JAP;CRO;18:10;+02:42
4.;24;Ivanjko Gabrijela;Ž12;JAP;CRO;53:23;+37:55
;67;Tisljar Ana;Ž12;ORI;CRO;mp;
1.;33;Miloševiæ Milica;Ž16;OTK;SRB;12:23;
2.;26;Ocvirk Pia;Ž16;JAP;CRO;13:24;+01:01
3.;34;Iliæ Milica;Ž16;OTK;SRB;15:09;+02:46
4.;32;Gajiæ Maja;Ž16;OTK;SRB;16:17;+03:54
5.;57;Lovrec Iva;Ž16;Vihor;CRO;16:43;+04:20
6.;54;Težak Dora;Ž16;Vihor;CRO;17:01;+04:38
7.;40;Orehoci Roberta;Ž16;BJE;CRO;18:36;+06:13
8.;56;Lovrec Mia;Ž16;Vihor;CRO;18:43;+06:20
9.;55;Gobec Lea Katarina;Ž16;Vihor;CRO;19:04;+06:41
10.;58;Spudiæ Valeria;Ž16;Vihor;CRO;24:42;+12:19
11.;69;Košuljandiæ Iva;Ž16;OKT;CRO;27:28;+15:05
12.;9;Babiæ Mihaela;Ž16;OK Sova;CRO;46:06;+33:43
;11;Koiæ Marija;Ž16;OK Sova;CRO;dnf;
1.;70;Stepan Nikolina;Ž21A;OKT;CRO;14:27;
2.;31;Ocvirk Eva;Ž21A;JAP;CRO;15:37;+01:10
3.;43;Orliæ Antonija;Ž21A;BJE;CRO;16:25;+01:58
4.;73;Petranoviæ Barbara;Ž21A;OKR;CRO;17:34;+03:07
5.;125;Koèila Mihaela;Ž21A;OKM;CRO;21:37;+07:10
;61;Sršen Matea;Ž21A;Vihor;CRO;dns;
1.;53;Lovrec Darinka;Ž35;Vihor;CRO;18:46;
2.;52;Gobec Neda;Ž35;Vihor;CRO;19:38;+00:52
3.;25;Fabek Branka;Ž35;JAP;CRO;26:19;+07:33
