"Prezime";"Ime";"vrijeme";"klasifikator";"Kategorija";"staza";"uspon";"kontrola"
"Gobec";"Jan";"10:27";0;"M12";"1.1";"10";"9"
"Gobec";"Timo";"10:59";0;"M12";"1.1";"10";"9"
"Jakopec";"Matej";"13:02";0;"M12";"1.1";"10";"9"
"Pejèinoviæ";"Luka";"mp";1;"M12";"1.1";"10";"9"
"Ivkoviæ";"Luka";"14:35";0;"M16";"2.1";"20";"16"
"Mihaljeviæ";"Luka";"14:43";0;"M16";"2.1";"20";"16"
"Malnar";"Patrik";"16:32";0;"M16";"2.1";"20";"16"
"Štambuk";"Andro Vladimir";"16:39";0;"M16";"2.1";"20";"16"
"Borisavljeviæ";"Karlo";"17:33";0;"M16";"2.1";"20";"16"
"Babiæ";"Domagoj";"19:07";0;"M16";"2.1";"20";"16"
"Tišljar";"Antun";"19:36";0;"M16";"2.1";"20";"16"
"Cvetkoviæ";"Filip";"20:59";0;"M16";"2.1";"20";"16"
"Puhariæ";"Roko";"21:41";0;"M16";"2.1";"20";"16"
"Lehpamer";"Lovro";"24:11";0;"M16";"2.1";"20";"16"
"Merkaš";"Branimir";"dns";1;"M16";"2.1";"20";"16"
"Matkoviæ";"Dominik";"mp";1;"M16";"2.1";"20";"16"
"Štambuk";"Mario";"13:26";0;"M20";"2.2";"20";"16"
"Štambuk";"Matej";"14:13";0;"M20";"2.2";"20";"16"
"Perica";"Petar";"18:27";0;"M20";"2.2";"20";"16"
"Vukovic";"Igor";"13:42";0;"M21";"2.8";"20";"19"
"Razum";"Matija";"14:35";0;"M21";"2.8";"20";"19"
"Bijeliæ";"Vedran";"16:16";0;"M21";"2.8";"20";"19"
"Draušnik";"Ivan";"16:37";0;"M21";"2.8";"20";"19"
"Avramovic";"Dejan";"16:55";0;"M21";"2.8";"20";"19"
"Varnica";"Tomislav";"17:43";0;"M21";"2.8";"20";"19"
"Telišman";"Mario";"dns";1;"M21";"2.8";"20";"19"
"Ocvirk";"Edi";"mp";1;"M21";"2.8";"20";"19"
"Gobec";"Damir";"mp";1;"M21";"2.8";"20";"19"
"Lovrec";"Nenad";"16:14";0;"M35";"2.5";"20";"19"
"Orehoci";"Robert";"17:54";0;"M35";"2.5";"20";"19"
"Suban";"Damir";"18:10";0;"M35";"2.5";"20";"19"
"Štambuk";"Dario";"18:14";0;"M35";"2.5";"20";"19"
"Budi";"Franjo";"18:23";0;"M35";"2.5";"20";"19"
"Grgesina";"Vladimir";"18:47";0;"M35";"2.5";"20";"19"
"Gobec";"Karlo";"18:51";0;"M35";"2.5";"20";"19"
"Sirvydis";"Viktoras";"21:31";0;"M35";"2.5";"20";"19"
"Cvetkoviæ";"Robert";"25:28";0;"M35";"2.5";"20";"19"
"Puhariæ";"Samo";"27:17";0;"M35";"2.5";"20";"19"
"Delgado";"Francisco";"dns";1;"M35";"2.5";"20";"19"
"Žagar";"Vujadin";"dns";1;"M35";"2.5";"20";"19"
"Perica";"Mladen";"19:25";0;"M50";"1.9";"20";"14"
"Jasprica";"Damir";"21:45";0;"M50";"1.9";"20";"14"
"Validzic";"Damir";"dns";1;"M50";"1.9";"20";"14"
"Urbanc";"Patricija";"14:45";0;"OPEN";"1.2";"10";"10"
"Melmajer";"Biljana";"17:50";0;"OPEN";"1.2";"10";"10"
"Jovanoviæ";"Klementina";"30:07";0;"OPEN";"1.2";"10";"10"
"Popoviæ Budi";"Daniela";"dns";1;"OPEN";"1.2";"10";"10"
"Melmajer";"Nastasia";"mp";1;"OPEN";"1.2";"10";"10"
"Pajèin";"Lana";"15:28";0;"Ž12";"1.2";"10";"10"
"Ivkoviæ";"Sara";"16:00";0;"Ž12";"1.2";"10";"10"
"Ocvirk";"Til";"18:10";0;"Ž12";"1.2";"10";"10"
"Ivanjko";"Gabrijela";"53:23";0;"Ž12";"1.2";"10";"10"
"Tisljar";"Ana";"mp";1;"Ž12";"1.2";"10";"10"
"Miloševiæ";"Milica";"12:23";0;"Ž16";"1.9";"10";"14"
"Ocvirk";"Pia";"13:24";0;"Ž16";"1.9";"10";"14"
"Iliæ";"Milica";"15:09";0;"Ž16";"1.9";"10";"14"
"Gajiæ";"Maja";"16:17";0;"Ž16";"1.9";"10";"14"
"Lovrec";"Iva";"16:43";0;"Ž16";"1.9";"10";"14"
"Težak";"Dora";"17:01";0;"Ž16";"1.9";"10";"14"
"Orehoci";"Roberta";"18:36";0;"Ž16";"1.9";"10";"14"
"Lovrec";"Mia";"18:43";0;"Ž16";"1.9";"10";"14"
"Gobec";"Lea Katarina";"19:04";0;"Ž16";"1.9";"10";"14"
"Spudiæ";"Valeria";"24:42";0;"Ž16";"1.9";"10";"14"
"Košuljandiæ";"Iva";"27:28";0;"Ž16";"1.9";"10";"14"
"Babiæ";"Mihaela";"46:06";0;"Ž16";"1.9";"10";"14"
"Koiæ";"Marija";"dnf";1;"Ž16";"1.9";"10";"14"
"Stepan";"Nikolina";"14:27";0;"Ž21";"2.3";"10";"15"
"Ocvirk";"Eva";"15:37";0;"Ž21";"2.3";"10";"15"
"Orliæ";"Antonija";"16:25";0;"Ž21";"2.3";"10";"15"
"Petranoviæ";"Barbara";"17:34";0;"Ž21";"2.3";"10";"15"
"Koèila";"Mihaela";"21:37";0;"Ž21";"2.3";"10";"15"
"Sršen";"Matea";"dns";1;"Ž21";"2.3";"10";"15"
"Lovrec";"Darinka";"18:46";0;"Ž35";"2.0";"10";"14"
"Gobec";"Neda";"19:38";0;"Ž35";"2.0";"10";"14"
"Fabek";"Branka";"26:19";0;"Ž35";"2.0";"10";"14"
