"Prezime";"Ime";"Vrijeme";"Klasifikator";"Dugo";"km";"m/u";"KT staze"
"Gobec";"Jan";"15:18";0;"M12";"1.4";20;7
"Jakopec";"Matej";"16:14";0;"M12";"1.4";20;7
"Danjko";"Bruno";"19:59";0;"M12";"1.4";20;7
"Benjak";"Petar";"21:05";0;"M12";"1.4";20;7
"Gobec";"Timo Vilim";"27:46";0;"M12";"1.4";20;7
"Tkalec";"Vedran";"29:14";0;"M12";"1.4";20;7
"Barbaliæ";"Deni";"73:53";0;"M12";"1.4";20;7
"Tišljar";"Ana";"11:08";0;"Ž12";"1.4";20;7
"Srebaèiæ";"Ana";"19:45";0;"Ž12";"1.4";20;7
"Lukac";"Hrvojka";"24:49";0;"Ž12";"1.4";20;7
"Ocvirk";"Til";"30:28";0;"Ž12";"1.4";20;7
"Kolariæ";"Petra";"31:14";0;"Ž12";"1.4";20;7
"Pajèin";"Lana";"33:20";0;"Ž12";"1.4";20;7
"Dolenc";"Iva";"36:54";0;"Ž12";"1.4";20;7
"Ivanjko";"Gabrijela";"36:59";0;"Ž12";"1.4";20;7
"Štambuk";"Lucija Marijela";"41:13";0;"Ž12";"1.4";20;7
"Kermek";"Dora";"45:40";0;"Ž12";"1.4";20;7
"Štambuk";"Zdenka Petra";"55:26";0;"Ž12";"1.4";20;7
"Mihaljeviæ";"Luka";"12:50";0;"M16";"1.8";50;10
"Malnar";"Patrik";"14:00";0;"M16";"1.8";50;10
"Štambuk";"Andro Vladimir";"14:34";0;"M16";"1.8";50;10
"Borisavljeviæ";"Karlo";"16:30";0;"M16";"1.8";50;10
"Ivkoviæ";"Luka";"17:14";0;"M16";"1.8";50;10
"Puhariæ";"Roko";"19:29";0;"M16";"1.8";50;10
"Cvetkoviæ";"Filip";"22:33";0;"M16";"1.8";50;10
"Tkalec";"Nikola";"25:08";0;"M16";"1.8";50;10
"Matijeviæ";"Danilo";"39:47";0;"M16";"1.8";50;10
"Karloviæ";"Luka";"47:54";0;"M16";"1.8";50;10
"Štambuk";"Matej";"14:43";0;"M20";"2.2";65;17
"Štambuk";"Mario";"16:20";0;"M20";"2.2";65;17
"Ugljareviæ";"Tomislav";"18:01";0;"M20";"2.2";65;17
"Perica";"Petar";"22:10";0;"M20";"2.2";65;17
"Ramiæ";"Antonio";"27:23";0;"M20";"2.2";65;17
"Gaziæ";"Ivan";"29:09";0;"M20";"2.2";65;17
"Bradièiæ";"Luka";"36:13";0;"M20";"2.2";65;17
"Vrbiæ";"Josip";"40:09";0;"M20";"2.2";65;17
"Matiæ";"Marko";"26:51";3;"M20";"2.2";65;17
"Orehoci";"Roberta";"12:50";0;"Ž16";"1.8";45;11
"Lovrec";"Iva";"15:37";0;"Ž16";"1.8";45;11
"Ocvirk";"Pia";"16:04";0;"Ž16";"1.8";45;11
"Lovrec";"Mia";"18:00";0;"Ž16";"1.8";45;11
"Gobec";"Lea Katarina";"18:48";0;"Ž16";"1.8";45;11
"Košuljandiæ";"Iva";"21:08";0;"Ž16";"1.8";45;11
"Spudiæ";"Valeria";"25:47";0;"Ž16";"1.8";45;11
"Novosel";"Katarina";"39:28";0;"Ž16";"1.8";45;11
"Iskra";"Ana";"31:06";0;"Ž20";"2.0";55;15
"Štanfel";"Matjaž";"13:16";0;"M21";"2.4";70;19
"Bijeliæ";"Vedran";"13:38";0;"M21";"2.4";70;19
"Razum";"Matija";"14:47";0;"M21";"2.4";70;19
"Gobec";"Damir";"15:45";0;"M21";"2.4";70;19
"Varnica";"Tomislav";"18:44";0;"M21";"2.4";70;19
"Deliæ";"Petar";"18:47";0;"M21";"2.4";70;19
"Nikola";"Toni";"19:44";0;"M21";"2.4";70;19
"Gveriæ";"Ivan";"20:51";0;"M21";"2.4";70;19
"Spasiæ";"Vladimir";"32:07";0;"M21";"2.4";70;19
"Aniæ";"Nikola";"32:15";0;"M21";"2.4";70;19
"Orliæ";"Antonija";"19:43";0;"Ž21";"2.2";60;17
"Ocvirk";"Eva";"20:00";0;"Ž21";"2.2";60;17
"Sršen";"Matea";"24:31";0;"Ž21";"2.2";60;17
"Koèila";"Mihaela";"26:10";0;"Ž21";"2.2";60;17
"Stupalo";"Vlatka";"31:59";0;"Ž21";"2.2";60;17
"Badriæ";"Ana";"32:13";0;"Ž21";"2.2";60;17
"Krznar";"Kristina";"34:13";0;"Ž21";"2.2";60;17
"Kušt";"Maja";"49:48";0;"Ž21";"2.2";60;17
"Orehoci";"Robert";"13:17";0;"M35";"2.0";65;14
"Lovrec";"Nenad";"14:37";0;"M35";"2.0";65;14
"Merunka";"Darko";"14:56";0;"M35";"2.0";65;14
"Štambuk";"Dario";"15:19";0;"M35";"2.0";65;14
"Gobec";"Karlo";"16:14";0;"M35";"2.0";65;14
"Budi";"Franjo";"16:18";0;"M35";"2.0";65;14
"Delgado";"Francisco";"16:48";0;"M35";"2.0";65;14
"Suban";"Damir";"16:49";0;"M35";"2.0";65;14
"Trivunoviæ";"Vlado";"17:27";0;"M35";"2.0";65;14
"Vukeliæ";"Bojan";"17:56";0;"M35";"2.0";65;14
"Tkalec";"Robert";"18:33";0;"M35";"2.0";65;14
