"Surname";"First name";"Time";"Classifier";"Short";"km";"m";"Course controls"
"Lovrec";"Nenad";"1:02:05";0;"M E";"14.6";260;16
"Raj";"Grega";"1:03:30";0;"M E";"14.6";260;16
"Legac";"Lino";"1:06:16";0;"M E";"14.6";260;16
"Berkoviæ";"Vedran";"1:15:54";0;"M E";"14.6";260;16
"Orehoci";"Robert";"1:21:20";0;"M E";"14.6";260;16
"Žužiæ";"Sanja";"1:05:18";0;"Ž E";"9.4";230;11
"Janžek";"Smiljana";"1:17:50";0;"Ž E";"9.4";230;11
"Punek Gobec";"Neda";"1:17:58";0;"Ž E";"9.4";230;11
"Raj";"Nastja";"1:20:57";0;"Ž E";"9.4";230;11
"Cvitkoviæ";"Maja";"1:56:16";0;"Ž E";"9.4";230;11
"Sokoloviæ";"Alida";"2:00:33";0;"Ž E";"9.4";230;11
"Vlahoviæ";"Jasminka";"2:13:25";0;"Ž E";"9.4";230;11
"Domán";"Rajmund";"51:29";0;"M kratka";"9.4";230;11
"Rep";"Marijan";"1:23:02";0;"M kratka";"9.4";230;11
"Markešiæ";"Borko";"1:39:57";0;"M kratka";"9.4";230;11
"Domán";"Gábor";"1:05:55";0;"M45";"9.4";230;11
"Janžek";"Dražen";"1:06:35";0;"M45";"9.4";230;11
"Gobec";"Karlo";"1:12:27";0;"M45";"9.4";230;11
"Mihaljeviæ";"Nenad";"2:21:09";0;"M45";"9.4";230;11
"Matijašiæ";"Josip";"2:22:13";0;"M45";"9.4";230;11
"Balogh";"Zsombor";"44:59";0;"M14";"6.9";60;7
"Gobec";"Timo Vilim";"1:06:19";0;"M14";"6.9";60;7
"Lovrec";"Mia";"48:48";0;"Ž14";"6.7";40;6
"Mihaljeviæ";"Luka";"1:11:38";0;"M 15-18";"8.2";170;11
"Cestar";"Tomislav";"2:23:59";0;"M 15-18";"8.2";170;11
"Lovrec";"Iva";"41:12";0;"Ž 15-18";"6.9";60;7
"Gobec";"Lea Katarina";"45:59";0;"Ž 15-18";"6.9";60;7
