"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"staza";"uspon";"kontrola"
"Žana";"Prasnic";"55:46";"0";"Ž14";"2.1";0;"11"
"Zarja";"Kmetiè";"1:01:00";"0";"Ž14";"2.1";0;"11"
"Lea";"Pirkmajer";;"1";"Ž14";"2.1";0;"11"
"Valentina";"Vušnik";;"1";"Ž14";"2.1";0;"11"
"Urška";"Krahulec";;"1";"Ž14";"2.1";0;"11"
"Petra";"Arih";;"1";"Ž14";"2.1";0;"11"
"Klemen";"Andrejc";"26:33";"0";"M 15-18";"3.1";0;"15"
"Blaž";"Marot";"29:24";"0";"M 15-18";"3.1";0;"15"
"Markus";"Finder";"32:10";"0";"M 15-18";"3.1";0;"15"
"Žiga";"Andrejc";;"1";"M 15-18";"3.1";0;"15"
"Kevin";"Haselsberger";"28:28";"0";"M E";"4.3";0;"22"
"Iztok";"Vidoviè";"30:42";"0";"M E";"4.3";0;"22"
"Matej";"Pistor";"33:03";"0";"M E";"4.3";0;"22"
"Sandi";"Kmetiè";"38:39";"0";"M E";"4.3";0;"22"
"Marko";"Dudiæ";"40:40";"0";"M E";"4.3";0;"22"
"Metod";"Keber";"42:36";"0";"M E";"4.3";0;"22"
"Hinko";"Andrejc";"48:14";"0";"M E";"4.3";0;"22"
"Marko";"Zanoškar";"49:06";"0";"M E";"4.3";0;"22"
"Tadej";"Pirkmajer";"1:31:04";"0";"M E";"4.3";0;"22"
"Grega";"Andrejc";;"1";"M E";"4.3";0;"22"
"Samo";"Cokan";;"1";"M E";"4.3";0;"22"
"Blaž";"Miheljak";;"1";"M E";"4.3";0;"22"
"Damjan";"Sekuti";;"1";"M E";"4.3";0;"22"
"Robert";"Šumah";;"1";"M E";"4.3";0;"22"
"Mojca";"Flerin";"38:44";0;"Ž E";"3.7";0;"18"
"Petja";"Balažiè";"39:26";0;"Ž E";"3.7";0;"18"
"Nastja";"Raj";"44:57";0;"Ž E";"3.7";0;"18"
"Urška";"Kordiš Miheljak";"50:56";"0";"Ž E";"3.7";0;"18"
"Maja";"Visinski Andrejc";"1:07:05";"0";"Ž E";"3.7";0;"18"
"Gert";"Wallas";"29:20";"0";"M kratka";"3.7";0;"18"
"Bernhard";"Finder";"30:35";"0";"M kratka";"3.7";0;"18"
"Rok";"Orliènik";"46:35";"0";"M kratka";"3.7";0;"18"
"Tomaž";"Prasnic";"50:45";"0";"M kratka";"3.7";0;"18"
"Gorazd";"Oman";"1:41:58";"0";"M kratka";"3.7";0;"18"
"Matic";"Cesar";;"1";"M kratka";"3.7";0;"18"
"Gaby";"Finder";"38:12";"0";"Ž kratka";"3.1";0;"15"
"Irena";"Balažiè";"57:21";"0";"Ž kratka";"3.1";0;"15"
"Alida";"Sokoloviæ";"1:17:23";"0";"Ž kratka";"3.1";0;"15"
"Tanja";"Mezga";;"1";"Ž kratka";"3.1";0;"15"
"Michael";"Melcher";"28:58";"0";"M45";"3.2";0;"17"
"Maier";"Curt";"30:53";"0";"M45";"3.2";0;"17"
"Wolf";"Eberle";"33:10";"0";"M45";"3.2";0;"17"
"Igor";"Bonèina";"35:03";"0";"M45";"3.2";0;"17"
"Mirko";"Vodovnik";"35:51";"0";"M45";"3.2";0;"17"
"Slobodan";"Sokoloviæ";"48:06";"0";"M45";"3.2";0;"17"
"Herman";"Novak";"48:12";"0";"M45";"3.2";0;"17"
"Zvonko";"Kuhelnik";"51:05";"0";"M45";"3.2";0;"17"
"Klaus";"Wallas";;"1";"M45";"3.2";0;"17"
"Martin";"Kristan";;"1";"M45";"3.2";0;"17"
"Tomi";"Pirkmajer";"49:25";"0";"OPEN";"2.9";0;"12"
