"Surname";"First name";"Time";"Classifier";"Short";"km";"m";"Course controls"
"Legac";"Lino";"42:22";0;"M E";"11.4";;16
"Lovrec";"Nenad";"43:54";0;"M E";"11.4";;16
"Raj";"Grega";"43:56";0;"M E";"11.4";;16
"Berkoviæ";"Vedran";"46:56";0;"M E";"11.4";;16
"Habuš";"Ivan";"50:20";0;"M E";"11.4";;16
"Orehoci";"Robert";"53:02";0;"M E";"11.4";;16
"Janžek";"Smiljana";"45:26";0;"Ž E";"8.5";;13
"Žužiæ";"Sanja";"48:06";0;"Ž E";"8.5";;13
"Punek Gobec";"Neda";"50:32";0;"Ž E";"8.5";;13
"Vlahoviæ";"Jasminka";"58:53";0;"Ž E";"8.5";;13
"Cvitkoviæ";"Maja";"1:09:37";0;"Ž E";"8.5";;13
"Raj";"Nastja";"1:10:44";0;"Ž E";"8.5";;13
"Sokoloviæ";"Alida";"1:28:00";0;"Ž E";"8.5";;13
"Domán";"Rajmund";"37:24";0;"M kratka";"7.6";;12
"Markešiæ";"Borko";"44:57";0;"M kratka";"7.6";;12
"Markesiæ";"Matija";"49:43";0;"M kratka";"7.6";;12
"Rep";"Marijan";"58:37";0;"M kratka";"7.6";;12
"Domán";"Gábor";"45:06";0;"M45";"8.5";;13
"Gobec";"Karlo";"47:27";0;"M45";"8.5";;13
"Matijašiæ";"Josip";"1:06:56";0;"M45";"8.5";;13
"Mihaljeviæ";"Nenad";"1:17:47";3;"M45";"8.5";;13
"Janžek";"Dražen";;2;"M45";"8.5";;13
"Balogh";"Zsombor";"22:15";0;"M14";"4.1";;8
"Gobec";"Timo Vilim";"35:43";0;"M14";"4.1";;8
"Lovrec";"Mia";"25:53";0;"Ž14";"3.0";;7
"Mihaljeviæ";"Luka";"31:13";0;"M 15-18";"6.5";;10
"Cestar";"Tomislav";"31:43";0;"M 15-18";"6.5";;10
"Lovrec";"Iva";"20:25";0;"Ž 15-18";"4.1";;8
"Gobec";"Lea Katarina";"24:53";0;"Ž 15-18";"4.1";;8
"Šulenta";"Leslie";"1:00:37";0;"Ž kratka";"6.5";;10
"Letica";"Nevena";"1:00:16";3;"Ž kratka";"6.5";;10
