Prezime;Ime;Vrijeme;Klasifikator;Dugo;km;m/u;KT staze
Vidoviè;Iztok;1:22:02;0;M E;12.3;220;15
Lovrec;Nenad;1:29:36;0;M E;12.3;220;15
Pistor;Matej;1:32:14;0;M E;12.3;220;15
Dravetz;Walter;1:46:35;0;M E;12.3;220;15
Raj;Grega;1:47:41;0;M E;12.3;220;15
Gobec;Karlo;2:05:31;0;M E;12.3;220;15
Gobec;Damir;2:05:32;0;M E;12.3;220;15
Dudic;Marko;2:35:54;0;M E;12.3;220;15
Vuk;Tomislav;;3;M E;12.3;220;15
Skraèiæ;Borna Lav;;3;M E;12.3;220;15
Miheljak;Blaž;;1;M E;12.3;220;15
Andrejc;Grega;;1;M E;12.3;220;15
Pistor;Kaja;1:16:18;0;Ž E;8.2;145;11
Punek Gobec;Neda;1:20:56;0;Ž E;8.2;145;11
Stepaniante;Katja;1:51:02;0;Ž E;8.2;145;11
Van De Riet;Dunja;2:02:06;0;Ž E;8.2;145;11
Dobriæ;Nives;2:04:48;0;Ž E;8.2;145;11
Cvitkoviæ;Maja;;1;Ž E;8.2;145;11
Ðurek;Tea;;1;Ž E;8.2;145;11
Opaliæ;Boško;1:08:08;0;M kratka;8.2;145;11
Perica;Petar;1:26:13;0;M kratka;8.2;145;11
Skukan;Danko;;3;M kratka;8.2;145;11
Rep;Marijan;;1;M kratka;8.2;145;11
Delgado;Pako;;1;M kratka;8.2;145;11
Letica;Nevena;1:26:43;0;Ž kratka;4.8;75;9
Kordiš Miheljak;Urška;;1;Ž kratka;4.8;75;9
Mezga;Tanja;;1;Ž kratka;4.8;75;9
Van De Riet;Gerrit;1:13:23;0;M45;7.2;130;12
Perica;Mladen;1:21:22;0;M45;7.2;130;12
Mihaljeviæ;Nenad;1:54:18;0;M45;7.2;130;12
Fink;Karl;2:00:02;0;M45;7.2;130;12
Vodovnik;Mirko;2:09:44;0;M45;7.2;130;12
Matijašiæ;Josip;3:50:19;0;M45;7.2;130;12
Kukec;Jura;1:26:23;0;M14;4.8;75;9
Težak;Karlo;1:32:29;0;M14;4.8;75;9
Gobec;Timo Vilim;1:38:25;0;M14;4.8;75;9
Letica;Ivan;;1;M14;4.8;75;9
Lovrec;Mia;1:18:30;0;Ž14;4.8;75;9
Mihaljeviæ;Luka;1:24:36;0;M 15-18;7.2;130;12
Cestar;Tomislav;;3;M 15-18;7.2;130;12
Gobec;Lea Katarina;1:30:26;0;Ž 15-18;7.2;130;12
Lovrec;Iva;1:39:08;0;Ž 15-18;7.2;130;12
