Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 1;Èas+
M 12     (1190m, 15m)
1.;35;Kukec Jura;M 12;Vihor;CRO;12:05;
2.;32;Gobec Jan;M 12;Vihor;CRO;12:52;+00:47
3.;34;Kodba Tin;M 12;Vihor;CRO;15:59;+03:54
;33;Kodba Vid;M 12;Vihor;CRO;dns;
;86;Uroiæ Milivoj;M 12;Maksimir;CRO;dns;
;71;Jevševar Martin;M 12;OKB;SLO;dns;
;70;Jevševar Jedert;M 12;OKB;SLO;dns;
;72;Hribar Anica;M 12;OKB;SLO;dns;
;69;Jevševar Bojan;M 12;OKB;SLO;dns;

M 16     (1810m, 20m)
1.;95;Štambuk Andro Vladimir;M 16;IME;CRO;15:06;
2.;84;Janžek Gregor;M 16;OKM;CRO;20:02;+04:56
3.;64;Veroviæ Kristijan;M 16;JAP;CRO;23:02;+07:56
4.;66;Cvetkoviæ Filip;M 16;JAP;CRO;28:22;+13:16
;65;Crnoš Marko;M 16;JAP;CRO;dns;

M 20     (2200m, 45m)
1.;88;Štambuk Matej;M 20;IME;CRO;16:39;
2.;73;Malnar Patrik;M 20;RIS;CRO;18:34;+01:55
3.;25;Mihaljeviæ Luka;M 20;Vihor;CRO;22:33;+05:54
4.;78;Janžek Lovro;M 20;OKM;CRO;38:03;+21:24
;43;Perica Petar;M 20;BJE;CRO;dns;

M 21     (2430m, 55m)
1.;75;Štanfel Matjaž;M 21;RIS;CRO;14:17;
2.;54;Legac Lino;M 21;JAP;CRO;16:14;+01:57
3.;52;Razum Matija;M 21;JAP;CRO;16:59;+02:42
4.;74;Nikola Toni;M 21;RIS;CRO;20:49;+06:32
5.;90;Štambuk Mario;M 21;IME;CRO;20:52;+06:35
6.;53;Ocvirk Edi;M 21;JAP;CRO;21:53;+07:36
7.;28;Varnica Tomislav;M 21;Vihor;CRO;21:56;+07:39
8.;7;Bahun Luka;M 21;OKM;CRO;28:24;+14:07
9.;30;Vuk Tomislav;M 21;Vihor;CRO;33:55;+19:38
10.;79;Polanec Branko;M 21;OKM;CRO;36:29;+22:12

M 35     (2170m, 45m)
1.;48;Orehoci Robert;M 35;BJE;CRO;18:55;
2.;59;Pongrac Branimir;M 35;JAP;CRO;20:18;+01:23
3.;61;Suban Damir;M 35;JAP;CRO;21:08;+02:13
4.;97;Vodopija Goran;M 35;KAP;CRO;21:50;+02:55
