Surname;First name;Time;Classifier;Short;km;m;Course controls
Gobec;Jan;13:18;0;M12;1.3;0;11
Kukec;Jura;13:56;0;M12;1.3;0;11
Ištvan;Jakov;14:54;0;M12;1.3;0;11
Kodba;Tin;30:22;0;M12;1.3;0;11
Danjko;Bruno;42:47;0;M12;1.3;0;11
Kodba;Vid;45:52;0;M12;1.3;0;11
Handanoviæ;Marin;10:58:49;3;M12;1.3;0;11
Ocvirk;Til;11:57;0;Ž12;1.3;0;11
Srebaèiæ;Ana;13:16;0;Ž12;1.3;0;11
Pajèin;Lana;14:14;0;Ž12;1.3;0;11
Palatinuš;Lucija;15:52;0;Ž12;1.3;0;11
Kermek;Dora;16:10;0;Ž12;1.3;0;11
Lesjak;Jelena;17:16;0;Ž12;1.3;0;11
Gojmerac;Lucija;18:00;0;Ž12;1.3;0;11
Jakopec;Iva;18:07;0;Ž12;1.3;0;11
Štambuk;Zdenka Petra;19:09;0;Ž12;1.3;0;11
Gojmerac;Marta;20:02;0;Ž12;1.3;0;11
Boban;Rea;34:27;0;Ž12;1.3;0;11
Štambuk;Andro Vladimir;11:03;0;M16;1.9;0;13
Ivkoviæ;Luka;11:24;0;M16;1.9;0;13
Cvetkoviæ;Filip;14:04;0;M16;1.9;0;13
Veroviæ;Kristijan;14:21;0;M16;1.9;0;13
Puhariæ;Roko;14:22;0;M16;1.9;0;13
Težak;Karlo;16:32;0;M16;1.9;0;13
Gobec;Timo Vilim;18:11;0;M16;1.9;0;13
Gojmerac;Petar;19:25;0;M16;1.9;0;13
Lovrec;Iva;10:23;0;Ž16;1.5;0;13
Težak;Dora;10:48;0;Ž16;1.5;0;13
Lovrec;Mia;12:45;0;Ž16;1.5;0;13
Spudiæ;Valeria;14:26;0;Ž16;1.5;0;13
Škugor;Hana;20:28;0;Ž16;1.5;0;13
Fruk;Paula;38:05;0;Ž16;1.5;0;13
Maðariæ;Iva;42:01;0;Ž16;1.5;0;13
Dolenc;Iva;44:48;0;Ž16;1.5;0;13
Štambuk;Matej;13:29;0;M20;2.1;0;17
Mihaljeviæ;Luka;14:40;0;M20;2.1;0;17
Perica;Petar;17:53;0;M20;2.1;0;17
Orehoci;Roberta;12:08;0;Ž20;1.9;0;13
Gobec;Lea Katarina;14:21;0;Ž20;1.9;0;13
Štambuk;Marija;14:29;0;Ž20;1.9;0;13
Sakar;Nika;14:31;0;Ž20;1.9;0;13
Razum;Matija;14:18;0;M21;2.4;0;22
Štambuk;Mario;15:31;0;M21;2.4;0;22
Legac;Lino;15:41;0;M21;2.4;0;22
Varnica;Tomislav;16:07;0;M21;2.4;0;22
Gobec;Damir;16:24;0;M21;2.4;0;22
Markoviæ;Frane;17:02;0;M21;2.4;0;22
Košturiæ;Marko;21:54;0;M21;2.4;0;22
Ocvirk;Eva;15:01;0;Ž21;2.3;0;16
Orliæ;Antonija;15:31;0;Ž21;2.3;0;16
Sakar Vukiæ;Tena;17:24;0;Ž21;2.3;0;16
Vukmanoviæ;Vinka;17:35;0;Ž21;2.3;0;16
Krznar;Kristina;19:56;0;Ž21;2.3;0;16
Stepanyants;Katya;20:20;0;Ž21;2.3;0;16
Paviæ;Mirja;;1;Ž21;2.3;0;16
Orehoci;Robert;12:19;0;M35;2.1;0;17
Vukmanoviæ;Mladen;15:06;0;M35;2.1;0;17
Štambuk;Dario;15:20;0;M35;2.1;0;17
Gobec;Karlo;16:27;0;M35;2.1;0;17
Trivunoviæ;Vladimir;17:45;0;M35;2.1;0;17
Kukec;Boris;18:24;0;M35;2.1;0;17
Gojmerac;Tomislav;19:43;0;M35;2.1;0;17
Sovilj;Dalibor;20:14;0;M35;2.1;0;17
Bogoviæ;Marijan;20:37;0;M35;2.1;0;17
Benjak;Franjo;21:56;0;M35;2.1;0;17
Boban;Mile;25:22;0;M35;2.1;0;17
Sirvydis;Viktoras;;1;M35;2.1;0;17
Punek Gobec;Neda;11:54;0;Ž35;1.5;0;13
Nikoliæ;Bojana;12:22;0;Ž35;1.5;0;13
Cindriæ Perkoviæ;Jasminka;12:44;0;Ž35;1.5;0;13
Lovrec;Darinka;13:26;0;Ž35;1.5;0;13
Cvitkoviæ;Maja;13:37;0;Ž35;1.5;0;13
Kušt;Maja;14:57;0;Ž35;1.5;0;13
Srebaèiæ;Davorka;15:49;0;Ž35;1.5;0;13
Majer;Melanija;18:30;0;Ž35;1.5;0;13
Sirvyde;Rasa;;1;Ž35;1.5;0;13
Lovrec;Nenad;12:31;0;M50;1.9;0;13
Sopina;Slavko;14:30;0;M50;1.9;0;13
Perica;Mladen;15:27;0;M50;1.9;0;13
Jeliæ;Mladen;15:56;0;M50;1.9;0;13
Turkalj;Milan;17:24;0;M50;1.9;0;13
Sakar;Darko;17:56;0;M50;1.9;0;13
Raškaj;Darko;23:21;3;M50;1.9;0;13
