Surname,First name,Time,Classifier,Long,km,m,Course controls
Baumholczer,Máté,28:16,0,M21A,"5,4",240,18
Štanfel,Matjaž,31:19,0,M21A,"5,4",240,18
Maksimović,Blažo,33:11,0,M21A,"5,4",240,18
Turcsán,Gábor,34:27,0,M21A,"5,4",240,18
Piltaver,Jaka,35:12,0,M21A,"5,4",240,18
Péter (Létra),Vonyó,35:48,0,M21A,"5,4",240,18
Popović,Dejan,37:35,0,M21A,"5,4",240,18
Ocvirk,Edi,39:02,0,M21A,"5,4",240,18
Razum,Matija,39:23,0,M21A,"5,4",240,18
Werner,Péter,41:07,0,M21A,"5,4",240,18
Gobec,Damir,42:02,0,M21A,"5,4",240,18
Štambuk,Matej,45:45,0,M21A,"5,4",240,18
Marković,Frane,47:27,0,M21A,"5,4",240,18
Nikola,Toni,50:08,0,M21A,"5,4",240,18
Štambuk,Mario,51:17,0,M21A,"5,4",240,18
Gotal,Mario,53:49,0,M21A,"5,4",240,18
Spasić,Vladimir,54:46,0,M21A,"5,4",240,18
Varnica,Tomislav,59:44,0,M21A,"5,4",240,18
Milišić-Zečević,Angel,61:56,0,M21A,"5,4",240,18
Maksimović,Nikola,45:38,3,M21A,"5,4",240,18
Kovács,Filoména,30:57,0,Ž21A,"4,2",210,15
Péley,Dorottya,31:30,0,Ž21A,"4,2",210,15
Vukmanović,Vinka,37:11,0,Ž21A,"4,2",210,15
Ocvirk,Eva,43:06,0,Ž21A,"4,2",210,15
Gobec,Ivana,48:45,0,Ž21A,"4,2",210,15
Leljak,Nevija,50:24,0,Ž21A,"4,2",210,15
Orlić,Antonija,52:21,0,Ž21A,"4,2",210,15
Tomažin,Urša,54:47,0,Ž21A,"4,2",210,15
Dokmanović,Dragana,55:30,0,Ž21A,"4,2",210,15
Pavić,Mirja,61:25,0,Ž21A,"4,2",210,15
Žužić,Sanja,62:22,0,Ž21A,"4,2",210,15
Kovaljesko,Monika,62:54,0,Ž21A,"4,2",210,15
Maksimović,Draga,63:17,0,Ž21A,"4,2",210,15
Krznar,Kristina,68:12,0,Ž21A,"4,2",210,15
Kočila,Mihaela,85:24,0,Ž21A,"4,2",210,15
Sršen,Matea,96:39,0,Ž21A,"4,2",210,15
Werner,Boróka,26:10,0,Ž12,"1,7",60,8
Viniczai,Hanga,28:58,0,Ž12,"1,7",60,8
Pataki,Virág Lara,29:42,0,Ž12,"1,7",60,8
Lesjak,Jelena,34:56,0,Ž12,"1,7",60,8
Štambuk,Zdenka Petra,136:06,0,Ž12,"1,7",60,8
Mayer,Luna,77:28,3,Ž12,"1,7",60,8
Delgado Sršen,Kira,,1,Ž12,"1,7",60,8
Szuromi,Áron,15:32,0,M12,"2,0",60,10
Jevševar,Martin,36:16,0,M12,"2,0",60,10
Ištvan,Jakov,40:42,0,M12,"2,0",60,10
Škrinjar,Vili,52:20,0,M12,"2,0",60,10
Mandić,Vjeko,60:33,0,M12,"2,0",60,10
Pavlić,Tin,112:01,0,M12,"2,0",60,10
Kovács,Gréta,31:17,0,Ž14,"2,6",100,13
Viniczai,Judit,32:11,0,Ž14,"2,6",100,13
Pálfi,Fanni,34:13,0,Ž14,"2,6",100,13
Tišljar,Ana,49:50,0,Ž14,"2,6",100,13
Pajčin,Lana,65:57,0,Ž14,"2,6",100,13
Jakopec,Iva,87:59,0,Ž14,"2,6",100,13
Mađarić,Iva,96:26,0,Ž14,"2,6",100,13
Škugor,Hana,100:02,0,Ž14,"2,6",100,13
Dolenc,Iva,114:54,0,Ž14,"2,6",100,13
Vozár,Mátyás,26:49,0,M14,"2,6",100,13
Handanović,Marin,31:51,0,M14,"2,6",100,13
Toth,Lukach,33:54,0,M14,"2,6",100,13
Werner,Bendegúz,35:09,0,M14,"2,6",100,13
Kukec,Jura,40:26,0,M14,"2,6",100,13
Szuhán,Gábor,41:59,0,M14,"2,6",100,13
Gobec,Jan,47:43,0,M14,"2,6",100,13
Kodba,Tin,48:35,0,M14,"2,6",100,13
Danjko,Bruno,73:43,0,M14,"2,6",100,13
Kodba,Vid,38:55,3,M14,"2,6",100,13
Szuromi,Hanga,20:48,0,Ž16,"2,7",120,13
Pataki,Réka Dalida,25:14,0,Ž16,"2,7",120,13
Ocvirk,Pia,31:37,0,Ž16,"2,7",120,13
Tóth,Eszter Katalin,37:21,0,Ž16,"2,7",120,13
Lovrec,Mia,38:37,0,Ž16,"2,7",120,13
Gaspar,Kata,42:12,0,Ž16,"2,7",120,13
Martos,Hanga,43:22,3,Ž16,"2,7",120,13
Kouatcho Dimegni,Mariette carine,,1,Ž16,"2,7",120,13
Megyeri,Orsolya,,1,Ž16,"2,7",120,13
Szuromi,Mátyás,24:10,0,M16,"3,4",150,14
Gyenizse-Nagy,Balázs,26:13,0,M16,"3,4",150,14
Péri,Gergo,32:02,0,M16,"3,4",150,14
Turschl,Bence,32:18,0,M16,"3,4",150,14
Ortmann,András,32:19,0,M16,"3,4",150,14
Kovács,Barnabás,36:12,0,M16,"3,4",150,14
Árvay,Dénes,48:00,0,M16,"3,4",150,14
Renić,Marko,55:56,0,M16,"3,4",150,14
Bánhidy,Levente,60:05,0,M16,"3,4",150,14
Cvetković,Filip,60:41,0,M16,"3,4",150,14
Verović,Kristijan,68:48,0,M16,"3,4",150,14
Černelić,Lucijan,71:57,0,M16,"3,4",150,14
Puharić,Roko,72:44,0,M16,"3,4",150,14
Boumi Kamtche,Landry Gaetan,,1,M16,"3,4",150,14
Szuromi,Luca,29:37,0,Ž20,"3,4",150,14
Becze,Rita,31:43,0,Ž20,"3,4",150,14
Orehoci,Roberta,36:04,0,Ž20,"3,4",150,14
Lovrec,Iva,39:13,0,Ž20,"3,4",150,14
Szabó,Gyöngyvér,44:02,0,Ž20,"3,4",150,14
Težak,Dora,45:10,0,Ž20,"3,4",150,14
Sakar,Nika,47:01,0,Ž20,"3,4",150,14
Ratinland,Zsófia,47:46,0,Ž20,"3,4",150,14
Ketchegmen Tchanya,Nathalie,,1,Ž20,"3,4",150,14
Gobec,Lea Katarina,,1,Ž20,"3,4",150,14
Kovács,Bertalan,29:26,0,M20,"4,3",210,16
Tóth,Péter,36:05,0,M20,"4,3",210,16
Štambuk,Andro Vladimir,50:01,0,M20,"4,3",210,16
