prezime,ime,vrijeme,klasifier,kategorija,staza,uspon,kontrola
Škrinjar,Vili,27:49,0,M12,1.55,75,9
Ištvan,Jakov,29:47,0,M12,1.55,75,9
Tutić,Teo,32:24,0,M12,1.55,75,9
Pavlić,Tin,34:44,0,M12,1.55,75,9
Bašić,Borna,43:39,0,M12,1.55,75,9
Težak,Karlo,28:36,0,M14,1.68,75,10
Kukec,Jura,29:59,0,M14,1.68,75,10
Mihaljević,Dominik,30:58,0,M14,1.68,75,10
Handanović,Marin,31:56,0,M14,1.68,75,10
Antolović,Lovro,34:42,0,M14,1.68,75,10
Gobec,Jan,41:48,0,M14,1.68,75,10
Gobec,Timo Vilim,48:01,0,M14,1.68,75,10
Kralj,Antonio,60:26,0,M14,1.68,75,10
Puharić,Roko,47:06,0,M16,1.89,95,9
Cvetković,Filip,48:36,0,M16,1.89,95,9
Kirin,Dominik,56:28,0,M16,1.89,95,9
Verović,Kristijan,66:24,0,M16,1.89,95,9
Černelić,Lucijan,disq,3,M16,1.89,95,9
Ivković,Luka,43:12,0,M20,2.54,135,11
Štambuk,Andro Vladimir,47:28,0,M20,2.54,135,11
Čubra,Nebojša,103:57,0,M20,2.54,135,11
Ocvirk,Edi,50:04,0,M21A,3.92,200,13
Gobec,Damir,51:19,0,M21A,3.92,200,13
Štambuk,Matej,52:23,0,M21A,3.92,200,13
Marković,Frane,57:26,0,M21A,3.92,200,13
Varnica,Tomislav,58:22,0,M21A,3.92,200,13
Štambuk,Mario,60:23,0,M21A,3.92,200,13
Spasić,Vladimir,64:22,0,M21A,3.92,200,13
Košturić,Marko,72:14,0,M21A,3.92,200,13
Suhina,Vanja,79:06,0,M21A,3.92,200,13
Despetović,Tihomir,22:52,0,M21B,1.89,95,9
Tkalec,Vladimir,27:28,0,M21B,1.89,95,9
Jelić,Ivor,27:32,0,M21B,1.89,95,9
Perica,Petar,31:26,0,M21B,1.89,95,9
Odžić,Josip,35:44,0,M21B,1.89,95,9
Kolenko,Tomica,36:27,0,M21B,1.89,95,9
Nosić,Silvije,37:49,0,M21B,1.89,95,9
Matijevac,Danijel,38:38,0,M21B,1.89,95,9
Šeperić-Grdiša,Ivan,39:43,0,M21B,1.89,95,9
Bertol,Ivica,44:07,0,M21B,1.89,95,9
Trivunović,Vladimir,44:24,0,M21B,1.89,95,9
Skračić,Borna Lav,47:17,0,M21B,1.89,95,9
Tutić,Dražen,49:09,0,M21B,1.89,95,9
Mađarić,Predrag,66:48,0,M21B,1.89,95,9
Kovaček,Mladen,84:12,0,M21B,1.89,95,9
Sovilj,Dalibor,disq,3,M21B,1.89,95,9
Mesic,Matija,disq,3,M21B,1.89,95,9
Kaniški,Tomislav,29:21,0,M35,2.66,130,11
Legac,Lino,29:38,0,M35,2.66,130,11
Salopek,Tihomir,30:05,0,M35,2.66,130,11
Fabijanić,Daniel,36:46,0,M35,2.66,130,11
Delgado,Pako,46:20,0,M35,2.66,130,11
Koščak,Željko,48:20,0,M35,2.66,130,11
Surjan,Darko,65:18,0,M35,2.66,130,11
Vukmanović,Mladen,65:34,0,M35,2.66,130,11
Rocco,Dario,67:10,0,M35,2.66,130,11
Kukec,Boris,109:48,0,M35,2.66,130,11
Orehoci,Robert,disq,3,M35,2.66,130,11
Vukelić,Bojan,disq,3,M35,2.66,130,11
Lovrec,Nenad,30:51,0,M45,1.94,95,9
Štambuk,Dario,32:56,0,M45,1.94,95,9
Bogović,Marijan,33:58,0,M45,1.94,95,9
Merunka,Darko,34:50,0,M45,1.94,95,9
Tišljar,Ivo,41:49,0,M45,1.94,95,9
Lukačić,Ivica,45:00,0,M45,1.94,95,9
Perica,Mladen,45:49,0,M45,1.94,95,9
Sirovec,Zlatko,51:49,0,M45,1.94,95,9
Gobec,Karlo,disq,3,M45,1.94,95,9
Jelić,Mladen,disq,3,M45,1.94,95,9
Pongrac,Ivan,34:33,0,M55,1.65,90,8
Ulip,Željko,45:07,0,M55,1.65,90,8
Cindrić,Marijan,47:17,0,M55,1.65,90,8
Matijašić,Josip,48:45,0,M55,1.65,90,8
Belaj,Željko,51:33,0,M55,1.65,90,8
Sopina,Slavko,disq,3,M55,1.65,90,8
Turkalj,Milan,36:59,0,M65,1.44,90,8
Čepelak,Radovan,58:58,0,M65,1.44,90,8
Debic,Mladen,79:31,0,M65,1.44,90,8
Vukelić,Dora,31:06,0,Ž12,1.55,75,9
Lesjak,Jelena,31:20,0,Ž12,1.55,75,9
Tadić,Eli,35:06,0,Ž12,1.55,75,9
Štambuk,Zdenka Petra,37:07,0,Ž12,1.55,75,9
Delgado Sršen,Kira,disq,3,Ž12,1.55,75,9
Kršić,Lea,disq,3,Ž12,1.55,75,9
Tišljar,Ana,31:48,0,Ž14,1.62,75,10
Škugor,Hana,37:14,0,Ž14,1.62,75,10
Magdić Govedarica,Eva,55:58,0,Ž14,1.62,75,10
Kobasić,Rosa,90:44,0,Ž14,1.62,75,10
Šafar,Marija,disq,3,Ž14,1.62,75,10
Rocco,Petra,disq,3,Ž14,1.62,75,10
Pajčin,Lana,disq,3,Ž14,1.62,75,10
Sirovec,Tara,disq,3,Ž14,1.62,75,10
Ocvirk,Pia,32:45,0,Ž16,1.68,75,9
Lovrec,Mia,41:10,0,Ž16,1.68,75,9
Bašić,Lucia Gianna,disq,3,Ž16,1.68,75,9
Lovrec,Iva,30:14,0,Ž20,1.98,85,9
Gobec,Lea Katarina,44:53,0,Ž20,1.98,85,9
Orehoci,Roberta,56:48,0,Ž20,1.98,85,9
Težak,Dora,58:20,0,Ž20,1.98,85,9
Vukmanović,Vinka,51:37,0,Ž21A,3.06,175,13
Gobec,Ivana,54:25,0,Ž21A,3.06,175,13
Pavić,Mirja,58:15,0,Ž21A,3.06,175,13
Ocvirk,Eva,62:31,0,Ž21A,3.06,175,13
Orlić,Antonija,64:30,0,Ž21A,3.06,175,13
Kasaš Spasić,Irena,65:03,0,Ž21A,3.06,175,13
Krznar,Kristina,66:41,0,Ž21A,3.06,175,13
Leljak,Nevija,71:48,0,Ž21A,3.06,175,13
Kovaljesko,Monika,72:16,0,Ž21A,3.06,175,13
Žgela,Marijana,74:04,0,Ž21A,3.06,175,13
Bedeković Tanković,Martina,79:35,0,Ž21A,3.06,175,13
Sršen,Matea,84:13,0,Ž21A,3.06,175,13
Žužić,Sanja,disq,3,Ž21A,3.06,175,13
Cini,Fabiana,29:27,0,Ž21B,1.61,75,9
Vlahović,Jasminka,31:52,0,Ž21B,1.61,75,9
Lučić,Slađana,40:56,0,Ž21B,1.61,75,9
Dubravčić,Asja,41:47,0,Ž21B,1.61,75,9
Magušić,Radmila,41:51,0,Ž21B,1.61,75,9
Kopjar,Marina,43:16,0,Ž21B,1.61,75,9
Spudić,Valeria,44:50,0,Ž21B,1.61,75,9
Stipic,Bernardica,disq,3,Ž21B,1.61,75,9
Jakšić,Mirka,53:14,0,Ž35,2.11,115,10
Cindrić Perković,Jasminka,55:20,0,Ž35,2.11,115,10
Seražin Korper,Sabina,58:06,0,Ž35,2.11,115,10
Sertić,Ivana,69:35,0,Ž35,2.11,115,10
Kušt,Maja,103:53,0,Ž35,2.11,115,10
Lovrec,Darinka,120:10,0,Ž35,2.11,115,10
Lesjak,Sonja,disq,3,Ž35,2.11,115,10
Božić,Liliana,disq,3,Ž35,2.11,115,10
Ebenspanger,Emilija,42:55,0,Ž45,1.61,75,9
Majer,Melanija,44:55,0,Ž45,1.61,75,9
Cvitković,Maja,49:21,0,Ž45,1.61,75,9
Vendler Čepelak,Željka,49:22,0,Ž45,1.61,75,9
Sirovec,Marija,57:20,0,Ž45,1.61,75,9
