prezime,ime,vrijeme,klasifier,Kategorija,staza,uspon,kontrola
Tutić,Teo,00:34:01,0,M12,2.31,,8
Ištvan,Jakov,00:56:42,0,M12,2.31,,8
Pavlić,Tin,01:51:47,0,M12,2.31,,8
Gligora,Roko,dns,1,M12,2.31,,8
Gobec,Jan,00:36:46,0,M14,2.95,,7
Kukec,Jura,00:51:01,0,M14,2.95,,7
Kralj,Antonio,00:59:04,0,M14,2.95,,7
Gobec,Timo Vilim,01:19:01,0,M14,2.95,,7
Barbalić,Deni,02:35:42,0,M14,2.95,,7
Antolović,Lovro,dnf,3,M14,2.95,,7
Mihaljević,Dominik,dns,1,M14,2.95,,7
Kirin,Dominik,01:30:21,0,M16,4.83,,15
Cvetković,Filip,01:35:58,0,M16,4.83,,15
Janžek,Gregor,01:43:33,0,M16,4.83,,15
Puharić,Roko,01:50:59,0,M16,4.83,,15
Klarić,Marko,01:56:30,0,M16,4.83,,15
Verović,Kristijan,dns,1,M16,4.83,,15
Jurak,Filip,mp,3,M16,4.83,,15
Ivković,Luka,01:31:16,0,M20,5.68,,14
Štambuk,Andro Vladimir,01:44:28,0,M20,5.68,,14
Razum,Matija,01:20:26,0,M21A,8.74,,21
Gobec,Damir,01:32:50,0,M21A,8.74,,21
Štambuk,Matej,01:41:03,0,M21A,8.74,,21
Varnica,Tomislav,01:44:30,0,M21A,8.74,,21
Marković,Frane,01:44:58,0,M21A,8.74,,21
Suhina,Vanja,02:02:57,0,M21A,8.74,,21
Spasić,Vladimir,02:04:43,0,M21A,8.74,,21
Ocvirk,Edi,dnf,3,M21A,8.74,,21
Štambuk,Mario,dns,1,M21A,8.74,,21
Despetović,Tihomir,00:46:31,0,M21B,4.86,,11
Perica,Petar,00:59:36,0,M21B,4.86,,11
Šeperić-Grdiša,Ivan,01:07:06,0,M21B,4.86,,11
Habjanec,Goran,01:15:39,0,M21B,4.86,,11
Trivunović,Vladimir,01:16:33,0,M21B,4.86,,11
Janžek,Lovro,01:25:56,0,M21B,4.86,,11
Tutić,Dražen,01:30:20,0,M21B,4.86,,11
Cvetković,Robert,01:37:42,0,M21B,4.86,,11
Salopek,Tihomir,00:54:22,0,M35,5.68,,14
Kaniški,Tomislav,01:01:30,0,M35,5.68,,14
Orehoci,Robert,01:02:40,0,M35,5.68,,14
Antolić,Željko,01:12:57,0,M35,5.68,,14
Vukelić,Bojan,01:18:26,0,M35,5.68,,14
Rocco,Dario,01:19:47,0,M35,5.68,,14
Fabijanić,Daniel,01:21:34,0,M35,5.68,,14
Vodopija,Goran,01:29:01,0,M35,5.68,,14
Budi,Franjo,01:44:14,0,M35,5.68,,14
Vuk,Tomislav,01:54:24,0,M35,5.68,,14
Klen,Milivoj,02:07:26,0,M35,5.68,,14
Kukec,Boris,02:13:11,0,M35,5.68,,14
Tišljar,Ivo,dns,1,M35,5.68,,14
Vukmanović,Mladen,dns,1,M35,5.68,,14
Legac,Lino,mp,3,M35,5.68,,14
Štambuk,Dario,00:55:26,0,M45,4.83,,15
Merunka,Darko,00:59:37,0,M45,4.83,,15
Bogović,Marijan,01:01:34,0,M45,4.83,,15
Lovrec,Nenad,01:02:29,0,M45,4.83,,15
Lukačić,Ivica,01:10:45,0,M45,4.83,,15
Klarić,Darko,01:20:59,0,M45,4.83,,15
Sokolović,Slobodan,01:32:36,0,M45,4.83,,15
Jelić,Mladen,01:32:50,0,M45,4.83,,15
Perica,Mladen,dnf,3,M45,4.83,,15
Janžek,Dražen,mp,3,M45,4.83,,15
Belaj,Željko,00:43:43,0,M55,3.28,,9
Sopina,Slavko,00:48:33,0,M55,3.28,,9
Matijašić,Josip,00:48:35,0,M55,3.28,,9
Cindrić,Marijan,01:00:33,0,M55,3.28,,9
Jasprica,Damir,01:12:43,0,M55,3.28,,9
Ulip,Zeljko,01:21:22,0,M55,3.28,,9
Turkalj,Milan,00:43:22,0,M65,2.7,,8
Čepelak,Radovan,01:04:45,0,M65,2.7,,8
Debic,Mladen,mp,3,M65,2.7,,8
Lesjak,Jelena,00:32:33,0,Ž12,2.31,,8
Vučetić,Mirta,00:36:35,0,Ž12,2.31,,8
Vukelić,Dora,00:48:37,0,Ž12,2.31,,8
Štambuk,Lucija Marijela,02:03:26,0,Ž12,2.31,,8
Štambuk,Zdenka Petra,02:22:32,0,Ž12,2.31,,8
Kovačević,Ana Marija,dns,1,Ž12,2.31,,8
Tadić,Eli,dns,1,Ž12,2.31,,8
Tišljar,Ana,00:54:19,0,Ž14,3.19,,8
Škugor,Hana,01:40:36,0,Ž14,3.19,,8
Dolenc,Iva,01:45:34,0,Ž14,3.19,,8
Jakopec,Iva,01:49:38,0,Ž14,3.19,,8
Pajčin,Lana,02:14:32,0,Ž14,3.19,,8
Magdić Govedarica,Eva,dns,1,Ž14,3.19,,8
Lovrec,Mia,00:55:55,0,Ž16,3.27,,8
Bašić,Lucia Gianna,01:16:10,0,Ž16,3.27,,8
Lovrec,Iva,00:44:45,0,Ž20,3.27,,8
Težak,Dora,00:52:08,0,Ž20,3.27,,8
Orehoci,Roberta,00:56:05,0,Ž20,3.27,,8
Vukmanović,Vinka,01:00:09,0,Ž21A,4.96,,13
Orlić,Antonija,01:08:14,0,Ž21A,4.96,,13
Pavić,Mirja,01:17:11,0,Ž21A,4.96,,13
Gobec,Ivana,01:19:19,0,Ž21A,4.96,,13
Hak,Sanja,01:31:50,0,Ž21A,4.96,,13
Žgela,Marijana,01:39:27,0,Ž21A,4.96,,13
Kovaljesko,Monika,01:39:43,0,Ž21A,4.96,,13
Krznar,Kristina,01:39:44,0,Ž21A,4.96,,13
Kasaš Spasić,Irena,dns,1,Ž21A,4.96,,13
Zadković,Mirna,00:46:55,0,Ž21B,3.27,,8
Hočevar,Iva,00:50:40,0,Ž21B,3.27,,8
Kružić,Tea,00:52:50,0,Ž21B,3.27,,8
Kopjar,Marina,01:02:32,0,Ž21B,3.27,,8
Cindrić,Gorana,01:11:24,0,Ž21B,3.27,,8
Stipic,Bernardica,01:25:01,0,Ž21B,3.27,,8
Stupalo,Vlatka,01:49:13,0,Ž21B,3.27,,8
Punek Gobec,Neda,00:51:55,0,Ž35,3.27,,12
Jakšić,Mirka,00:57:33,0,Ž35,3.27,,12
Vlahović,Jasminka,01:11:52,0,Ž35,3.27,,12
Lovrec,Darinka,01:28:23,0,Ž35,3.27,,12
Kušt,Maja,01:39:31,0,Ž35,3.27,,12
Janžek,Smiljana,00:44:54,0,Ž45,2.46,,8
