prezime,ime,vrijeme,Classifier,kategorija,staza,uspon,kontrola
Vukelić,Juraj,,1,M12,2.18,105,10
Ištvan,Jakov,,1,M12,2.18,105,10
Gobec,Jan,31:06,0,M14,2.56,100,12
Kukec,Jura,33:21,0,M14,2.56,100,12
Mihaljević,Dominik,48:29,0,M14,2.56,100,12
Klarić,Marko ,55:37,0,M14,2.56,100,12
Gobec,Timo Vilim,56:39,0,M14,2.56,100,12
Kodba,Tin,57:07,0,M14,2.56,100,12
Kodba,Vid,67:18,0,M14,2.56,100,12
Danjko,Bruno,77:13,0,M14,2.56,100,12
Kirin,Dominik,37:22,0,M16,2.86,130,10
Verović,Kristijan,37:47,0,M16,2.86,130,10
Cvetković,Filip,46:43,0,M16,2.86,130,10
Jurak,Filip,72:37,0,M16,2.86,130,10
Puharić,Roko,76:50,0,M16,2.86,130,10
Štambuk,Andro Vladimir,37:01,0,M20,3.7,170,15
Ivković,Luka,41:01,0,M20,3.7,170,15
Tkalec,Nikola,57:05,0,M20,3.7,170,15
Janžek,Gregor,63:53,0,M20,3.7,170,15
Čubra,Nebojša,104:29,0,M20,3.7,170,15
Ocvirk,Edi,40:04,0,M21A,4.45,215,18
Štambuk,Matej,42:06,0,M21A,4.45,215,18
Gobec,Damir,43:39,0,M21A,4.45,215,18
Spasić,Vladimir,44:31,0,M21A,4.45,215,18
Štambuk,Mario,47:02,0,M21A,4.45,215,18
Varnica,Tomislav,47:39,0,M21A,4.45,215,18
Marković,Frane,48:29,0,M21A,4.45,215,18
Svračić,Goran,138:39,3,M21A,4.45,215,18
Despetović,Tihomir,29:33,0,M21B,2.86,130,10
Bahun,Luka,36:16,0,M21B,2.86,130,10
Mađarić,Predrag,39:33,0,M21B,2.86,130,10
Šeperić-Grdiša,Ivan,42:34,0,M21B,2.86,130,10
Jelić,Ivor,44:17,0,M21B,2.86,130,10
Perica,Petar,45:36,0,M21B,2.86,130,10
Tkalec,Robert,47:08,0,M21B,2.86,130,10
Leljak,Marko,55:43,0,M21B,2.86,130,10
Janžek,Lovro,64:46,0,M21B,2.86,130,10
Cvetković,Robert,69:00,0,M21B,2.86,130,10
Polanec,Branko,69:42,0,M21B,2.86,130,10
Sovilj,Dalibor,70:45,0,M21B,2.86,130,10
Trivunović,Vladimir,,1,M21B,2.86,130,10
Salopek,Tihomir,29:12,0,M35,3.7,170,15
Kaniški,Tomislav,30:54,0,M35,3.7,170,15
Orehoci,Robert,32:19,0,M35,3.7,170,15
Fabijanić,Daniel,36:14,0,M35,3.7,170,15
Vodopija,Goran,37:03,0,M35,3.7,170,15
Vukelić,Bojan,45:01,0,M35,3.7,170,15
Delgado,Pako,46:41,0,M35,3.7,170,15
Budi,Franjo,50:19,0,M35,3.7,170,15
Suban,Damir,53:38,0,M35,3.7,170,15
Vuk,Tomislav,70:51,0,M35,3.7,170,15
Legac,Lino,27:01,3,M35,3.7,170,15
Merunka,Darko,34:04,0,M45,3.29,130,16
Štambuk,Dario,35:59,0,M45,3.29,130,16
Bogović,Marijan,41:22,0,M45,3.29,130,16
Gobec,Karlo,45:07,0,M45,3.29,130,16
Perica,Mladen,45:26,0,M45,3.29,130,16
Uroic,Milivoj,47:50,0,M45,3.29,130,16
Tišljar,Ivo,49:26,0,M45,3.29,130,16
Lukačić,Ivica,49:29,0,M45,3.29,130,16
Jelić,Mladen,52:55,0,M45,3.29,130,16
Srpak,Božo,55:44,0,M45,3.29,130,16
Janžek,Dražen,58:37,0,M45,3.29,130,16
Sokolović,Slobodan,77:54,0,M45,3.29,130,16
Pongrac,Ivan,40:05,0,M55,2.86,130,10
Vinko,Vladimir,41:46,0,M55,2.86,130,10
Belaj,Željko,58:43,0,M55,2.86,130,10
Sopina,Slavko,,1,M55,2.86,130,10
Čepelak,Radovan,47:19,0,M65,2.56,100,12
Turkalj,Milan,61:10,0,M65,2.56,100,12
Debic,Mladen,71:26,0,M65,2.56,100,12
Lesjak,Jelena,40:02,0,Ž12,2.18,105,10
Vukelić,Dora,49:28,0,Ž12,2.18,105,10
Tadić,Eli,,1,Ž12,2.18,105,10
Kovačević,Ana Marija,,1,Ž12,2.18,105,10
Škugor,Hana,44:07,0,Ž14,2.36,110,10
Jakopec,Iva,51:31,0,Ž14,2.36,110,10
Pajčin,Lana,53:36,0,Ž14,2.36,110,10
Kermek,Dora,70:07,0,Ž14,2.36,110,10
Mađarić,Iva,75:55,0,Ž14,2.36,110,10
Srebačić,Ana,103:58,0,Ž14,2.36,110,10
Magdić Govedarica,Eva,105:48,0,Ž14,2.36,110,10
Dolenc,Iva,109:56,0,Ž14,2.36,110,10
Tišljar,Ana,30:29,0,Ž16,2.56,100,12
Lovrec,Mia,46:16,0,Ž16,2.56,100,12
Bašić,Lucia Gianna,,1,Ž16,2.56,100,12
Lovrec,Iva,55:04,0,Ž20,3.29,130,16
Gobec,Lea Katarina,56:42,0,Ž20,3.29,130,16
Ocvirk,Eva,44:31,0,Ž21A,3.66,180,17
Orlić,Antonija,46:39,0,Ž21A,3.66,180,17
Pavić,Mirja,52:17,0,Ž21A,3.66,180,17
Sršen,Matea,57:26,0,Ž21A,3.66,180,17
Krznar,Kristina,64:47,0,Ž21A,3.66,180,17
Kasaš Spasić,Irena,73:01,0,Ž21A,3.66,180,17
Žgela,Marijana,,1,Ž21A,3.66,180,17
Vlahović,Jasminka,37:18,0,Ž21B,2.36,110,10
Kopjar,Marina,40:36,0,Ž21B,2.36,110,10
Stipic,Bernardica,52:20,0,Ž21B,2.36,110,10
Punek Gobec,Neda,40:57,0,Ž35,2.86,130,10
Jakšić,Mirka,47:22,0,Ž35,2.86,130,10
Cindrić Perković,Jasminka,51:29,0,Ž35,2.86,130,10
Lovrec,Darinka,52:22,0,Ž35,2.86,130,10
Kušt,Maja,54:41,0,Ž35,2.86,130,10
Cini,Fabiana,56:02,0,Ž35,2.86,130,10
Srebačić,Davorka,84:15,0,Ž35,2.86,130,10
Janžek,Smiljana,31:20,0,Ž45,2.56,100,12
Ebenspanger,Emilija,39:10,0,Ž45,2.56,100,12
Cvitković,Maja,42:49,0,Ž45,2.56,100,12
Sokolović,Alida,46:47,0,Ž45,2.56,100,12
Vendler Čepelak,Željka,48:24,0,Ž45,2.56,100,12
Fabek,Branka,53:18,0,Ž45,2.56,100,12
