Surname,First name,Time,Classifier,Long,km,m,Course controls
Gobec,Jan,13:57,0,M12,1.97,30,11
Vukelić,Juraj,,1,M12,1.97,30,11
Sisek,Luka,,1,M12,1.97,30,11
Ištvan,Jakov,,1,M12,1.97,30,11
Kirin,Dominik,12:31,0,M16,2.12,60,13
Cvetković,Filip,14:47,0,M16,2.12,60,13
Verović,Kristijan,14:54,0,M16,2.12,60,13
Kukec,Jura,18:32,0,M16,2.12,60,13
Kodba,Tin,24:17,0,M16,2.12,60,13
Kodba,Vid,27:57,0,M16,2.12,60,13
Gobec,Timo Vilim,30:12,0,M16,2.12,60,13
Danjko,Bruno,36:36,0,M16,2.12,60,13
Gojmerac,Petar,38:52,0,M16,2.12,60,13
Puharić,Roko,14:35,3,M16,2.12,60,13
Jurak,Filip,38:31,3,M16,2.12,60,13
Gobec,Jan,,0,M16,2.12,60,13
Štambuk,Andro Vladimir,15:07,0,M20,2.53,50,16
Ivković,Luka,16:46,0,M20,2.53,50,16
Janžek,Lovro,25:43,0,M20,2.53,50,16
Čubra,Nebojša,28:52,0,M20,2.53,50,16
Janžek,Gregor,,1,M20,2.53,50,16
Ocvirk,Edi,16:31,0,M21,2.91,95,17
Gobec,Damir,17:06,0,M21,2.91,95,17
Štambuk,Mario,17:54,0,M21,2.91,95,17
Varnica,Tomislav,18:39,0,M21,2.91,95,17
Štambuk,Matej,19:32,0,M21,2.91,95,17
Salopek,Tihomir,19:51,0,M21,2.91,95,17
Marković,Frane,20:23,0,M21,2.91,95,17
Leljak,Marko,27:19,0,M21,2.91,95,17
Šeperić-Grdiša,Ivan,28:18,0,M21,2.91,95,17
Mlinarić,Filip,17:52,3,M21,2.91,95,17
Svračić,Goran,58:45,3,M21,2.91,95,17
Legac,Lino,14:25,0,M35,2.53,70,15
Orehoci,Robert,15:09,0,M35,2.53,70,15
Vodopija,Goran,16:36,0,M35,2.53,70,15
Vuk,Tomislav,17:49,0,M35,2.53,70,15
Štambuk,Dario,18:15,0,M35,2.53,70,15
Vukmanović,Mladen,18:50,0,M35,2.53,70,15
Fabijanić,Daniel,19:01,0,M35,2.53,70,15
Budi,Franjo,20:35,0,M35,2.53,70,15
Janžek,Dražen,21:09,0,M35,2.53,70,15
Tišljar,Ivo,21:55,0,M35,2.53,70,15
Bogović,Marijan,22:02,0,M35,2.53,70,15
Gojmerac,Tomislav,23:23,0,M35,2.53,70,15
Uroic,Milivoj,23:39,0,M35,2.53,70,15
Mađarić,Predrag,24:21,0,M35,2.53,70,15
Sovilj,Dalibor,45:54,0,M35,2.53,70,15
Delgado,Francisco,,1,M35,2.53,70,15
Trivunović,Vladimir,,1,M35,2.53,70,15
Vukelić,Bojan,,1,M35,2.53,70,15
Lovrec,Nenad,14:23,0,M50,2.14,70,14
Gobec,Karlo,16:18,0,M50,2.14,70,14
Pongrac,Ivan,16:58,0,M50,2.14,70,14
Vinko,Vladimir,18:57,0,M50,2.14,70,14
Jelić,Mladen,20:10,0,M50,2.14,70,14
Raškaj,Darko,22:01,0,M50,2.14,70,14
Turkalj,Milan,25:13,0,M50,2.14,70,14
Sopina,Slavko,,1,M50,2.14,70,14
Lesjak,Jelena,16:40,0,Ž12,1.97,30,11
Tadić,Eli,26:38,0,Ž12,1.97,30,11
Gojmerac,Marta,29:19,0,Ž12,1.97,30,11
Štambuk,Zdenka Petra,47:49,0,Ž12,1.97,30,11
Vukelić,Dora,,1,Ž12,1.97,30,11
Kovačević,Ana Marija,,1,Ž12,1.97,30,11
Tišljar,Ana,15:38,0,Ž16,2.22,60,12
Lovrec,Mia,17:03,0,Ž16,2.22,60,12
Škugor,Hana,22:01,0,Ž16,2.22,60,12
Pajčin,Lana,23:15,0,Ž16,2.22,60,12
Kermek,Dora,23:32,0,Ž16,2.22,60,12
Dolenc,Iva,29:32,0,Ž16,2.22,60,12
Srebačić,Ana,30:01,0,Ž16,2.22,60,12
Gojmerac,Lucija,31:24,0,Ž16,2.22,60,12
Mađarić,Iva,37:30,0,Ž16,2.22,60,12
Bašić,Lucia Gianna,,1,Ž16,2.22,60,12
Magdić Govedarica,Eva,93:26,3,Ž16,2.22,60,12
Jakopec,Iva,29:31,3,Ž16,2.22,60,12
Lovrec,Iva,17:49,0,Ž20,2.16,80,12
Gobec,Lea Katarina,20:06,0,Ž20,2.16,80,12
Orlić,Antonija,16:07,0,Ž21,2.59,75,15
Pavić,Mirja,16:15,0,Ž21,2.59,75,15
Ocvirk,Eva,17:02,0,Ž21,2.59,75,15
Žgela,Marijana,21:29,0,Ž21,2.59,75,15
Krznar,Kristina,22:53,0,Ž21,2.59,75,15
Kopjar,Marina,25:23,0,Ž21,2.59,75,15
Sršen,Matea,,1,Ž21,2.59,75,15
Janžek,Smiljana,18:21,0,Ž35,2.16,80,12
Punek Gobec,Neda,19:28,0,Ž35,2.16,80,12
Cindrić Perković,Jasminka,21:56,0,Ž35,2.16,80,12
Cvitković,Maja,22:58,0,Ž35,2.16,80,12
Lovrec,Darinka,23:27,0,Ž35,2.16,80,12
Srebačić,Davorka,25:31,0,Ž35,2.16,80,12
Majer,Melanija,31:36,0,Ž35,2.16,80,12
