Surname,First name,Time,Classifier,Entry class (long),km,m,Course controls
Kovács,Sebestyén,48:34,0,M12,"1,9",50,9
Egédi,Gergő,86:57,0,M12,"1,9",50,9
Vukelić,Juraj,114:30,0,M12,"1,9",50,9
Salopek,Tihon,40:19,4,M12,"1,9",50,9
Husznai,Gellért,19:29,0,M14,"2,3",75,8
Szuromi,Áron,23:31,0,M14,"2,3",75,8
Werner ,Bendegúz,27:59,0,M14,"2,3",75,8
Szuhán,Gábor,31:08,0,M14,"2,3",75,8
Gobec,Jan,32:07,0,M14,"2,3",75,8
Kukec,Jura,35:41,0,M14,"2,3",75,8
Kodba,Vid,44:55,0,M14,"2,3",75,8
Kodba,Tin,46:50,0,M14,"2,3",75,8
Danjko,Bruno,111:50,3,M14,"2,3",75,8
Tutić,Teo,87:51,2,M14,"2,3",75,8
Kralj,Antonio,,1,M14,"2,3",75,8
Ištvan,Jakov,,1,M14,"2,3",75,8
Handanović,Marin,,1,M14,"2,3",75,8
Kovács,Barnabás,31:13,0,M16,"4,3",150,15
Veszelszki,Barnabás,40:38,0,M16,"4,3",150,15
Vozár,Mátyás,41:54,0,M16,"4,3",150,15
Puharić,Roko,49:27,0,M16,"4,3",150,15
Cvetković,Filip,50:53,0,M16,"4,3",150,15
Ortmann,András,51:22,0,M16,"4,3",150,15
Jurak,Filip,99:28,0,M16,"4,3",150,15
Horváth,Ákos,,1,M16,"4,3",150,15
Tóth,Lukács,,1,M16,"4,3",150,15
Szuromi,Mátyás,28:55,0,M20,"4,3",135,15
Gyenizse-Nagy,Balázs,31:33,0,M20,"4,3",135,15
Tóth,Péter,32:36,0,M20,"4,3",135,15
Ivković,Luka,34:33,0,M20,"4,3",135,15
Kirin,Dominik,35:34,0,M20,"4,3",135,15
Ormándi,Lázár,37:04,0,M20,"4,3",135,15
Štambuk,Andro Vladimir,40:31,0,M20,"4,3",135,15
Borisavljević,Karlo,51:03,0,M20,"4,3",135,15
Čubra,Nebojša,,1,M20,"4,3",135,15
Lajtai,Zoltán,35:19,0,M21B,"3,5",130,10
Šantić,Domagoj,47:07,0,M21B,"3,5",130,10
Perica,Mladen,50:55,0,M21B,"3,5",130,10
Šeperić-Grdiša,Ivan,51:18,0,M21B,"3,5",130,10
Opalić,Boško,52:52,0,M21B,"3,5",130,10
Perica,Petar,53:06,0,M21B,"3,5",130,10
Andračić,Zoran,55:28,0,M21B,"3,5",130,10
Kersity,Antal,58:29,0,M21B,"3,5",130,10
Szabo,Akos,62:33,0,M21B,"3,5",130,10
Huis,Petar,71:14,0,M21B,"3,5",130,10
Tutić,Dražen,72:00,0,M21B,"3,5",130,10
Mađarić,Predrag,75:12,0,M21B,"3,5",130,10
Cvetković,Robert,77:09,0,M21B,"3,5",130,10
Sovilj,Dalibor,81:43,0,M21B,"3,5",130,10
Tokić,Kristijan,88:00,0,M21B,"3,5",130,10
Rupčić,Velimir,97:16,0,M21B,"3,5",130,10
Krnić,Marko,109:13,0,M21B,"3,5",130,10
Šepić,Alan,121:12,0,M21B,"3,5",130,10
Grašić,Josip,127:00,0,M21B,"3,5",130,10
Novoselić,Dario,173:09,0,M21B,"3,5",130,10
Radović,Tomislav,89:51,3,M21B,"3,5",130,10
Muše,Filip,,3,M21B,"3,5",130,10
Trivunović,Vladimir,,1,M21B,"3,5",130,10
Roksandić,Stevan,,1,M21B,"3,5",130,10
Štanfel,Matjaž,36:04,0,M21A,"6,3",230,21
Baumholczer,Máté,37:44,0,M21A,"6,3",230,21
Kovács,Bertalan,39:52,0,M21A,"6,3",230,21
Piltaver,Jaka,41:06,0,M21A,"6,3",230,21
Vonyó,Péter,41:49,0,M21A,"6,3",230,21
Lazić,Sava,41:52,0,M21A,"6,3",230,21
Razum,Matija,42:58,0,M21A,"6,3",230,21
Niskanen,Teemu,43:28,0,M21A,"6,3",230,21
Turcsán,Gábor,43:36,0,M21A,"6,3",230,21
Kazal,Márton,48:13,0,M21A,"6,3",230,21
Pongrac,Branimir,49:23,0,M21A,"6,3",230,21
Ocvirk,Edi,49:38,0,M21A,"6,3",230,21
Marković,Frane,53:44,0,M21A,"6,3",230,21
Werner,Péter,55:11,0,M21A,"6,3",230,21
Hirvonen,Kimmo,55:36,0,M21A,"6,3",230,21
Varnica,Tomislav,60:46,0,M21A,"6,3",230,21
Spasić,Vladimir,61:49,0,M21A,"6,3",230,21
Despetović,Tihomir,62:20,0,M21A,"6,3",230,21
Milišić-Zečević,Angel,86:33,0,M21A,"6,3",230,21
Bertol,Ivica,91:35,0,M21A,"6,3",230,21
Ilin,Tomislav,165:36,0,M21A,"6,3",230,21
Zetović,Zlatko,96:06,3,M21A,"6,3",230,21
Maksimović,Blažo,,1,M21A,"6,3",230,21
Maksimović,Nikola,,1,M21A,"6,3",230,21
Kaniški,Tomislav,30:13,0,M35,"4,3",135,15
Kornél,Bálinti,30:33,0,M35,"4,3",135,15
Salopek,Tihomir,31:22,0,M35,"4,3",135,15
Legac,Lino,31:54,0,M35,"4,3",135,15
Topán,László,35:51,0,M35,"4,3",135,15
Kajdon,Tamás,36:00,0,M35,"4,3",135,15
Avramovic,Dejan,36:29,0,M35,"4,3",135,15
Van De Riet,Gerrit,36:31,0,M35,"4,3",135,15
Veljović,Slobodan,36:55,0,M35,"4,3",135,15
Orehoci,Robert,39:04,0,M35,"4,3",135,15
Vodopija,Goran,39:13,0,M35,"4,3",135,15
Budi,Franjo,43:43,0,M35,"4,3",135,15
Vuk,Tomislav,45:10,0,M35,"4,3",135,15
Vukelić,Bojan,46:29,0,M35,"4,3",135,15
Fabijanić,Daniel,46:32,0,M35,"4,3",135,15
Hainž,Miroslav,49:38,0,M35,"4,3",135,15
Delgado,Francisco,53:23,0,M35,"4,3",135,15
Rosinger,Zsolt,28:40,0,M45,"3,6",140,10
Rácz,Róbert,29:28,0,M45,"3,6",140,10
Viniczai,Ferenc,30:44,0,M45,"3,6",140,10
Merunka,Darko,32:15,0,M45,"3,6",140,10
Radovanović,Slobodan,32:16,0,M45,"3,6",140,10
Pataki,Gábor,33:25,0,M45,"3,6",140,10
Lovrec,Nenad,33:45,0,M45,"3,6",140,10
Turcsán,János,33:51,0,M45,"3,6",140,10
Marković,Radovan,40:06,0,M45,"3,6",140,10
Uroić,Milivoj,40:33,0,M45,"3,6",140,10
Tišljar,Ivo,42:45,0,M45,"3,6",140,10
Fuller,Károly,59:02,0,M45,"3,6",140,10
Pillmann,Gábor,,1,M45,"3,6",140,10
Žagar,Vujadin,,1,M45,"3,6",140,10
