Prezime,Ime,Vrijeme,Klasifikator,kategorija,staza,uspon,kontrola
Salopek,Tihon,16:07,0,M12,1.79,30,8
Vukelić,Juraj,29:24,0,M12,1.79,30,8
Korlaet,Petar,59:39,0,M12,1.79,30,8
Salgado,Ivan,63:52,0,M12,1.79,30,8
Kukec,Jura,18:11,0,M14,1.92,50,10
Gobec,Jan,21:59,0,M14,1.92,50,10
Marković,Rudi,42:54,0,M14,1.92,50,10
Tutić,Teo,,1,M14,1.92,50,10
Vakant,,,0,M14,1.92,50,10
Cvetković,Filip,29:51,0,M16,2.68,80,10
Puharić,Roko,33:05,0,M16,2.68,80,10
Verović,Kristijan,35:46,0,M16,2.68,80,10
Jurak,Filip,52:23,0,M16,2.68,80,10
Mihaljević,Dominik,,1,M16,2.68,80,10
Gojmerac,Petar,,1,M16,2.68,80,10
Vakant,,,0,M16,2.68,80,10
Štambuk,Andro Vladimir,25:55,0,M20,3.63,145,14
Kirin,Dominik,29:47,0,M20,3.63,145,14
Ivković,Luka,35:37,0,M20,3.63,145,14
Štambuk,Matej,,1,M20,3.63,145,14
Vakant,,,0,M20,3.63,145,14
Štanfel,Matjaž,31:19,0,M21A,5.23,210,20
Razum,Matija,34:03,0,M21A,5.23,210,20
Ocvirk,Edi,38:23,0,M21A,5.23,210,20
Gobec,Damir,41:08,0,M21A,5.23,210,20
Varnica,Tomislav,44:22,0,M21A,5.23,210,20
Pongrac,Branimir,46:23,0,M21A,5.23,210,20
Spasić,Vladimir,48:23,0,M21A,5.23,210,20
Marković,Frane,50:20,0,M21A,5.23,210,20
Suhina,Vanja,62:37,0,M21A,5.23,210,20
Vakant,,,0,M21A,5.23,210,20
Vakant,,,0,M21A,5.23,210,20
Montalban,Alvaro,103:13,0,M21B,2.47,85,10
Luri,Javi,1169:18,1,M21B,2.47,85,10
Trivunović,Vladimir,26:28,0,M21B,2.47,85,10
Čubra,Nebojša,30:53,0,M21B,2.47,85,10
Opalić,Boško,37:34,0,M21B,2.47,85,10
Mađarić,Predrag,38:12,0,M21B,2.47,85,10
Gojmerac,Tomislav,39:46,0,M21B,2.47,85,10
Vedran,Papa,43:16,0,M21B,2.47,85,10
