prezime,ime,vrijeme,klasifikator,kategorija,staza,uspon,kt
Salopek,Tihon,8:26,0,M12,1,0,10
Vukelić,Juraj,11:45,0,M12,1,0,10
Strmečki,Vibor,12:54,0,M12,1,0,10
Tišljar,Mirko,14:53,0,M12,1,0,10
Gobec,Jan,11:26,0,M16,1.68,0,11
Cvetković,Filip,11:34,0,M16,1.68,0,11
Verović,Kristijan,11:41,0,M16,1.68,0,11
Kukec,Jura,11:59,0,M16,1.68,0,11
Jurak,Filip,16:19,0,M16,1.68,0,11
Puharić,Roko,16:28,0,M16,1.68,0,11
Jakov,Ištvan,17:30,0,M16,1.68,0,11
Tutić,Teo,25:26,0,M16,1.68,0,11
Marković,Rudi,,1,M16,1.68,0,11
Gyenizse-Nagy,Balázs,12:55,0,M20,2.19,0,17
Štambuk,Matej,14:03,3,M20,2.19,0,17
Ivković,Luka,14:20,0,M20,2.19,0,17
Kirin,Dominik,14:43,3,M20,2.19,0,17
Štambuk,Andro Vladimir,14:44,0,M20,2.19,0,17
Janžek,Gregor,23:26,0,M20,2.19,0,17
Štanfel,Matjaž,16:17,0,M21,2.53,0,20
Razum,Matija,17:02,0,M21,2.53,0,20
Ocvirk,Edi,19:39,0,M21,2.53,0,20
Varnica,Tomislav,20:16,0,M21,2.53,0,20
Marković,Frane,20:16,0,M21,2.53,0,20
Keršić,Andrija,20:42,4,M21,2.53,0,20
Delić,Petar,23:24,4,M21,2.53,0,20
Košturić,Marko,24:39,4,M21,2.53,0,20
Šeperić-Grdiša,Ivan,26:06,0,M21,2.53,0,20
Janžek,Lovro,26:07,4,M21,2.53,0,20
Acketa,Igor,27:12,0,M21,2.53,0,20
Mlinac,Marko,29:19,0,M21,2.53,0,20
Leljak,Marko,,1,M21,2.53,0,20
Vodopija,Goran,18:04,0,M35,2.53,0,20
Orehoci,Robert,18:13,0,M35,2.53,0,20
Legac,Lino,18:46,0,M35,2.53,0,20
Salopek,Tihomir,18:47,4,M35,2.53,0,20
Van De Riet,Gerrit,20:25,0,M35,2.53,0,20
Kukec,Boris,22:09,0,M35,2.53,0,20
Vukelić,Bojan,22:43,0,M35,2.53,0,20
Hainž,Miroslav,24:32,0,M35,2.53,0,20
Mađarić,Predrag,25:20,0,M35,2.53,0,20
Bogović,Marijan,25:21,0,M35,2.53,0,20
Tišljar,Ivo,25:22,3,M35,2.53,0,20
Habjanec,Goran,26:15,3,M35,2.53,0,20
Tutić,Dražen,31:36,0,M35,2.53,0,20
Pavlin,Domagoj,37:01,0,M35,2.53,0,20
Damir,Podvinski,41:20,0,M35,2.53,0,20
Trivunović,Vladimir,,1,M35,2.53,0,20
Gobec,Karlo,12:28,3,M50,1.71,0,13
Lovrec,Nenad,14:00,0,M50,1.71,0,13
Štambuk,Dario,15:47,0,M50,1.71,0,13
Janžek,Dražen,19:20,0,M50,1.71,0,13
Raškaj,Darko,22:44,0,M50,1.71,0,13
Jelić,Mladen,23:53,4,M50,1.71,0,13
Turkalj,Milan,28:47,0,M50,1.71,0,13
Kukec,Marta,10:08,0,Ž12,1,0,10
Težak,Magdalena,22:55,0,Ž12,1,0,10
Petak,Marta,28:58,0,Ž12,1,0,10
Vukelić,Dora,8:00,0,Ž12,1,0,10
Štambuk,Zdenka Petra,9:00,0,Ž12,1,0,10
Boban,Rea,,1,Ž12,1,0,10
Lovrec,Mia,11:33,0,Ž16,1.46,0,11
Škugor,Hana,15:12,0,Ž16,1.46,0,11
Jakopec,Iva,16:56,0,Ž16,1.46,0,11
Kermek,Dora,17:44,0,Ž16,1.46,0,11
Srebačić,Ana,17:50,0,Ž16,1.46,0,11
Mađarić,Iva,21:02,0,Ž16,1.46,0,11
Sirovec,Tara,21:29,0,Ž16,1.46,0,11
Džombeta,Tija,22:29,0,Ž16,1.46,0,11
Magdić Govedarica,Eva,27:57,0,Ž16,1.46,0,11
Poldrugac Supina,Dora,29:54,0,Ž16,1.46,0,11
Tišljar,Ana,,1,Ž16,1.46,0,11
Ocvirk,Pia,12:59,0,Ž20,1.92,0,16
Težak,Dora,15:17,0,Ž20,1.92,0,16
Lovrec,Iva,,1,Ž20,1.92,0,16
Sakar Vukić,Tena,18:56,0,Ž21,2.19,0,17
Bedeković Tanković,Martina,19:12,0,Ž21,2.19,0,17
Žgela,Marijana,20:08,0,Ž21,2.19,0,17
Kopjar,Marina,20:14,0,Ž21,2.19,0,17
Krznar,Kristina,21:15,0,Ž21,2.19,0,17
Šantić,Nikolina,22:46,0,Ž21,2.19,0,17
Simon,Ana,23:08,0,Ž21,2.19,0,17
Štambuk,Marija,25:15,0,Ž21,2.19,0,17
Herceg,Ivana,28:59,0,Ž21,2.19,0,17
Marijanović,Edita,38:06,0,Ž21,2.19,0,17
Pavić,Mirja,40:36,0,Ž21,2.19,0,17
Van De Riet,Dunja,13:43,0,Ž35,1.68,0,13
Cini,Fabiana,14:57,0,Ž35,1.68,0,13
Jakšić,Mirka,16:22,0,Ž35,1.68,0,13
Cvitković,Maja,17:03,0,Ž35,1.68,0,13
Janžek,Smiljana,17:21,0,Ž35,1.68,0,13
Glagolić,Saša,17:27,0,Ž35,1.68,0,13
Lučić,Slađana,18:37,0,Ž35,1.68,0,13
Sirovec,Marija,19:05,0,Ž35,1.68,0,13
Lovrec,Darinka,19:07,0,Ž35,1.68,0,13
Čuljak Gross,Mladenka,19:25,0,Ž35,1.68,0,13
Srebačić,Davorka,19:55,0,Ž35,1.68,0,13
Letica,Nevena,19:58,0,Ž35,1.68,0,13
Ebenspanger,Emilija,21:06,0,Ž35,1.68,0,13
Majer,Melanija,22:16,0,Ž35,1.68,0,13
Težak,Ivana,26:00,0,Ž35,1.68,0,13
Marchiotti,Mirjana,34:30,0,Ž35,1.68,0,13
Vlahović,Jasminka,,1,Ž35,1.68,0,13
