prezime,ime,vrijeme,klasifikator,kategorija,staza,uspon,kt
Salgado,Ivan,18:06,0,M12,"0,95",0,7
Puharić,Roko,11:08,0,M16,"1,57",0,11
Cvetković,Filip,12:44,0,M16,"1,57",0,11
Kukec,Jura,13:46,0,M16,"1,57",0,11
Jurak,Filip,14:00,0,M16,"1,57",0,11
Gobec,Jan,16:37,0,M16,"1,57",0,11
Gojmerac,Petar,17:42,0,M16,"1,57",0,11
Kodba,Tin,26:35,0,M16,"1,57",0,11
Kodba,Vid,29:23,0,M16,"1,57",0,11
Verović,Kristijan,mp,3,M16,"1,57",0,11
Kirin,Dominik,10:36,0,M20,"1,98",0,11
Štambuk,Andro Vladimir,10:44,0,M20,"1,98",0,11
Razum,Matija,13:39,0,M21,"2,87",0,15
Ocvirk,Edi,14:14,0,M21,"2,87",0,15
Bijelić,Vedran,16:12,0,M21,"2,87",0,15
Varnica,Tomislav,16:26,0,M21,"2,87",0,15
Gobec,Damir,16:28,0,M21,"2,87",0,15
Marković,Frane,18:18,0,M21,"2,87",0,15
Pongrac,Branimir,22:58,0,M21,"2,87",0,15
Papa,Vedran,52:49,0,M21,"2,87",0,15
Orehoci,Robert,11:34,0,M35,"1,98",0,11
Budi,Franjo,12:42,0,M35,"1,98",0,11
Horjan,Zdenko,13:49,0,M35,"1,98",0,11
Uroic,Milivoj,14:17,0,M35,"1,98",0,11
Fabijanić,Daniel,14:58,0,M35,"1,98",0,11
Hainž,Miroslav,17:42,0,M35,"1,98",0,11
Kosić,Luka,17:58,0,M35,"1,98",0,11
Kukec,Boris,20:00,0,M35,"1,98",0,11
Bogović,Marijan,29:20,0,M35,"1,98",0,11
Delgado,Pako,36:19,0,M35,"1,98",0,11
Kaniški,Tomislav,dns,1,M35,"1,98",0,11
Luri,Javi,mp,3,M35,"1,98",0,11
Smerke,Andrej,mp,3,M35,"1,98",0,11
Gojmerac,Tomislav,mp,3,M35,"1,98",0,11
Štambuk,Dario,09:39,0,M50,"1,57",0,11
Kymäläinen,Jari,16:35,0,M50,"1,57",0,11
Priher,Miroslav,19:22,0,M50,"1,57",0,11
Turkalj,Milan,22:51,0,M50,"1,57",0,11
Besten,Miroslav,33:16,0,M50,"1,57",0,11
Lovrec,Nenad,mp,3,M50,"1,57",0,11
Gojmerac,Marta,15:18,0,Ž12,"0,95",0,7
Kukec,Marta,18:15,0,Ž12,"0,95",0,7
Delgado Sršen,Kira,26:20,0,Ž12,"0,95",0,7
Težak,Magdalena,27:07,0,Ž12,"0,95",0,7
Delgado Sršen,Leire,39:29,0,Ž12,"0,95",0,7
Tišljar,Ana,08:00,0,Ž16,"1,32",0,8
Lovrec,Mia,09:31,0,Ž16,"1,32",0,8
Lesjak,Jelena,10:57,0,Ž16,"1,32",0,8
Škugor,Hana,13:27,0,Ž16,"1,32",0,8
Jakopec,Iva,14:44,0,Ž16,"1,32",0,8
Tadić,Eli,dns,1,Ž16,"1,32",0,8
Težak,Dora,10:24,0,Ž20,"1,57",0,11
Lovrec,Iva,10:27,0,Ž20,"1,57",0,11
Pavić,Mirja,13:07,0,Ž21,"1,98",0,11
Gobec,Ivana,14:28,0,Ž21,"1,98",0,11
Orlić,Antonija,15:31,0,Ž21,"1,98",0,11
Krznar,Kristina,17:05,0,Ž21,"1,98",0,11
Kopjar,Marina,17:09,0,Ž21,"1,98",0,11
Šantić,Nikolina,24:43,0,Ž21,"1,98",0,11
Kymäläinen,Maritta,11:36,0,Ž35,"1,57",0,11
Popović Budi,Daniela,12:27,0,Ž35,"1,57",0,11
Sršen,Matea,12:56,0,Ž35,"1,57",0,11
Lovrec,Darinka,12:57,0,Ž35,"1,57",0,11
Vlahović,Jasminka,16:22,0,Ž35,"1,57",0,11
