Surname,First name,Time,Classifier,Long,km,m,Course controls
Salopek,Tihon,14:47,0,M12,1.91,25,9
Vukelić,Juraj,20:22,0,M12,1.91,25,9
Kobijak,Karlo,30:20,0,M12,1.91,25,9
Kuzmanić,Borna,31:43,0,M12,1.91,25,9
Strmečki,Vibor,35:50,0,M12,1.91,25,9
Guliš,Zvonimir,69:53,0,M12,1.91,25,9
Skopljak,David,75:50,0,M12,1.91,25,9
Marković,Rudi,42:15,0,M14,2.15,40,9
Tutić,Teo,,1,M14,2.15,40,9
Gobec,Jan,17:54,0,M16,2.53,50,10
Težak,Karlo,19:33,0,M16,2.53,50,10
Kukec,Jura,24:44,0,M16,2.53,50,10
Tkalec,Vedran,,1,M16,2.53,50,10
Kirin,Dominik,30:39,0,M20,5.06,90,19
Ivković,Luka,33:38,0,M20,5.06,90,19
Štambuk,Andro Vladimir,36:18,0,M20,5.06,90,19
Puharić,Roko,47:50,0,M20,5.06,90,19
Cvetković,Filip,48:45,0,M20,5.06,90,19
Verović,Kristijan,67:00,0,M20,5.06,90,19
Mirković,Marko,134:10,0,M20,5.06,90,19
Tkalec,Nikola,,1,M20,5.06,90,19
Razum,Matija,34:44,0,M21A,5.77,120,23
Despetović,Tihomir,41:38,0,M21A,5.77,120,23
Salopek,Tihomir,41:51,0,M21A,5.77,120,23
Marković,Frane,43:09,0,M21A,5.77,120,23
Pongrac,Branimir,44:03,0,M21A,5.77,120,23
Ocvirk,Edi,44:20,0,M21A,5.77,120,23
Gobec,Damir,45:43,0,M21A,5.77,120,23
Čapeta,Davor,46:07,0,M21A,5.77,120,23
Varnica,Tomislav,47:52,0,M21A,5.77,120,23
Horvat,Vjeran,52:02,0,M21A,5.77,120,23
Spasić,Vladimir,52:33,0,M21A,5.77,120,23
Horvat,Lobel,54:31,0,M21A,5.77,120,23
Tot,Nikola,64:48,0,M21A,5.77,120,23
Filetin,Luka,,1,M21A,5.77,120,23
Bahun,Luka,27:37,0,M21B,3.29,50,13
Šeperić-Grdiša,Ivan,30:42,0,M21B,3.29,50,13
Kosić,Luka,30:56,0,M21B,3.29,50,13
Janžek,Gregor,32:13,0,M21B,3.29,50,13
Pust,Tomaž,32:53,0,M21B,3.29,50,13
Mađarić,Predrag,33:11,0,M21B,3.29,50,13
Tkalec,Robert,36:57,0,M21B,3.29,50,13
Karavidović,Luka,39:24,0,M21B,3.29,50,13
Pavlin,Domagoj,43:04,0,M21B,3.29,50,13
Janžek,Lovro,45:58,0,M21B,3.29,50,13
Luri,Javier,63:19,0,M21B,3.29,50,13
Orehovec,Ranko,123:00,0,M21B,3.29,50,13
Tutić,Dražen,,1,M21B,3.29,50,13
Košturić,Marko,,1,M21B,3.29,50,13
Legac,Lino,35:14,0,M35,5.06,90,19
Orehoci,Robert,39:33,0,M35,5.06,90,19
Vodopija,Goran,39:42,0,M35,5.06,90,19
Budi,Franjo,40:24,0,M35,5.06,90,19
Vukmanović,Mladen,44:33,0,M35,5.06,90,19
Fabijanić,Daniel,46:56,0,M35,5.06,90,19
Vukelić,Bojan,47:17,0,M35,5.06,90,19
Meštrović,Tomislav,48:56,0,M35,5.06,90,19
Suban,Damir,50:14,0,M35,5.06,90,19
Delgado,Pako,50:44,0,M35,5.06,90,19
Gverić,Ivan,52:39,0,M35,5.06,90,19
Markulinčić,Predrag,54:21,0,M35,5.06,90,19
Surjan,Darko,55:29,0,M35,5.06,90,19
Leovac,Josip,56:38,0,M35,5.06,90,19
Hainž,Miroslav,63:23,0,M35,5.06,90,19
Vuk,Tomislav,70:35,0,M35,5.06,90,19
Štambuk,Dario,29:35,0,M45,3.56,85,11
Merunka,Darko,29:38,0,M45,3.56,85,11
Bogović,Marijan,32:32,0,M45,3.56,85,11
Strmečki,Petar,33:46,0,M45,3.56,85,11
Horjan,Zdenko,36:26,0,M45,3.56,85,11
Horvat,Saša,38:57,0,M45,3.56,85,11
Smerke,Andrej,41:16,0,M45,3.56,85,11
Janžek,Dražen,41:49,0,M45,3.56,85,11
Jelić,Mladen,55:17,0,M45,3.56,85,11
Trivunović,Vladimir,,1,M45,3.56,85,11
Lovrec,Nenad,32:31,0,M55,3.29,50,13
Lukačić,Ivica,35:44,0,M55,3.29,50,13
Vinko,Vladimir,38:30,0,M55,3.29,50,13
Sladič,Roman,44:19,0,M55,3.29,50,13
Matijašić,Josip,44:43,0,M55,3.29,50,13
Pongrac,Ivan,29:55,0,M65,2.7,35,10
Turkalj,Milan,45:55,0,M65,2.7,35,10
Čepelak,Radovan,51:20,0,M65,2.7,35,10
Vukelić,Dora,17:44,0,Ž12,1.91,25,9
Kukec,Marta,22:32,0,Ž12,1.91,25,9
Vidaković,Majda,34:38,0,Ž12,1.91,25,9
Težak,Magdalena,35:44,0,Ž12,1.91,25,9
Markulinčić,Jana,41:52,0,Ž12,1.91,25,9
Kovač,Wanda,44:57,0,Ž12,1.91,25,9
Delgado Sršen,Kira,45:58,0,Ž12,1.91,25,9
Filipović,Ema,,1,Ž12,1.91,25,9
Kaniški,Laura,,1,Ž12,1.91,25,9
Jerković Perić,Olga,23:18,0,Ž14,1.96,40,8
Pavlin,Paula,24:05,0,Ž14,1.96,40,8
Lesjak,Jelena,27:53,0,Ž14,1.96,40,8
Petak,Marta,77:04,3,Ž14,1.96,40,8
Jakopec,Iva,29:26,0,Ž16,1.96,40,8
Ivković,Sara,35:20,0,Ž16,2.19,45,8
Kermek,Dora,43:21,0,Ž16,2.19,45,8
Ocvirk,Pia,36:56,0,Ž20,4.1,75,13
Lovrec,Mia,46:57,0,Ž20,4.1,75,13
Balent,Silvija,86:57,0,Ž20,4.1,75,13
Crnković,Manuela,96:11,0,Ž20,4.1,75,13
Lovrec,Iva,,1,Ž20,4.1,75,13
Pavić,Mirja,35:51,0,Ž21A,4.57,90,15
Vukmanović,Vinka,37:09,0,Ž21A,4.57,90,15
Sakar Vukić,Tena,38:01,0,Ž21A,4.57,90,15
Ocvirk,Eva,43:48,0,Ž21A,4.57,90,15
Štambuk,Marija,46:11,0,Ž21A,4.57,90,15
Gobec,Ivana,49:25,0,Ž21A,4.57,90,15
Težak,Dora,51:11,0,Ž21A,4.57,90,15
Kovaljesko,Monika,53:15,0,Ž21A,4.57,90,15
Krznar,Kristina,58:19,0,Ž21A,4.57,90,15
Kopjar,Marina,26:27,0,Ž21B,2.7,35,10
Stupalo,Vlatka,35:00,0,Ž21B,2.7,35,10
Kuzmanić,Ivana,39:19,0,Ž21B,2.7,35,10
Pongrac,Maja,44:14,0,Ž21B,2.7,35,10
Jandrečić,Nola,45:11,0,Ž21B,2.7,35,10
Čečura,Magdalena,48:28,0,Ž21B,2.7,35,10
Lesjak,Sonja,38:34,0,Ž35,4.1,75,13
Sršen,Matea,41:36,0,Ž35,4.1,75,13
Popović Budi,Daniela,42:13,0,Ž35,4.1,75,13
Šantić,Nikolina,46:00,0,Ž35,4.1,75,13
Cini,Fabiana,47:38,0,Ž35,4.1,75,13
Žgela Putniković,Marijana,50:57,0,Ž35,4.1,75,13
Seražin Korper,Sabina,51:10,0,Ž35,4.1,75,13
Jakšić,Mirka,54:09,0,Ž35,4.1,75,13
Mandić,Ana,56:33,0,Ž35,4.1,75,13
Cindrić Perković,Jasminka,63:48,0,Ž35,4.1,75,13
Kiš,Marta,64:26,0,Ž35,4.1,75,13
Sertić,Ivana,65:26,0,Ž35,4.1,75,13
Kušt,Maja,69:10,0,Ž35,4.1,75,13
Stipic,Bernardica,75:30,0,Ž35,4.1,75,13
