Surname,First name,Time,Classifier,Long,km,m,Course controls
Jevševar,Martin,11:23,0,M12,1.6,50,6
Vukelić,Juraj,33:42,0,M12,1.6,50,6
Strmečki,Vibor,50:42,0,M12,1.6,50,6
Korlaet,Petar,55:22,0,M12,1.6,50,6
Tutić,Teo,56:33,0,M14,1.57,60,7
Gobec,Jan,28:42,0,M16,2.44,90,11
Kukec,Jura,43:14,0,M16,2.44,90,11
Težak,Karlo,47:06,0,M16,2.44,90,11
Kirin,Dominik,35:23,0,M20,4.08,160,13
Blaž,Matic,39:15,0,M20,4.08,160,13
Cvetković,Filip,68:21,0,M20,4.08,160,13
Puharić,Roko,75:19,0,M20,4.08,160,13
Verović,Kristijan,86:29,0,M20,4.08,160,13
Jurak,Filip,,2,M20,4.08,160,13
Štambuk,Andro Vladimir,38:53,3,M20,4.08,160,13
Piltaver,Jaka,41:54,0,M21A,4.08,160,13
Gobec,Damir,43:25,0,M21A,4.08,160,13
Ocvirk,Edi,43:33,0,M21A,4.08,160,13
Marković,Frane,45:51,0,M21A,4.08,160,13
Pongrac,Branimir,46:17,0,M21A,4.08,160,13
Despetović,Tihomir,47:25,0,M21A,4.08,160,13
Spasić,Vladimir,47:55,0,M21A,4.08,160,13
Suhina,Vanja,54:10,0,M21A,4.08,160,13
Filetin,Luka,55:03,0,M21A,4.08,160,13
Horvat,Lobel,57:40,0,M21A,4.08,160,13
Varnica,Tomislav,58:28,0,M21A,4.08,160,13
Horvat,Vjeran,65:49,0,M21A,4.08,160,13
Pust,Tomaž,35:33,0,M21B,2.44,90,11
Stankovski,Dalibor,37:02,0,M21B,2.44,90,11
Martinović,Antonio,39:28,0,M21B,2.44,90,11
Biro,Andrej,41:00,0,M21B,2.44,90,11
Košturić,Marko,47:34,0,M21B,2.44,90,11
Šantić,Domagoj,48:47,0,M21B,2.44,90,11
Kosić,Luka,48:52,0,M21B,2.44,90,11
Perica,Petar,49:12,0,M21B,2.44,90,11
Šeperić-Grdiša,Ivan,51:02,0,M21B,2.44,90,11
Tutić,Dražen,52:12,0,M21B,2.44,90,11
Perica,Mladen,53:18,0,M21B,2.44,90,11
Kokoš,Krunoslav,53:50,0,M21B,2.44,90,11
Karavidović,Luka,58:30,0,M21B,2.44,90,11
Pavlin,Domagoj,58:45,0,M21B,2.44,90,11
Luri,Javier,64:19,0,M21B,2.44,90,11
Salgado,Jorge,80:56,0,M21B,2.44,90,11
Muhtić,Siniša,,2,M21B,2.44,90,11
Čurić,Ivan,,2,M21B,2.44,90,11
Zadrović,Filip,,2,M21B,2.44,90,11
Legac,Lino,35:51,0,M35,3.75,150,12
Vodopija,Goran,39:20,0,M35,3.75,150,12
Jevševar,Bojan,40:54,0,M35,3.75,150,12
Orehoci,Robert,43:14,0,M35,3.75,150,12
Kaniški,Tomislav,45:40,0,M35,3.75,150,12
Vukelić,Bojan,53:22,0,M35,3.75,150,12
Pataki,Gabor,53:33,0,M35,3.75,150,12
Vukmanović,Mladen,55:04,0,M35,3.75,150,12
Gamberger,Marko,56:54,0,M35,3.75,150,12
Gverić,Ivan,57:01,0,M35,3.75,150,12
Delgado,Pako,63:33,0,M35,3.75,150,12
Meštrović,Tomislav,67:36,0,M35,3.75,150,12
Hainž,Miroslav,90:08,0,M35,3.75,150,12
Vuk,Tomislav,,2,M35,3.75,150,12
Merunka,Darko,28:37,0,M45,2.43,95,9
Štambuk,Dario,30:46,0,M45,2.43,95,9
Eržen,Boris,34:17,0,M45,2.43,95,9
Bogović,Marijan,36:01,0,M45,2.43,95,9
Trivunović,Vlado,37:06,0,M45,2.43,95,9
Strmečki,Petar,40:37,0,M45,2.43,95,9
Smerke,Andrej,43:08,0,M45,2.43,95,9
Horvat,Saša,50:36,0,M45,2.43,95,9
Penić,Ivan Ivo,55:15,0,M45,2.43,95,9
Horjan,Zdenko,58:00,0,M45,2.43,95,9
Boban,Mile,62:30,0,M45,2.43,95,9
Jelić,Mladen,66:38,0,M45,2.43,95,9
Besten,Miroslav,69:35,0,M45,2.43,95,9
Lovrec,Nenad,29:31,0,M55,2.11,60,8
Sladič,Roman,38:32,0,M55,2.11,60,8
Lukačić,Ivica,47:39,0,M55,2.11,60,8
Cindrić,Marijan,55:42,0,M55,2.11,60,8
Matijašić,Josip,72:03,0,M55,2.11,60,8
Belaj,Željko,27:35,0,M65,1.56,60,7
Pongrac,Ivan,35:32,0,M65,1.56,60,7
Ulip,Zeljko,38:12,0,M65,1.56,60,7
Jelinić,Mark i Una,28:19,0,Open,1.6,50,6
Kabalin Borenić,Višnja,28:49,0,Open,1.6,50,6
Rusan,Drago,30:48,0,Open,1.6,50,6
Gajdek,Željka,33:20,0,Open,1.6,50,6
Birkić,Draženka,34:46,0,Open,1.6,50,6
Kuzmanić,Borna,36:13,0,Open,1.6,50,6
Boban,Jakov,47:02,0,Open,1.6,50,6
Hodak,Janko,50:19,0,Open,1.6,50,6
Sokolović,Marijana,66:34,0,Open,1.6,50,6
Tutić,Martina,68:23,0,Open,1.6,50,6
Bergant Vidakovic,Sandra,68:43,0,Open,1.6,50,6
Borenić,Bartol,70:33,0,Open,1.6,50,6
Kaniški,Laura,73:49,0,Open,1.6,50,6
Tutić,Ema,79:50,0,Open,1.6,50,6
Labaš,Predrag,80:06,0,Open,1.6,50,6
Zrile,Sanela,,2,Open,1.6,50,6
Miljak,Sanja,,2,Open,1.6,50,6
Borenić,Karla,,2,Open,1.6,50,6
Musić,Maja,,2,Open,1.6,50,6
Vukelić,Dora,21:42,0,Ž12,1.6,50,6
Kukec,Marta,24:12,0,Ž12,1.6,50,6
Vidaković,Majda,37:11,0,Ž12,1.6,50,6
Težak,Magdalena,84:04,0,Ž12,1.6,50,6
Hodak,Mirta,94:03,0,Ž12,1.6,50,6
Delgado Sršen,Leire,,2,Ž12,1.6,50,6
Jerković Perić,Olga,23:58,0,Ž14,1.57,60,7
