Surname,First name,Time,Classifier,Long,km,m,Course controls
Allwinger,Otto,32:36,0,M12,1.84,70,7
Vukelić,Juraj,39:49,0,M12,1.84,70,7
Korlaet,Petar,,1,M12,1.84,70,7
Strmečki,Vibor,,2,M12,1.84,70,7
Molnár,Botond,23:17,0,M14,1.86,90,8
Teichmann,Tobias,33:23,0,M14,1.86,90,8
Molnár,Levente,37:25,0,M14,1.86,90,8
Csertán,Balázs,37:51,0,M14,1.86,90,8
Marković,Rudi,88:54,0,M14,1.86,90,8
Csertán,András,36:18,0,M16,2.42,140,10
Težak,Karlo,40:14,0,M16,2.42,140,10
Gobec,Jan,41:00,0,M16,2.42,140,10
Kukec,Jura,56:22,0,M16,2.42,140,10
Tkalec,Vedran,,1,M16,2.42,140,10
Štambuk,Andro Vladimir,59:14,0,M20,4.58,225,18
Kirin,Dominik,62:17,0,M20,4.58,225,18
Puharić,Roko,76:39,0,M20,4.58,225,18
Cvetković,Filip,82:36,0,M20,4.58,225,18
Erdős,Márton,91:37,0,M20,4.58,225,18
Janžek,Gregor,92:53,0,M20,4.58,225,18
Verović,Kristijan,131:15,0,M20,4.58,225,18
Tkalec,Nikola,,1,M20,4.58,225,18
Jurak,Filip,89:00,3,M20,4.58,225,18
Perica,Petar,32:25,0,M21B,2.13,110,8
Delgado,Pako,32:52,0,M21B,2.13,110,8
Perica,Mladen,37:08,0,M21B,2.13,110,8
Košturić,Marko,37:10,0,M21B,2.13,110,8
Immervoll,Christopher,46:41,0,M21B,2.13,110,8
Kosić,Luka,50:03,0,M21B,2.13,110,8
Pavlin,Domagoj,55:12,0,M21B,2.13,110,8
Salgado,Jorge,57:23,0,M21B,2.13,110,8
Karavidović,Luka,59:16,0,M21B,2.13,110,8
Luri,Javier,61:05,0,M21B,2.13,110,8
Tkalec,Robert,,1,M21B,2.13,110,8
Muhtić,Siniša,84:34,3,M21B,2.13,110,8
Šantić,Domagoj,,1,M21B,2.13,110,8
Razum,Matija,46:28,0,M21A,4.58,225,18
Ocvirk,Edi,51:35,0,M21A,4.58,225,18
Kwok,Kin Kwan,53:35,0,M21A,4.58,225,18
Despetović,Tihomir,58:56,0,M21A,4.58,225,18
Pongrac,Branimir,59:42,0,M21A,4.58,225,18
Marković,Frane,61:10,0,M21A,4.58,225,18
Spasić,Vladimir,65:00,0,M21A,4.58,225,18
Suhina,Vanja,66:39,0,M21A,4.58,225,18
Gobec,Damir,68:09,0,M21A,4.58,225,18
Filetin,Luka,71:09,0,M21A,4.58,225,18
Varnica,Tomislav,71:36,0,M21A,4.58,225,18
Mitró,Zoltán,77:00,0,M21A,4.58,225,18
Horvat,Lobel,89:36,0,M21A,4.58,225,18
Horvat,Vjeran,92:12,0,M21A,4.58,225,18
Leljak,Marko,100:39,0,M21A,4.58,225,18
Ng,Kok Hei,127:12,0,M21A,4.58,225,18
Lau,Kwun Him Himmy,,1,M21A,4.58,225,18
Legac,Lino,40:06,0,M35,3.69,225,17
Kaniški,Tomislav,44:38,0,M35,3.69,225,17
Orehoci,Robert,49:02,0,M35,3.69,225,17
Budi,Franjo,49:54,0,M35,3.69,225,17
Vodopija,Goran,51:30,0,M35,3.69,225,17
Antolić,Željko,56:02,0,M35,3.69,225,17
Hainž,Miroslav,58:22,0,M35,3.69,225,17
Vukelić,Bojan,68:32,0,M35,3.69,225,17
Vuk,Tomislav,74:49,0,M35,3.69,225,17
Kukec,Boris,84:37,0,M35,3.69,225,17
Surjan,Darko,90:19,0,M35,3.69,225,17
Meštrović,Tomislav,,1,M35,3.69,225,17
Nosić,Silvije,,1,M35,3.69,225,17
Allwinger,Herwig,37:07,0,M45,2.99,200,12
Fehér,Ferenc,40:01,0,M45,2.99,200,12
