prezime,ime,vrijeme,klasifikator,Class,duzina,uspon ,kontrola
Vukelić,Juraj,25:07,0,M12,2.1,30,7
Zridkavesely,Adam,28:33,0,M12,2.1,30,7
Tišljar,Mirko,34:31,0,M12,2.1,30,7
Zridkavesely,Martin,dnf,3,M12,2.1,30,7
Strmečki,Vibor,dnf,3,M12,2.1,30,7
Anderluh,Luka,dns,1,M12,2.1,30,7
Marković,Rudi,54:51,0,M14,2.6,40,10
Leitner,Mario,61:42,0,M14,2.6,40,10
Tutić,Teo,79:12,0,M14,2.6,40,10
Gobec,Jan,39:52,0,M16,3.3,60,12
Kodba,Tin,41:58,0,M16,3.3,60,12
Kukec,Jura,83:14,0,M16,3.3,60,12
Težak,Karlo,85:03,0,M16,3.3,60,12
Kodba,Vid,87:09,0,M16,3.3,60,12
Bonek,Janis,26:20,0,M20,4.2,130,14
Hirs,Otakar,29:16,0,M20,4.2,130,14
Wolfram,Clemens,29:26,0,M20,4.2,130,14
Kelbl,Vladimir,31:01,0,M20,4.2,130,14
Kirin,Dominik,34:36,0,M20,4.2,130,14
Blaž,Matic,36:00,0,M20,4.2,130,14
Ravnikar,Žan,36:07,0,M20,4.2,130,14
Puharić,Roko,54:35,0,M20,4.2,130,14
Cvetković,Filip,79:40,0,M20,4.2,130,14
Gojmerac,Petar,dns,1,M20,4.2,130,14
Jurak,Filip,mp,3,M20,4.2,130,14
Stankovski,Dalibor,36:13,0,M21B,3.3,60,12
Šeperić-Grdiša,Ivan,36:22,0,M21B,3.3,60,12
Pust,Tomaž,40:55,0,M21B,3.3,60,12
Mađarić,Predrag,41:33,0,M21B,3.3,60,12
Kosić,Luka,46:10,0,M21B,3.3,60,12
Tutić,Dražen,46:45,0,M21B,3.3,60,12
Salgado,Jorge,61:48,0,M21B,3.3,60,12
Kušar,Žiga,72:03,0,M21B,3.3,60,12
Luri,Javier,108:54,0,M21B,3.3,60,12
Peter,Mathias,35:49,0,M21A,5.3,155,17
Caraglio,Michele,36:20,0,M21A,5.3,155,17
Silvennoinen,Santeri,36:57,0,M21A,5.3,155,17
Kurz,Florian,37:04,0,M21A,5.3,155,17
Razum,Matija,38:06,0,M21A,5.3,155,17
Mokry,Stanislav,38:42,0,M21A,5.3,155,17
Pauser,Jakob,39:10,0,M21A,5.3,155,17
Zhanal,Jan,40:47,0,M21A,5.3,155,17
Hartlieb,Felix,41:47,0,M21A,5.3,155,17
Zorman,Jernej,41:47,0,M21A,5.3,155,17
Polster,Thomas,42:13,0,M21A,5.3,155,17
Zridkavesely,Libor,42:41,0,M21A,5.3,155,17
Kubelka,Stefan,42:54,0,M21A,5.3,155,17
Franco,Michele,44:57,0,M21A,5.3,155,17
Klusacek,Jan,45:12,0,M21A,5.3,155,17
Gremmel,Richard,45:37,0,M21A,5.3,155,17
Ocvirk,Edi,45:37,0,M21A,5.3,155,17
Pongrac,Branimir,52:31,0,M21A,5.3,155,17
Silvennoinen,Jussi,52:32,0,M21A,5.3,155,17
Gobec,Damir,54:46,0,M21A,5.3,155,17
Prikryl,Petr,54:56,0,M21A,5.3,155,17
Varnica,Tomislav,56:33,0,M21A,5.3,155,17
Stachon,Zdenek,58:27,0,M21A,5.3,155,17
Marković,Frane,61:44,0,M21A,5.3,155,17
Kasal,Vit,63:21,0,M21A,5.3,155,17
Spasić,Vladimir,66:46,0,M21A,5.3,155,17
Dimitrov,Dimitar,70:46,0,M21A,5.3,155,17
Patek,Richard,76:17,0,M21A,5.3,155,17
Filetin,Luka,93:07,0,M21A,5.3,155,17
Suhina,Vanja,97:06,0,M21A,5.3,155,17
Silvennoinen,Oskari,101:44,0,M21A,5.3,155,17
Tušar,Peter,dns,1,M21A,5.3,155,17
Hruška,Jakub,mp,3,M21A,5.3,155,17
Despetović,Tihomir,mp,3,M21A,5.3,155,17
Legac,Lino,36:51,0,M35,4.2,130,14
Orehoci,Robert,37:25,0,M35,4.2,130,14
Vukelić,Bojan,47:11,0,M35,4.2,130,14
Moerth,Markus,49:16,0,M35,4.2,130,14
Gamberger,Marko,50:50,0,M35,4.2,130,14
Budi,Franjo,53:51,0,M35,4.2,130,14
Meštrović,Tomislav,59:39,0,M35,4.2,130,14
Leovac,Josip,59:50,0,M35,4.2,130,14
Delgado,Pako,61:25,0,M35,4.2,130,14
Habjanec,Goran,105:20,0,M35,4.2,130,14
Anderluh,Gregor,dns,1,M35,4.2,130,14
Štambuk,Dario,40:05,0,M45,3.7,100,14
Smerke,Andrej,46:09,0,M45,3.7,100,14
Merunka,Darko,47:38,0,M45,3.7,100,14
Giovannini,Marco,47:50,0,M45,3.7,100,14
Tišljar,Ivo,51:17,0,M45,3.7,100,14
Romanović,Radenko,52:28,0,M45,3.7,100,14
Horjan,Zdenko,53:09,0,M45,3.7,100,14
Strmečki,Petar,56:04,0,M45,3.7,100,14
Besten,Miroslav,95:36,0,M45,3.7,100,14
Gojmerac,Tomislav,dns,3,M45,3.7,100,14
Bogović,Marijan,dnf,1,M45,3.7,100,14
Lovrec,Nenad,38:18,0,M55,3.2,55,13
Sladič,Roman,40:20,0,M55,3.2,55,13
Matijašić,Josip,56:05,0,M55,3.2,55,13
Turkalj,Milan,89:19,0,M65,3.0,40,12
Vukelić,Dora,28:17,0,Ž12,2.1,30,7
Kukec,Marta,60:20,0,Ž12,2.1,30,7
Delgado Sršen,Kira,64:35,0,Ž12,2.1,30,7
Težak,Magdalena,69:42,0,Ž12,2.1,30,7
Delgado Sršen,Leire,70:32,0,Ž12,2.1,30,7
Lesjak,Jelena,37:37,0,Ž14,2.4,40,8
Anderluh,Katarina Eva,dns,1,Ž14,2.4,40,8
Magdić Govedarica,Eva,67:03,0,Ž16,2.6,40,10
Srebačić,Ana,68:45,0,Ž16,2.6,40,10
Kušar,Katarina,95:40,0,Ž16,2.6,40,10
Gojmerac,Lucija,dns,1,Ž16,2.6,40,10
Jakopec,Iva,dns,1,Ž16,2.6,40,10
Škugor,Hana,dns,1,Ž16,2.6,40,10
Gassner,Jasmina,28:26,0,Ž20,4.1,130,16
Berger,Ani,32:54,0,Ž20,4.1,130,16
Trummer,Rosa,33:17,0,Ž20,4.1,130,16
Tiefenböck,Tina,37:21,0,Ž20,4.1,130,16
Ocvirk,Pia,44:46,0,Ž20,4.1,130,16
Ravnikar,Monika,51:16,0,Ž20,4.1,130,16
Lovrec,Iva,53:07,0,Ž20,4.1,130,16
Tišljar,Ana,58:26,0,Ž20,4.1,130,16
Lovrec,Mia,66:42,0,Ž20,4.1,130,16
Stachonova,Barbora,26:50,0,Ž21B,2.6,40,10
Dimitrova,Tanya,40:00,0,Ž21B,2.6,40,10
Zebele,Maria,48:14,0,Ž21B,2.6,40,10
Kušar,Barbara,54:02,0,Ž21B,2.6,40,10
Pongrac,Maja,70:34,0,Ž21B,2.6,40,10
Pizzolato,Greta,mp,3,Ž21B,2.6,40,10
Hruskova,Barbora,26:26,0,Ž21A,4.1,130,16
Chroma,Katerina,28:41,0,Ž21A,4.1,130,16
Indráková,Adéla,30:19,0,Ž21A,4.1,130,16
Hiklova,Natalia,30:24,0,Ž21A,4.1,130,16
Poklopova,Lenka,30:43,0,Ž21A,4.1,130,16
Rantanen,Emilia,32:42,0,Ž21A,4.1,130,16
Tuzilova,Magdalena,34:20,0,Ž21A,4.1,130,16
Silvennoinen,Siiri,34:53,0,Ž21A,4.1,130,16
Orlić,Antonija,34:59,0,Ž21A,4.1,130,16
Trummer,Johanna,35:14,0,Ž21A,4.1,130,16
Flerin,Mojca,36:39,0,Ž21A,4.1,130,16
Pavić,Mirja,37:18,0,Ž21A,4.1,130,16
Sakar Vukić,Tena,41:46,0,Ž21A,4.1,130,16
Gobec,Ivana,46:04,0,Ž21A,4.1,130,16
Težak,Dora,47:41,0,Ž21A,4.1,130,16
Drevenšek,Suzana,49:57,0,Ž21A,4.1,130,16
Silvennoinen,Tarja,50:23,0,Ž21A,4.1,130,16
Krznar,Kristina,50:51,0,Ž21A,4.1,130,16
Ocvirk,Eva,52:29,0,Ž21A,4.1,130,16
Kovaljesko,Monika,57:45,0,Ž21A,4.1,130,16
Beblek,Ana,58:49,0,Ž21A,4.1,130,16
Štambuk,Marija,60:09,0,Ž21A,4.1,130,16
Kmetec,Barbara,73:38,0,Ž21A,4.1,130,16
Šantić,Nikolina,35:21,0,Ž35,3.2,55,13
Sršen,Matea,37:00,0,Ž35,3.2,55,13
Lesjak,Sonja,38:01,0,Ž35,3.2,55,13
Jakšić,Mirka,41:09,0,Ž35,3.2,55,13
Popović Budi,Daniela,41:21,0,Ž35,3.2,55,13
Hochwieser,Silke,50:18,0,Ž35,3.2,55,13
Stipic,Bernardica,53:29,0,Ž35,3.2,55,13
Cindrić Perković,Jasminka,55:14,0,Ž35,3.2,55,13
Kušt,Maja,65:26,0,Ž35,3.2,55,13
Detić,Lidija,73:26,0,Ž35,3.2,55,13
Anderluh,Marija,dns,1,Ž35,3.2,55,13
Srebačić,Davorka,mp,3,Ž35,3.2,55,13
Cvitković,Maja,38:24,0,Ž45,2.6,40,10
Lovrec,Darinka,44:08,0,Ž45,2.6,40,10
Licia,Kalcich,45:18,0,Ž45,2.6,40,10
Fabek,Branka,71:34,0,Ž45,2.6,40,10
