Surname,First name,Time,Classifier,Long,km,m,Course controls
Razum,Matija,13:22,0,M21,3.5,0,21
Kirin,Dominik,15:03,0,M21,3.5,0,21
Ocvirk,Edi,16:58,0,M21,3.5,0,21
Marković,Frane,17:21,0,M21,3.5,0,21
Despetović,Tihomir,17:26,0,M21,3.5,0,21
Horvat,Lobel,17:29,0,M21,3.5,0,21
Varnica,Tomislav,18:16,0,M21,3.5,0,21
Horvat,Vjeran,20:17,0,M21,3.5,0,21
Šeperić-Grdiša,Ivan,22:33,0,M21,3.5,0,21
Puhek,Matija,24:25,0,M21,3.5,0,21
Košturić,Marko,25:36,0,M21,3.5,0,21
Ocvirk,Pia,13:43,0,Ž21,2.8,0,17
Orlić,Antonija,15:05,0,Ž21,2.8,0,17
Pavić,Mirja,16:05,0,Ž21,2.8,0,17
Štambuk,Marija,16:19,0,Ž21,2.8,0,17
Težak,Dora,18:07,0,Ž21,2.8,0,17
Sakar Vukić,Tena,14:20,3,Ž21,2.8,0,17
Lovrec,Nenad,14:48,0,M50,2.5,0,15
Priher,Miroslav,15:53,0,M50,2.5,0,15
Strmečki,Petar,16:24,0,M50,2.5,0,15
Horvat,Saša,17:01,0,M50,2.5,0,15
Jelić,Mladen,22:04,0,M50,2.5,0,15
Raškaj,Darko,22:35,0,M50,2.5,0,15
Belaj,Željko,19:14,3,M50,2.5,0,15
Vodopija,Goran,15:26,0,M35,3.3,0,19
Budi,Franjo,16:09,0,M35,3.3,0,19
Hainž,Miroslav,16:18,0,M35,3.3,0,19
Pust,Tomaž,16:23,0,M35,3.3,0,19
Vuk,Tomislav,16:31,0,M35,3.3,0,19
Van De Riet,Gerrit,17:21,0,M35,3.3,0,19
Tkalec,Vladimir,18:44,0,M35,3.3,0,19
Meštrović,Tomislav,19:20,0,M35,3.3,0,19
Vukmanović,Mladen,19:40,0,M35,3.3,0,19
Fabijanić,Daniel,20:19,0,M35,3.3,0,19
Orehoci,Robert,20:44,0,M35,3.3,0,19
Gojmerac,Tomislav,20:58,0,M35,3.3,0,19
Surjan,Darko,22:15,0,M35,3.3,0,19
Tutić,Dražen,24:15,0,M35,3.3,0,19
Bogović,Marijan,26:49,0,M35,3.3,0,19
Sovilj,Dalibor,,1,M35,3.3,0,19
Smerke,Andrej,,1,M35,3.3,0,19
Ivković,Luka,16:51,0,M20,3.5,0,21
Gojmerac,Petar,19:30,0,M20,3.5,0,21
Cvetković,Filip,19:56,0,M20,3.5,0,21
Ilčić,Šimun,26:44,0,M20,3.5,0,21
Štambuk,Andro Vladimir,14:17,3,M20,3.5,0,21
Puharić,Roko,18:29,3,M20,3.5,0,21
Težak,Karlo,14:53,0,M16,2.7,0,17
Gobec,Jan,15:25,0,M16,2.7,0,17
Kukec,Jura,21:07,0,M16,2.7,0,17
Kodba,Tin,22:02,0,M16,2.7,0,17
Tutić,Teo,22:40,0,M16,2.7,0,17
Kodba,Vid,25:42,0,M16,2.7,0,17
Kuzmanić,Borna,15:03,0,M12,1.4,0,9
Gojmerac,Luka,17:05,0,M12,1.4,0,9
Guliš,Zvonimir,24:14,0,M12,1.4,0,9
Kobijak,Karlo,,1,M12,1.4,0,9
Skopljak,David,,1,M12,1.4,0,9
Strmečki,Vibor,,1,M12,1.4,0,9
Tišljar,Mirko,,1,M12,1.4,0,9
Ocvirk,Eva,14:37,0,Ž35,2.5,0,15
Van De Riet,Dunja,14:38,0,Ž35,2.5,0,15
Žgela Putniković,Marijana,15:43,0,Ž35,2.5,0,15
Cini,Fabiana,16:28,0,Ž35,2.5,0,15
Jakšić,Mirka,17:48,0,Ž35,2.5,0,15
Triplat Horvat,Martina,19:07,0,Ž35,2.5,0,15
Lovrec,Darinka,19:26,0,Ž35,2.5,0,15
Čorko Meštrović,Irena,20:03,0,Ž35,2.5,0,15
Berženji,Sanda,21:16,0,Ž35,2.5,0,15
Majer,Melanija,24:19,0,Ž35,2.5,0,15
Sertić,Ivana,24:49,0,Ž35,2.5,0,15
Kuzmanić,Ivana,29:40,0,Ž35,2.5,0,15
Franc,Vera,5:33:32,3,Ž35,2.5,0,15
Kušt,Maja,,1,Ž35,2.5,0,15
Lovrec,Iva,17:06,0,Ž20,2.8,0,17
Crnković,Manuela,18:21,0,Ž20,2.8,0,17
Lovrec,Mia,18:58,0,Ž20,2.8,0,17
Jandrečić,Nola,24:35,0,Ž20,2.8,0,17
Balent,Silvija,32:06,0,Ž20,2.8,0,17
Tišljar,Ana,,1,Ž20,2.8,0,17
Pavlin,Paula,16:16,0,Ž16,2.3,0,13
Gojmerac,Lucija,18:07,0,Ž16,2.3,0,13
Kermek,Dora,19:51,0,Ž16,2.3,0,13
Gojmerac,Marta,20:37,0,Ž16,2.3,0,13
Ivković,Sara,20:51,0,Ž16,2.3,0,13
Jerković Perić,Olga,21:41,0,Ž16,2.3,0,13
Hercigonja,Pia,23:30,0,Ž16,2.3,0,13
Detić,Irena,32:27,0,Ž16,2.3,0,13
Petak,Marta,38:05,0,Ž16,2.3,0,13
Boban,Rea,,1,Ž16,2.3,0,13
Jakopec,Iva,,1,Ž16,2.3,0,13
Pust,Karin,9:14,0,Ž12,1.4,0,9
Štambuk,Zdenka Petra,10:39,0,Ž12,1.4,0,9
Kukec,Marta,11:33,0,Ž12,1.4,0,9
Vidaković,Majda,13:07,0,Ž12,1.4,0,9
Težak,Magdalena,13:58,0,Ž12,1.4,0,9
Gojmerac,Jelena,14:43,0,Ž12,1.4,0,9
Štambuk,Lucija Marijela,22:44,0,Ž12,1.4,0,9
Balaban,Ana,45:24,0,Ž12,1.4,0,9
Balaban,Iva,1:24:00,3,Ž12,1.4,0,9
Markulinčić,Jana,14:36,3,Ž12,1.4,0,9
