Surname,First name,Time,Classifier,Long,km,m,Course controls
Razum,Matija,14:45,0,M21,3.5,,25
Despetović,Tihomir,17:08,0,M21,3.5,,25
Ocvirk,Edi,17:42,0,M21,3.5,,25
Marković,Frane,18:12,0,M21,3.5,,25
Varnica,Tomislav,18:24,0,M21,3.5,,25
Horvat,Lobel,18:46,0,M21,3.5,,25
Horvat,Vjeran,23:53,0,M21,3.5,,25
Šeperić-Grdiša,Ivan,24:11,0,M21,3.5,,25
Puhek,Matija,25:20,0,M21,3.5,,25
Košturić,Marko,28:17,0,M21,3.5,,25
Lovrec,Nenad,15:52,0,M50,2.7,,17
Strmečki,Petar,17:01,0,M50,2.7,,17
Priher,Miroslav,18:16,0,M50,2.7,,17
Horvat,Saša,19:30,0,M50,2.7,,17
Raškaj,Darko,20:17,0,M50,2.7,,17
Belaj,Željko,22:15,0,M50,2.7,,17
Jelić,Mladen,23:58,0,M50,2.7,,17
Budi,Franjo,16:44,0,M35,3.4,,23
Vodopija,Goran,17:13,0,M35,3.4,,23
Orehoci,Robert,18:49,0,M35,3.4,,23
Vuk,Tomislav,19:02,0,M35,3.4,,23
Vukmanović,Mladen,21:47,0,M35,3.4,,23
Pust,Tomaž,22:31,0,M35,3.4,,23
Meštrović,Tomislav,23:14,0,M35,3.4,,23
Bogović,Marijan,23:41,0,M35,3.4,,23
Tutić,Dražen,24:40,0,M35,3.4,,23
Gojmerac,Tomislav,26:11,0,M35,3.4,,23
Fabijanić,Daniel,20:17,3,M35,3.4,,23
Hainž,Miroslav,19:59,3,M35,3.4,,23
Van De Riet,Gerrit,,1,M35,3.4,,23
Sovilj,Dalibor,,1,M35,3.4,,23
Kirin,Dominik,15:07,0,M20,3.5,,25
Štambuk,Andro Vladimir,15:55,0,M20,3.5,,25
Ivković,Luka,18:06,0,M20,3.5,,25
Puharić,Roko,21:18,0,M20,3.5,,25
Cvetković,Filip,22:57,0,M20,3.5,,25
Gojmerac,Petar,23:54,0,M20,3.5,,25
Ilčić,Šimun,29:56,3,M20,3.5,,25
Težak,Karlo,15:06,0,M16,2.8,,19
Gobec,Jan,17:10,0,M16,2.8,,19
Kukec,Jura,19:04,0,M16,2.8,,19
Tutić,Teo,21:54,0,M16,2.8,,19
Kodba,Vid,22:19,0,M16,2.8,,19
Kodba,Tin,27:04,0,M16,2.8,,19
Gojmerac,Luka,14:50,0,M12,1.4,,9
Kuzmanić,Borna,17:45,0,M12,1.4,,9
Guliš,Zvonimir,21:47,0,M12,1.4,,9
Kobijak,Karlo,,1,M12,1.4,,9
Skopljak,David,,1,M12,1.4,,9
Strmečki,Vibor,,1,M12,1.4,,9
Tišljar,Mirko,,1,M12,1.4,,9
Ocvirk,Eva,17:40,0,Ž35,2.8,,21
Žgela Putniković,Marijana,20:43,0,Ž35,2.8,,21
Cini,Fabiana,21:12,0,Ž35,2.8,,21
Kuzmanić,Ivana,24:43,0,Ž35,2.8,,21
Čorko Meštrović,Irena,24:46,0,Ž35,2.8,,21
Triplat Horvat,Martina,26:12,0,Ž35,2.8,,21
Lovrec,Darinka,28:46,0,Ž35,2.8,,21
Berženji,Sanda,31:32,0,Ž35,2.8,,21
Franc,Vera,1:09:32,3,Ž35,2.8,,21
Jakšić,Mirka,21:54,3,Ž35,2.8,,21
Van De Riet,Dunja,,1,Ž35,2.8,,21
Kušt,Maja,,1,Ž35,2.8,,21
Majer,Melanija,,1,Ž35,2.8,,21
Ocvirk,Pia,16:15,0,Ž20,2.9,,22
Lovrec,Iva,19:11,0,Ž20,2.9,,22
Lovrec,Mia,21:17,0,Ž20,2.9,,22
Balent,Silvija,33:14,0,Ž20,2.9,,22
Jandrečić,Nola,29:38,3,Ž20,2.9,,22
Crnković,Manuela,47:13,3,Ž20,2.9,,22
Tišljar,Ana,,1,Ž20,2.9,,22
Jerković Perić,Olga,18:44,0,Ž16,2.4,,16
Pavlin,Paula,18:47,0,Ž16,2.4,,16
Ivković,Sara,20:15,0,Ž16,2.4,,16
Kermek,Dora,22:08,0,Ž16,2.4,,16
Hercigonja,Pia,23:08,0,Ž16,2.4,,16
Petak,Marta,24:14,0,Ž16,2.4,,16
Gojmerac,Marta,25:22,0,Ž16,2.4,,16
Gojmerac,Lucija,28:57,0,Ž16,2.4,,16
Detić,Irena,40:01,0,Ž16,2.4,,16
Boban,Rea,,1,Ž16,2.4,,16
Jakopec,Iva,,1,Ž16,2.4,,16
Pust,Karin,10:00,0,Ž12,1.4,,9
Kukec,Marta,10:18,0,Ž12,1.4,,9
Štambuk,Zdenka Petra,11:16,0,Ž12,1.4,,9
Vidaković,Majda,13:24,0,Ž12,1.4,,9
Balaban,Ana,17:24,0,Ž12,1.4,,9
Gojmerac,Jelena,17:39,0,Ž12,1.4,,9
Markulinčić,Jana,18:23,0,Ž12,1.4,,9
Težak,Magdalena,18:30,0,Ž12,1.4,,9
Balaban,Iva,49:58,3,Ž12,1.4,,9
Štambuk,Lucija Marijela,,1,Ž12,1.4,,9
