prezime,ime,vrijeme,klasifikator,kategorija,staza,uspon,kontrola
Vukelić,Juraj,14:24,0,M12,1.8,35,6
Kuzmanić,Borna,49:32,0,M12,1.8,35,6
Jelinić,Mark,53:26,0,M12,1.8,35,6
Strmečki,Vibor,,3,M12,1.8,35,6
Odak,Jakov,,3,M12,1.8,35,6
Lebinac,Sven Ivor,93:42,0,M14,2.16,50,10
Gobec,Jan,48:54,0,M16,4.42,205,12
Kukec,Jura,50:05,0,M16,4.42,205,12
Marković,Rudi,146:59,0,M16,4.42,205,12
Štambuk,Andro Vladimir,60:01,0,M20,6.29,305,17
Cvetković,Filip,76:59,0,M20,6.29,305,17
Puharić,Roko,82:59,0,M20,6.29,305,17
Težak,Karlo,,3,M20,6.29,305,17
Razum,Matija,65:35,0,M21A,7.8,380,24
Ivković,Luka,73:41,0,M21A,7.8,380,24
Filetin,Luka,78:21,0,M21A,7.8,380,24
Čapeta,Davor,83:06,0,M21A,7.8,380,24
Varnica,Tomislav,83:12,0,M21A,7.8,380,24
Gobec,Damir,83:18,0,M21A,7.8,380,24
Horvat,Lobel,96:24,0,M21A,7.8,380,24
Kosić,Luka,161:28,0,M21A,7.8,380,24
Štanfel,Matjaž,,3,M21A,7.8,380,24
Kirin,Dominik,,3,M21A,7.8,380,24
Fabijanić,Daniel,44:37,0,M21B,3.97,175,9
Tutić,Dražen,52:13,0,M21B,3.97,175,9
Luri,Javier,56:25,0,M21B,3.97,175,9
Šantić,Domagoj,58:47,0,M21B,3.97,175,9
Stankovski,Dalibor,66:16,0,M21B,3.97,175,9
Gadžić,Dražen,66:43,0,M21B,3.97,175,9
Karavidović,Luka,66:52,0,M21B,3.97,175,9
Pavlin,Domagoj,68:23,0,M21B,3.97,175,9
Kaniški,Robert,75:27,0,M21B,3.97,175,9
Delimar,Domagoj,140:07,0,M21B,3.97,175,9
Sovilj,Dalibor,,3,M21B,3.97,175,9
Perica,Petar,,3,M21B,3.97,175,9
Acketa,Igor,,3,M21B,3.97,175,9
Ocvirk,Edi,56:46,0,M35,6.25,315,17
Vodopija,Goran,57:11,0,M35,6.25,315,17
Delić,Petar,59:32,0,M35,6.25,315,17
Orehoci,Robert,61:24,0,M35,6.25,315,17
Pongrac,Branimir,63:16,0,M35,6.25,315,17
Vuk,Tomislav,69:20,0,M35,6.25,315,17
Budi,Franjo,70:51,0,M35,6.25,315,17
Tišljar,Ivo,89:50,0,M35,6.25,315,17
Surjan,Darko,89:58,0,M35,6.25,315,17
Leovac,Josip,96:34,0,M35,6.25,315,17
Delgado,Francisco,101:59,0,M35,6.25,315,17
Hainž,Miroslav,112:00,0,M35,6.25,315,17
Jelinić,Hrvoje,143:11,0,M35,6.25,315,17
Bogović,Marijan,51:02,0,M45,4.72,190,14
Penić,Ivan Ivo,57:08,0,M45,4.72,190,14
Smerke,Andrej,65:57,0,M45,4.72,190,14
Trivunović,Vladimir,68:22,0,M45,4.72,190,14
Vukmanović,Mladen,72:19,0,M45,4.72,190,14
Bilić,Ivan,77:59,0,M45,4.72,190,14
Horjan,Zdenko,79:30,0,M45,4.72,190,14
Priher,Miroslav,,3,M45,4.72,190,14
Špoljar,Krešo,,3,M45,4.72,190,14
Lovrec,Nenad,40:41,0,M55,3.97,175,9
Štambuk,Dario,42:03,0,M55,3.97,175,9
Horvat,Saša,54:10,0,M55,3.97,175,9
Perica,Mladen,62:13,0,M55,3.97,175,9
Jelić,Mladen,83:50,0,M55,3.97,175,9
Belaj,Željko,35:54,0,M65,2.79,95,9
Pongrac,Ivan,38:44,0,M65,2.79,95,9
Gros,Čedomil,64:48,0,M65,2.79,95,9
Čepelak,Radovan,93:06,0,M65,2.79,95,9
Vukelić,Dora,20:13,0,Ž12,1.8,35,6
Hodak,Mirta,30:45,0,Ž12,1.8,35,6
Vidaković,Majda,32:42,0,Ž12,1.8,35,6
Potrebica,Ema,34:35,0,Ž12,1.8,35,6
Težak,Magdalena,34:54,0,Ž12,1.8,35,6
Balaban,Iva,54:45,0,Ž12,1.8,35,6
Jerković Perić,Olga,26:09,0,Ž14,2.16,50,10
Kukec,Marta,31:30,0,Ž14,2.16,50,10
Kaniški,Laura,33:35,0,Ž14,2.16,50,10
Balaban,Ana,36:07,0,Ž14,2.16,50,10
Pavlin,Paula,51:31,0,Ž16,3.27,150,8
Lesjak,Jelena,100:31,0,Ž16,3.27,150,8
Magdić Govedarica,Eva,106:30,0,Ž16,3.27,150,8
Tišljar,Ana,54:14,0,Ž20,4.42,205,12
Lovrec,Iva,73:49,0,Ž20,4.42,205,12
Lovrec,Mia,75:20,0,Ž20,4.42,205,12
Ivković,Sara,118:02,0,Ž20,4.42,205,12
Pavić,Mirja,59:12,0,Ž21A,6.25,315,17
Vukmanović,Vinka,65:03,0,Ž21A,6.25,315,17
Ocvirk,Pia,68:49,0,Ž21A,6.25,315,17
Štambuk,Iva,76:32,0,Ž21A,6.25,315,17
Lesjak,Sonja,84:31,0,Ž21A,6.25,315,17
Orlić,Antonija,85:28,0,Ž21A,6.25,315,17
Kopjar,Marina,38:36,0,Ž21B,2.79,95,9
Ulrich Cvenić,Ivana,52:37,0,Ž21B,2.79,95,9
Jandrečić,Nola,58:30,0,Ž21B,2.79,95,9
Dukić,Višnja,65:52,0,Ž21B,2.79,95,9
Pongrac,Maja,93:45,0,Ž21B,2.79,95,9
Melmajer,Nastasija,,3,Ž21B,2.79,95,9
Ocvirk,Eva,57:09,0,Ž35,4.31,180,12
Gobec,Ivana,58:18,0,Ž35,4.31,180,12
Berženji,Sanda,59:51,0,Ž35,4.31,180,12
Šantić,Nikolina,61:19,0,Ž35,4.31,180,12
Popović Budi,Daniela,63:48,0,Ž35,4.31,180,12
Seražin Korper,Sabina,72:35,0,Ž35,4.31,180,12
Sertić,Ivana,76:19,0,Ž35,4.31,180,12
Krš,Sanja,77:35,0,Ž35,4.31,180,12
Jakšić,Mirka,81:15,0,Ž35,4.31,180,12
Kušt,Maja,84:48,0,Ž35,4.31,180,12
Kiš,Marta,104:31,0,Ž35,4.31,180,12
Stipić,Bernardica,129:03,0,Ž35,4.31,180,12
Stupalo,Vlatka,135:00,0,Ž35,4.31,180,12
Gajdek,Željka,144:02,0,Ž35,4.31,180,12
Holjevac-Gagulić,Tajana,,3,Ž35,4.31,180,12
Sršen,Matea,,3,Ž35,4.31,180,12
Cini,Fabiana,,3,Ž35,4.31,180,12
Potrebica,Tanja,,3,Ž35,4.31,180,12
Lovrec,Darinka,58:02,0,Ž45,3.27,150,8
Kuzmanić,Ivana,62:43,0,Ž45,3.27,150,8
Cvitković,Maja,65:29,0,Ž45,3.27,150,8
Ebenspanger,Emilija,68:28,0,Ž45,3.27,150,8
Kraintz,Evelyn,69:05,0,Ž45,3.27,150,8
Fabek,Branka,75:15,0,Ž45,3.27,150,8
Vendler Čepelak,Željka,75:24,0,Ž45,3.27,150,8
Čuljak Gross,Mladenka,78:35,0,Ž45,3.27,150,8
Jurković Gros,Senka,82:46,0,Ž45,3.27,150,8
Glinska,Beata Adrianna,88:23,0,Ž45,3.27,150,8
Kabalin Borenić,Višnja,97:12,0,Ž45,3.27,150,8
Vuk,Srebrenka,99:36,0,Ž45,3.27,150,8
Franc,Vera,102:16,0,Ž45,3.27,150,8
Lah,Siniša,22:54,0,OPEN,2.07,14,18
Kocijan,Luka,30:33,0,OPEN,2.07,14,18
Delić,Ana,31:57,0,OPEN,2.07,14,18
Čović,Matej,32:35,0,OPEN,2.07,14,18
Hodak,Janko,35:21,0,OPEN,2.07,14,18
Rodeš,Dora,37:49,0,OPEN,2.07,14,18
Govedarica,Zvjezdana,38:00,0,OPEN,2.07,14,18
Pevec,Ozren,39:33,0,OPEN,2.07,14,18
Labaš,Predrag,44:57,0,OPEN,2.07,14,18
Martinez,Andrej,46:55,0,OPEN,2.07,14,18
Odak,Toni,47:09,0,OPEN,2.07,14,18
Krahenbuhl,Kyra,47:57,0,OPEN,2.07,14,18
Debić,Mladen,48:30,0,OPEN,2.07,14,18
Orešković,Lorena,51:45,0,OPEN,2.07,14,18
Holenda,Karmen,58:39,0,OPEN,2.07,14,18
Omerčić,Alan,59:36,0,OPEN,2.07,14,18
Lah,Mario,62:19,0,OPEN,2.07,14,18
Omerčić,Helena,63:45,0,OPEN,2.07,14,18
Fejzić,Hana,63:54,0,OPEN,2.07,14,18
Mašić,Asmir,184:02,0,OPEN,2.07,14,18
Samardžić,Marija,,3,OPEN,2.07,14,18
Baburek,Gabrijela,,3,OPEN,2.07,14,18
