Surname,First name,Time,Classifier,Long,km,m,Course controls
Štanfel,Matjaž,29:40,0,M21A,4.5,135,15
Razum,Matija,31:21,0,M21A,4.5,135,15
Ivković,Luka,32:40,0,M21A,4.5,135,15
Kirin,Dominik,35:18,0,M21A,4.5,135,15
Gobec,Damir,39:10,0,M21A,4.5,135,15
Filetin,Luka,41:08,0,M21A,4.5,135,15
Varnica,Tomislav,41:49,0,M21A,4.5,135,15
Horvat,Lobel,44:59,0,M21A,4.5,135,15
Čapeta,Davor,45:31,0,M21A,4.5,135,15
Marković,Frane,45:46,0,M21A,4.5,135,15
Spasić,Vladimir,49:09,0,M21A,4.5,135,15
Šeperić-Grdiša,Ivan,52:21,0,M21A,4.5,135,15
Berković,Vedran,54:50,0,M21A,4.5,135,15
Kosić,Luka,1:12:50,0,M21A,4.5,135,15
Perić,Mijat,1:17:11,0,M21A,4.5,135,15
Horvat,Vjeran,,1,M21A,4.5,135,15
Vukmanović,Vinka,26:13,0,Ž21A,3.2,100,13
Pavić,Mirja,27:06,0,Ž21A,3.2,100,13
Tomažin,Urša,40:22,0,Ž21A,3.2,100,13
Peh,Krunoslav,20:33,0,M21B,2.4,100,11
Bijelić,Vedran,20:39,0,M21B,2.4,100,11
Fabijanić,Daniel,24:22,0,M21B,2.4,100,11
Gadžić,Dražen,27:29,0,M21B,2.4,100,11
Stankovski,Dalibor,31:44,0,M21B,2.4,100,11
Jelić,Ivor,31:48,0,M21B,2.4,100,11
Šantić,Domagoj,35:10,0,M21B,2.4,100,11
Grgić,Mihael,36:04,0,M21B,2.4,100,11
Tutić,Dražen,39:22,0,M21B,2.4,100,11
Puhek,Matija,40:06,0,M21B,2.4,100,11
Kaniški,Robert,44:26,0,M21B,2.4,100,11
Pavlin,Domagoj,46:39,0,M21B,2.4,100,11
Bajlo,Franko,55:51,0,M21B,2.4,100,11
Malovic,Domagoj,59:08,0,M21B,2.4,100,11
Drmanović,Matej,1:03:47,0,M21B,2.4,100,11
Anđelić,Ivo,1:09:37,0,M21B,2.4,100,11
Perica,Petar,,1,M21B,2.4,100,11
Kopjar,Marina,25:24,0,Ž21B,1.9,95,9
Jandrečić,Nola,28:48,0,Ž21B,1.9,95,9
Plevnik,Petra,39:52,0,Ž21B,1.9,95,9
Ivković,Sara,56:27,0,Ž21B,1.9,95,9
Ulrich Cvenić,Ivana,59:38,0,Ž21B,1.9,95,9
Težak,Ivana,1:06:17,0,Ž21B,1.9,95,9
Holjevac-Gagulić,Tajana,1:07:04,0,Ž21B,1.9,95,9
Bergant Vidakovic,Sandra,,1,Ž21B,1.9,95,9
Pongrac,Ivan,30:35,0,M65,1.7,70,8
Gros,Čedomil,31:50,0,M65,1.7,70,8
Čepelak,Radovan,1:06:00,0,M65,1.7,70,8
Lovrec,Nenad,23:30,0,M55,2.3,90,10
Horvat,Saša,28:39,0,M55,2.3,90,10
Jelić,Mladen,32:41,0,M55,2.3,90,10
Perica,Mladen,,1,M55,2.3,90,10
Vukmanović,Mladen,19:00,0,M45,2.2,100,10
Merunka,Darko,20:56,0,M45,2.2,100,10
Penić,Ivan Ivo,21:05,0,M45,2.2,100,10
Vukelić,Bojan,21:12,0,M45,2.2,100,10
Smerke,Andrej,22:47,0,M45,2.2,100,10
Strmečki,Petar,23:25,0,M45,2.2,100,10
Špoljar,Krešo,31:44,0,M45,2.2,100,10
Priher,Miroslav,44:18,0,M45,2.2,100,10
