Surname,First name,Time,Classifier,Long,km,m,Course controls
Razum,Matija,1:33:49,0,M21A,13.4,275,27
Kirin,Dominik,1:34:14,0,M21A,13.4,275,27
Čapeta,Davor,2:13:44,0,M21A,13.4,275,27
Ivković,Luka,2:14:54,0,M21A,13.4,275,27
Filetin,Luka,2:14:55,0,M21A,13.4,275,27
Lovrec,Nenad,2:25:19,0,M21A,13.4,275,27
Šeperić-Grdiša,Ivan,2:56:13,0,M21A,13.4,275,27
Kosić,Luka,3:54:53,0,M21A,13.4,275,27
Kaldi,Vedran,2:41:39,3,M21A,13.4,275,27
Horvat,Lobel,2:38:29,3,M21A,13.4,275,27
Horvat,Vjeran,2:37:50,3,M21A,13.4,275,27
Ocvirk,Pia,1:01:46,0,Ž21A,7.9,160,10
Pavić,Mirja,1:10:39,0,Ž21A,7.9,160,10
Štambuk,Iva,1:31:10,0,Ž21A,7.9,160,10
Vukelić,Juraj,28:54,0,M12,1.8,40,7
Strmečki,Vibor,1:03:49,0,M12,1.8,40,7
Kuzmanić,Borna,1:52:44,3,M12,1.8,40,7
Pajk,Leonard,,3,M12,1.8,40,7
Jelinić,Mark,,2,M12,1.8,40,7
Vukelić,Dora,24:03,0,Ž12,1.8,40,7
Vidaković,Majda,27:15,0,Ž12,1.8,40,7
Težak,Magdalena,35:34,0,Ž12,1.8,40,7
Balaban,Iva,38:53,0,Ž12,1.8,40,7
Vodopija,Bruno,1:11:07,0,M14,2.9,50,6
Jerković Perić,Olga,39:03,0,Ž14,2.9,50,6
Kukec,Marta,59:03,0,Ž14,2.9,50,6
Kaniški,Laura,1:44:11,0,Ž14,2.9,50,6
Gobec,Jan,1:13:55,0,M16,5.6,95,10
Tutić,Teo,1:09:50,3,M16,5.6,95,10
Kukec,Jura,1:02:22,3,M16,5.6,95,10
Kodba,Vid,1:23:07,3,M16,5.6,95,10
Kodba,Tin,2:30:50,3,M16,5.6,95,10
Pavlin,Paula,1:27:33,0,Ž16,4.0,115,8
Lesjak,Jelena,2:16:41,0,Ž16,4.0,115,8
Štambuk,Andro Vladimir,1:21:08,0,M20,9.0,225,17
Cvetković,Filip,1:49:53,0,M20,9.0,225,17
Težak,Karlo,2:00:26,0,M20,9.0,225,17
Puharić,Roko,2:01:46,0,M20,9.0,225,17
Tišljar,Ana,1:16:18,0,Ž20,6.3,125,12
Težak,Dora,1:20:59,0,Ž20,6.3,125,12
Lovrec,Iva,1:38:21,0,Ž20,6.3,125,12
Lovrec,Mia,2:00:30,0,Ž20,6.3,125,12
Ivković,Sara,2:57:17,3,Ž20,6.3,125,12
Tkalec,Vladimir,34:45,0,M21B,4.1,80,9
Perica,Petar,47:59,0,M21B,4.1,80,9
Tutić,Dražen,54:40,0,M21B,4.1,80,9
Gadžić,Dražen,54:48,0,M21B,4.1,80,9
Karavidović,Luka,57:20,0,M21B,4.1,80,9
Mađarić,Predrag,57:53,0,M21B,4.1,80,9
Šantić,Domagoj,1:02:00,0,M21B,4.1,80,9
Stankovski,Dalibor,1:04:26,0,M21B,4.1,80,9
Žagar,Damir,1:12:37,0,M21B,4.1,80,9
Pavlin,Domagoj,1:17:43,0,M21B,4.1,80,9
Acketa,Igor,1:18:45,0,M21B,4.1,80,9
Krš,Edo,1:30:19,0,M21B,4.1,80,9
Kaniški,Robert,1:45:32,0,M21B,4.1,80,9
Ivezić,Bernard,2:48:41,0,M21B,4.1,80,9
Bajlo,Franko,56:45,3,M21B,4.1,80,9
Jandrečić,Nola,42:11,0,Ž21B,3.0,60,9
Gross,Nela,45:51,0,Ž21B,3.0,60,9
Kopjar,Marina,51:25,0,Ž21B,3.0,60,9
Ulrich Cvenić,Ivana,55:21,0,Ž21B,3.0,60,9
Bergant Vidaković,Sandra,57:01,0,Ž21B,3.0,60,9
Pongrac,Maja,1:00:35,0,Ž21B,3.0,60,9
Dukić,Višnja,1:06:08,0,Ž21B,3.0,60,9
Mikulinjak,Ivana,1:19:57,0,Ž21B,3.0,60,9
Perković,Mihaela Marija,1:59:52,0,Ž21B,3.0,60,9
Ružić,Martina,2:01:46,0,Ž21B,3.0,60,9
Latinger,Sandra,2:02:49,0,Ž21B,3.0,60,9
Odak,Nataša,2:05:16,0,Ž21B,3.0,60,9
Ocvirk,Edi,1:08:35,0,M35,9.0,225,17
Kaniški,Tomislav,1:11:23,0,M35,9.0,225,17
Delić,Petar,1:13:01,0,M35,9.0,225,17
Budi,Franjo,1:19:03,0,M35,9.0,225,17
Vodopija,Goran,1:19:58,0,M35,9.0,225,17
Pongrac,Branimir,1:35:53,0,M35,9.0,225,17
Tišljar,Ivo,1:38:51,0,M35,9.0,225,17
Antolić,Željko,1:46:22,0,M35,9.0,225,17
Rihter,Goran,1:51:33,0,M35,9.0,225,17
Meštrović,Tomislav,1:54:02,0,M35,9.0,225,17
Jelinić,Hrvoje,2:09:41,0,M35,9.0,225,17
Markulinčić,Predrag,2:10:05,0,M35,9.0,225,17
Leovac,Josip,2:12:19,0,M35,9.0,225,17
Dugi,Tihomir,2:17:01,0,M35,9.0,225,17
Gverić,Ivan,2:21:16,0,M35,9.0,225,17
Legac,Lino,1:33:35,3,M35,9.0,225,17
Truhlaž,Miodrag,,2,M35,9.0,225,17
Ocvirk,Eva,1:09:42,0,Ž35,6.3,125,12
Gobec,Ivana,1:15:57,0,Ž35,6.3,125,12
Berženji,Sanda,1:21:41,0,Ž35,6.3,125,12
Seražin Korper,Sabina,1:27:20,0,Ž35,6.3,125,12
