Prezime,Ime,Vrijeme,Klasifikator,Dugo,km,m/u,KT staze
Vukelić,Juraj,23:40,0,M12,2.1,80,7
Strmečki,Vibor,55:00,0,M12,2.1,80,7
Smital,Mika,1:52:56,3,M12,2.1,80,7
Meštrović,Martin,1:09:50,3,M12,2.1,80,7
Dasović,Petra,54:08,0,Ž12,2.1,80,7
Hercigonja,Lucija,1:00:15,0,Ž12,2.1,80,7
Pavić,Monika,1:10:22,0,Ž12,2.1,80,7
Drobić,Melissa,1:15:17,3,Ž12,2.1,80,7
Željem,Bepo,1:28:38,0,M14,2.5,115,8
Kuzmanić,Borna,2:28:16,0,M14,2.5,115,8
Štambuk,Zdenka Petra,49:23,0,Ž14,2.5,115,8
Vukelić,Dora,53:09,0,Ž14,2.5,115,8
Kaniški,Laura,53:17,0,Ž14,2.5,115,8
Mareković,Ira,1:11:52,0,Ž14,2.5,115,8
Težak,Magdalena,1:27:06,0,Ž14,2.5,115,8
Vidaković,Majda,1:41:11,0,Ž14,2.5,115,8
Hodak,Mirta,1:46:34,0,Ž14,2.5,115,8
Potrebica,Ema,1:49:31,0,Ž14,2.5,115,8
Ćuzela,Morana,,3,Ž14,2.5,115,8
Smital,Tomo,1:26:10,0,M16,4.4,160,7
Kocijan,Luka,1:42:53,0,M16,4.4,160,7
Krajnović,Luka,2:18:44,0,M16,4.4,160,7
Jerković Perić,Olga,1:09:32,0,Ž16,3.8,155,9
Pavlin,Paula,1:10:14,0,Ž16,3.8,155,9
Milković,Patrick,32:26,0,OPEN,2.1,80,7
Labaš,Predrag,35:51,0,OPEN,2.1,80,7
Hovorka,Vid,39:48,0,OPEN,2.1,80,7
Penc,Sanja,46:13,0,OPEN,2.1,80,7
Putniković,Branimir,54:03,0,OPEN,2.1,80,7
Miljković,Dora,1:00:55,0,OPEN,2.1,80,7
Krkić,Aida,1:01:33,0,OPEN,2.1,80,7
Miljković,Željka,1:24:54,0,OPEN,2.1,80,7
Lah,Mario,1:27:47,0,OPEN,2.1,80,7
Kuzmanić,Nika,1:40:54,0,OPEN,2.1,80,7
Cecelja,Sergelj,3:15:03,0,OPEN,2.1,80,7
Gobec,Jan,1:07:40,0,M20,5.8,250,12
Cvetković,Filip,1:13:05,0,M20,5.8,250,12
Težak,Karlo,1:16:09,0,M20,5.8,250,12
Štambuk,Andro Vladimir,1:19:38,0,M20,5.8,250,12
Kukec,Jura,2:40:43,0,M20,5.8,250,12
Željem,Roko,2:41:35,3,M20,5.8,250,12
Kodba,Vid,3:51:58,3,M20,5.8,250,12
Tišljar,Ana,1:29:57,0,Ž20,5.1,210,9
Gobec,Lea Katarina,1:42:34,0,Ž20,5.1,210,9
Lovrec,Mia,1:49:04,0,Ž20,5.1,210,9
Kermek,Dora,2:24:02,0,Ž20,5.1,210,9
Milićević,Ira,,2,Ž20,5.1,210,9
Ivković,Luka,1:59:47,0,M21A,10.4,400,18
Čapeta,Davor,2:04:19,0,M21A,10.4,400,18
Horvat,Lobel,2:12:01,0,M21A,10.4,400,18
Kaldi,Vedran,2:42:05,0,M21A,10.4,400,18
Karavidović,Luka,2:43:51,0,M21A,10.4,400,18
Horvat,Vjeran,2:51:05,0,M21A,10.4,400,18
Šeperić-Grdiša,Ivan,2:56:49,0,M21A,10.4,400,18
Marović,Goran,3:51:47,3,M21A,10.4,400,18
Kosić,Luka,3:54:03,3,M21A,10.4,400,18
Perać,Nikola,2:44:01,3,M21A,10.4,400,18
Perać,Sladjana,1:08:43,0,Ž21A,5.8,250,12
Pavić,Mirja,1:12:08,0,Ž21A,5.8,250,12
Vukmanović,Vinka,1:19:20,0,Ž21A,5.8,250,12
Orlić,Antonija,1:20:48,0,Ž21A,5.8,250,12
Sakar Vukić,Tena,1:27:06,0,Ž21A,5.8,250,12
Lovrec,Iva,1:49:52,0,Ž21A,5.8,250,12
Težak,Dora,1:57:06,0,Ž21A,5.8,250,12
Jandrečić,Nola,2:53:47,3,Ž21A,5.8,250,12
Bublić,Ivan,57:43,0,M21B,3.6,150,7
Lah,Siniša,1:02:22,0,M21B,3.6,150,7
Mađarić,Predrag,1:04:09,0,M21B,3.6,150,7
Kopjar,Marina,54:13,0,Ž21B,3.4,100,7
Držaić,Doroteja,1:16:31,0,Ž21B,3.4,100,7
Plevnik,Petra,1:19:13,0,Ž21B,3.4,100,7
Delić,Ana,1:25:09,0,Ž21B,3.4,100,7
Herceg,Marija,2:01:41,0,Ž21B,3.4,100,7
Šestan Krajnović,Ivana,2:02:22,0,Ž21B,3.4,100,7
Tatić,Iva,2:07:40,0,Ž21B,3.4,100,7
Dukić,Helena,2:11:04,0,Ž21B,3.4,100,7
Radić,Vedrana,2:11:52,0,Ž21B,3.4,100,7
Miličević,Aleksandra,2:13:42,0,Ž21B,3.4,100,7
Latinger,Sandra,2:18:20,0,Ž21B,3.4,100,7
Mahečić,Ivana,2:35:25,0,Ž21B,3.4,100,7
Delić,Petar,1:06:35,0,M35,7.1,305,13
Kaniški,Tomislav,1:08:55,0,M35,7.1,305,13
Orehoci,Robert,1:18:38,0,M35,7.1,305,13
Pongrac,Branimir,1:19:41,0,M35,7.1,305,13
Ocvirk,Edi,1:20:12,0,M35,7.1,305,13
Spasić,Vladimir,1:21:58,0,M35,7.1,305,13
Vodopija,Goran,1:23:28,0,M35,7.1,305,13
Fabijanić,Daniel,1:33:38,0,M35,7.1,305,13
Canjuga,Krunoslav,1:35:02,0,M35,7.1,305,13
Miljković,Damir,1:46:00,0,M35,7.1,305,13
Meštrović,Tomislav,1:51:12,0,M35,7.1,305,13
Tot,Nikola,2:02:52,0,M35,7.1,305,13
Surjan,Darko,2:14:19,0,M35,7.1,305,13
Šantić,Domagoj,2:44:50,0,M35,7.1,305,13
Ocvirk,Eva,1:09:03,0,Ž35,5.1,210,9
Berženji,Sanda,1:13:25,0,Ž35,5.1,210,9
Šantić,Nikolina,1:24:11,0,Ž35,5.1,210,9
Seražin Korper,Sabina,1:26:19,0,Ž35,5.1,210,9
Žgela Putniković,Marijana,1:29:36,0,Ž35,5.1,210,9
Jakšić,Mirka,1:31:08,0,Ž35,5.1,210,9
Mandić,Ana,1:37:23,0,Ž35,5.1,210,9
