Surname,First name,Time,Classifier,Long,km,m,Course controls
Mézes,Botond Csegő,25:43,0,M12,2.11,100,7
Vukelić,Juraj,33:45,0,M12,2.11,100,7
Meštrović,Martin,44:23,0,M12,2.11,100,7
Jurač,Petar,,1,M12,2.11,100,7
Kuzmanić,Borna,109:25,0,M14,2.15,170,7
Jurač,Marko,,1,M14,2.15,170,7
Kocijan,Luka,62:18,0,M16,2.87,210,8
Krajnović,Luka,98:14,0,M16,2.87,210,8
Bister,Luka,,1,M16,2.87,210,8
Gobec,Jan,62:14,0,M20,5.42,370,15
Štambuk,Andro Vladimir,63:12,0,M20,5.42,370,15
Kukec,Jura,67:02,0,M20,5.42,370,15
Čapeta,Davor,90:42,0,M21A,7.74,580,16
Filetin,Luka,92:26,0,M21A,7.74,580,16
Varnica,Tomislav,105:49,0,M21A,7.74,580,16
Gadžić,Dražen,114:49,0,M21A,7.74,580,16
Leljak,Marko,137:50,0,M21A,7.74,580,16
Šeperić-Grdiša,Ivan,140:26,0,M21A,7.74,580,16
Peh,Krunoslav,142:29,0,M21A,7.74,580,16
Kelemen,Tomislav,152:01,0,M21A,7.74,580,16
Horvat,Lobel,153:24,0,M21A,7.74,580,16
Muhtić,Siniša,,1,M21A,7.74,580,16
Karavidović,Luka,,1,M21A,7.74,580,16
Kosić,Luka,,1,M21A,7.74,580,16
Razum,Matija,,1,M21A,7.74,580,16
Bijelić,Vedran,,1,M21A,7.74,580,16
Pleše,Danko,36:31,0,M21B,2.87,210,8
Jelić,Ivor,40:45,0,M21B,2.87,210,8
Mézes,Tibor Sólyom,43:45,0,M21B,2.87,210,8
Lah,Siniša,65:09,0,M21B,2.87,210,8
Petković,Nikola,68:56,0,M21B,2.87,210,8
Turkalj,Marijan,,1,M21B,2.87,210,8
Selandari,Alberto,,1,M21B,2.87,210,8
Bublić,Ivan,,1,M21B,2.87,210,8
Popović,Damir,,1,M21B,2.87,210,8
Mađarić,Predrag,89:07,3,M21B,2.87,210,8
Mesic,Matija,,2,M21B,2.87,210,8
Belović,Robert,,1,M21B,2.87,210,8
Krajnović,Ivo,,1,M21B,2.87,210,8
Truhlaž,Miodrag,,1,M21B,2.87,210,8
Delić,Petar,50:07,0,M35,5.42,370,15
Ocvirk,Edi,54:57,0,M35,5.42,370,15
Orehoci,Robert,59:16,0,M35,5.42,370,15
Vodopija,Goran,60:33,0,M35,5.42,370,15
Spasić,Vladimir,60:52,0,M35,5.42,370,15
Fabijanić,Daniel,68:02,0,M35,5.42,370,15
Klobučarić,Damir,69:34,0,M35,5.42,370,15
Markulinčić,Predrag,74:08,0,M35,5.42,370,15
Miljković,Damir,78:05,0,M35,5.42,370,15
Šantić,Domagoj,112:05,0,M35,5.42,370,15
Meštrović,Tomislav,113:55,0,M35,5.42,370,15
Kaniški,Tomislav,,1,M35,5.42,370,15
Canjuga,Krunoslav,,1,M35,5.42,370,15
Budi,Franjo,,1,M35,5.42,370,15
Antolić,Željko,,2,M35,5.42,370,15
Gobec,Damir,46:51,0,M45,4.53,225,11
Crljenica,Branko,47:19,0,M45,4.53,225,11
Merunka,Darko,51:36,0,M45,4.53,225,11
Penić,Ivan Ivo,56:38,0,M45,4.53,225,11
Delgado,Francisco,56:53,0,M45,4.53,225,11
Vukelić,Bojan,60:32,0,M45,4.53,225,11
Vukmanović,Mladen,62:39,0,M45,4.53,225,11
Strmečki,Petar,62:55,0,M45,4.53,225,11
Hainž,Miroslav,67:57,0,M45,4.53,225,11
Bogović,Marijan,79:31,0,M45,4.53,225,11
Špoljar,Krešo,101:23,0,M45,4.53,225,11
Erdős,Gábor,105:19,0,M45,4.53,225,11
Janžek,Dražen,136:50,0,M45,4.53,225,11
Sokolović,Slobodan,144:09,0,M45,4.53,225,11
Trivunović,Vladimir,,1,M45,4.53,225,11
Dasović,Hrvoje,149:21,3,M45,4.53,225,11
Tišljar,Ivo,,1,M45,4.53,225,11
Pavlin,Domagoj,,1,M45,4.53,225,11
Priher,Miroslav,,1,M45,4.53,225,11
Štambuk,Dario,42:03,0,M55,3.51,200,10
Lovrec,Nenad,48:03,0,M55,3.51,200,10
Jelić,Mladen,49:34,0,M55,3.51,200,10
Radočaj,Milan,53:07,0,M55,3.51,200,10
Besten,Miroslav,172:28,3,M55,3.51,200,10
Horvat,Saša,1499:05,3,M55,3.51,200,10
Raškaj,Darko,,2,M55,3.51,200,10
Belaj,Željko,48:09,0,M65,2.15,170,7
Mesić,Ivica,51:52,0,M65,2.15,170,7
Čepelak,Radovan,72:32,0,M65,2.15,170,7
Turkalj,Milan,75:24,0,M65,2.15,170,7
Mesić,Ivica,,1,M65,2.15,170,7
Pongrac,Ivan,,1,M65,2.15,170,7
Novosel,Zdravko,36:25,0,OPEN,2.11,100,7
Lah,Mario,38:34,0,OPEN,2.11,100,7
Došen,Tijana,40:41,0,OPEN,2.11,100,7
Martinčević,Janik,45:45,0,OPEN,2.11,100,7
Labaš,Predrag,47:13,0,OPEN,2.11,100,7
Martinčević,Predrag,50:01,0,OPEN,2.11,100,7
Bijelić,Jakov,51:19,0,OPEN,2.11,100,7
Majer,Melanija,77:28,0,OPEN,2.11,100,7
Holenda,Karmen,92:28,0,OPEN,2.11,100,7
Perković,Bartol,124:35,0,OPEN,2.11,100,7
Katić,Tina,,1,OPEN,2.11,100,7
Hovorka,Vid,,1,OPEN,2.11,100,7
Milković,Patrick,,1,OPEN,2.11,100,7
Sučić,Luka,,1,OPEN,2.11,100,7
Jurač,Ema,,1,OPEN,2.11,100,7
Dasović,Petra,36:07,0,Ž12,2.11,100,7
Hercigonja,Lucija,40:08,0,Ž12,2.11,100,7
Drobić,Melissa,50:00,0,Ž12,2.11,100,7
Pavić,Monika,53:06,0,Ž12,2.11,100,7
Czebei,Luca,56:16,0,Ž12,2.11,100,7
Štambuk,Zdenka Petra,47:05,0,Ž14,2.23,150,9
Vukelić,Dora,54:19,0,Ž14,2.23,150,9
