prezime,ime,vrijeme,klasifikator,kategorija,staza,uspon,kontrola
Vukelić,Juraj,18:16,0,M12,1.88,2,15
Strmečki,Vibor,24:06,0,M12,1.88,2,15
Gojmerac,Luka,23:25,3,M12,1.88,2,15
Benke-somorjai,Dávid,16:51,3,M12,1.88,2,15
Gyenizse - Nagy,András Barnabás,17:28,0,M16,2.34,2,16
Egédi,Gergő,22:00,0,M16,2.34,2,16
Rácz,Mátyás,23:44,0,M16,2.34,2,16
Kocijan,Luka,23:51,0,M16,2.34,2,16
Eördögh,Levente,25:32,0,M16,2.34,2,16
Putarek,Mislav,31:00,0,M16,2.34,2,16
Szuhan,Rita,31:49,0,M16,2.34,2,16
Pevec,Ozren,44:52,0,M16,2.34,2,16
Kuzmanić,Borna,,1,M16,2.34,2,16
Kobijak,Karlo,,1,M16,2.34,2,16
Szuhán,Gábor,19:49,0,M20,2.85,2,20
Težak,Karlo,21:05,0,M20,2.85,2,20
Štambuk,Andro Vladimir,21:18,0,M20,2.85,2,20
Kukec,Jura,21:35,0,M20,2.85,2,20
Cvetković,Filip,24:43,0,M20,2.85,2,20
Puharić,Roko,25:10,0,M20,2.85,2,20
Werner,Bendegúz,25:14,0,M20,2.85,2,20
Kodba,Vid,28:14,0,M20,2.85,2,20
Gobec,Jan,19:35,3,M20,2.85,2,20
Husznai,Gellért,,1,M20,2.85,2,20
Razum,Matija,22:00,0,M21,3.69,2,25
Ivković,Luka,25:40,0,M21,3.69,2,25
Filetin,Luka,26:48,0,M21,3.69,2,25
Péter,Werner,27:20,0,M21,3.69,2,25
Varnica,Tomislav,28:06,0,M21,3.69,2,25
Gadžić,Dražen,28:07,0,M21,3.69,2,25
Horvat,Lobel,28:35,0,M21,3.69,2,25
Peh,Krunoslav,29:00,0,M21,3.69,2,25
Karavidović,Luka,38:08,0,M21,3.69,2,25
Muhtić,Sinisa,42:38,0,M21,3.69,2,25
Horvat,Vjeran,,1,M21,3.69,2,25
Kirin,Dominik,,1,M21,3.69,2,25
Popović,Damir,34:43,3,M21,3.69,2,25
Ocvirk,Edi,17:00,0,M35,2.68,2,19
Orehoci,Robert,18:05,0,M35,2.68,2,19
Budi,Franjo,18:18,0,M35,2.68,2,19
Delić,Petar,18:48,0,M35,2.68,2,19
Canjuga,Krunoslav,19:29,0,M35,2.68,2,19
Pongrac,Branimir,20:57,0,M35,2.68,2,19
Dugi,Tihomir,21:03,0,M35,2.68,2,19
Fabijanić,Daniel,22:14,0,M35,2.68,2,19
Draušnik,Ivan,22:28,0,M35,2.68,2,19
Tot,Nikola,23:23,0,M35,2.68,2,19
Hainž,Miroslav,23:54,0,M35,2.68,2,19
Kosić,Luka,24:22,0,M35,2.68,2,19
Meštrović,Tomislav,24:37,0,M35,2.68,2,19
Vukelić,Bojan,25:28,0,M35,2.68,2,19
Stankovski,Dalibor,27:58,0,M35,2.68,2,19
