Surname,First name,Time,Classifier,Long,km,m,Course controls
Gojmerac,Luka,07:11,0,M12,1.1,0,10
Milković,Patrick,09:28,0,M12,1.1,0,10
Strmečki,Vibor,10:03,0,M12,1.1,0,10
Radoš,Ante,,1,M12,1.1,0,10
Vukelić,Juraj,,1,M12,1.1,0,10
Kocijan,Luka,12:46,0,M16,1.8,0,11
Krajnović,Luka,14:44,0,M16,1.8,0,11
Cindrić,Antonio,18:40,0,M16,1.8,0,11
Kuzmanić,Borna,20:20,0,M16,1.8,0,11
Kukec,Jura,16:11,0,M20,3,0,19
Štambuk,Andro Vladimir,17:51,0,M20,3,0,19
Gobec,Timo Vilim,20:57,0,M20,3,0,19
Puharić,Roko,21:26,0,M20,3,0,19
Verović,Kristijan,24:41,0,M20,3,0,19
Gojmerac,Petar,,1,M20,3,0,19
Gobec,Jan,15:10,3,M20,3,0,19
Razum,Matija,17:26,0,M21,3.5,0,20
Horvat,Lobel,18:13,0,M21,3.5,0,20
Čapeta,Davor,20:24,0,M21,3.5,0,20
Varnica,Tomislav,20:31,0,M21,3.5,0,20
Jelić,Ivor,25:10,0,M21,3.5,0,20
Delimar,Domagoj,27:10,0,M21,3.5,0,20
Gadžić,Dražen,29:30,0,M21,3.5,0,20
Karavidović,Luka,33:05,0,M21,3.5,0,20
Delić,Petar,16:23,0,M35,3,0,19
Orehoci,Robert,16:29,0,M35,3,0,19
Vodopija,Goran,16:51,0,M35,3,0,19
Ocvirk,Edi,17:16,0,M35,3,0,19
Canjuga,Krunoslav,17:50,0,M35,3,0,19
Budi,Franjo,18:15,0,M35,3,0,19
Van De Riet,Gerrit,20:11,0,M35,3,0,19
Stankovski,Dalibor,20:55,0,M35,3,0,19
Koščak,Željko,21:09,0,M35,3,0,19
Kosić,Luka,22:18,0,M35,3,0,19
Vuk,Tomislav,22:25,0,M35,3,0,19
Šeperić-Grdiša,Ivan,22:33,0,M35,3,0,19
Pongrac,Branimir,24:21,0,M35,3,0,19
Šantić,Domagoj,25:34,0,M35,3,0,19
Miljković,Damir,25:40,0,M35,3,0,19
Dasović,Hrvoje,27:05,0,M35,3,0,19
Meštrović,Tomislav,27:44,0,M35,3,0,19
Novosel,Zdravko,28:47,0,M35,3,0,19
Fabijanić,Daniel,36:25,0,M35,3,0,19
Gustafsson,Sten,13:31,0,M50,2.6,0,14
Gobec,Damir,14:47,0,M50,2.6,0,14
Reisenberger,Roland,15:39,0,M50,2.6,0,14
Heikoop,Anne,16:04,0,M50,2.6,0,14
Štambuk,Dario,16:06,0,M50,2.6,0,14
Harwood,Eddie,16:15,0,M50,2.6,0,14
Horvat,Saša,18:12,0,M50,2.6,0,14
Horjan,Zdenko,18:17,0,M50,2.6,0,14
Adenstedt,Erik,19:41,0,M50,2.6,0,14
Smirthwaite,Steve,19:55,3,M50,2.6,0,14
Jelić,Mladen,21:15,0,M50,2.6,0,14
Gobec,Karlo,21:41,0,M50,2.6,0,14
Špoljar,Krešo,23:03,0,M50,2.6,0,14
Matijašić,Josip,27:13,0,M50,2.6,0,14
Strmečki,Petar,42:44,0,M50,2.6,0,14
Priher,Miroslav,88:06,1,M50,2.6,0,14
Gojmerac,Tomislav,,1,M50,2.6,0,14
Vukelić,Bojan,,1,M50,2.6,0,14
Uroic,Milivoj,,1,M50,2.6,0,14
Lah,Mario,19:27,0,OPEN,1.5,0,13
Kovač,Wanda,23:36,0,OPEN,1.5,0,13
Mesić,Maša,,1,OPEN,1.5,0,13
Magdić Govedarica,Oliver,19:03,3,OPEN,1.5,0,13
Labaš,Predrag,,1,OPEN,1.5,0,13
Gojmerac,Jelena,09:23,0,Ž12,1.1,0,10
Dasović,Petra,14:21,0,Ž12,1.1,0,10
Hercigonja,Lucija,16:17,0,Ž12,1.1,0,10
Drobić,Melissa,18:18,0,Ž12,1.1,0,10
Štambuk,Lucija Marijela,,2,Ž12,1.1,0,10
Pavlin,Paula,11:24,0,Ž16,1.7,0,11
Jerković Perić,Olga,11:29,0,Ž16,1.7,0,11
Štambuk,Zdenka Petra,11:40,0,Ž16,1.7,0,11
Potrebica,Ema,14:17,0,Ž16,1.7,0,11
Gojmerac,Marta,18:14,0,Ž16,1.7,0,11
Fejzić,Hanna,22:23,0,Ž16,1.7,0,11
Vidaković,Majda,23:22,0,Ž16,1.7,0,11
Orešković,Lorena,23:34,0,Ž16,1.7,0,11
Radoš,Ivana,25:33,0,Ž16,1.7,0,11
Gobec,Kimi Maria,37:57,0,Ž16,1.7,0,11
Kaniški,Laura,40:56,0,Ž16,1.7,0,11
Vukelić,Dora,,1,Ž16,1.7,0,11
Tišljar,Ana,24:00,0,Ž20,2.8,0,17
Gojmerac,Lucija,27:49,0,Ž20,2.8,0,17
Krahenbuhl,Kyra,70:36,0,Ž20,2.8,0,17
Srebačić,Ana,,1,Ž20,2.8,0,17
Kermek,Dora,,1,Ž20,2.8,0,17
Pavić,Mirja,15:44,0,Ž21,2.8,0,17
Sakar Vukić,Tena,16:57,0,Ž21,2.8,0,17
Štambuk,Iva,17:07,0,Ž21,2.8,0,17
Orlić,Antonija,17:54,0,Ž21,2.8,0,17
Beblek,Ana,19:44,0,Ž21,2.8,0,17
Dukić,Višnja,29:04,0,Ž21,2.8,0,17
Mahečić,Ivana,34:54,0,Ž21,2.8,0,17
Bedeković Tanković,Martina,,1,Ž21,2.8,0,17
Krš,Sanja,18:30,0,Ž35,2.5,0,15
