Stno,Chip,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,,,,,
,446316,971,Tanković,Marin,,M,,0,89:00,115:29,26:29,0,184,OK Jelen,OK Jelen,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,1,,115:29,57,01:07,58,06:35,59,12:35,60,16:02,61,19:14,62,23:48,100,25:38,,,,,,,,,,,,,,,,,,,,,,,,
,232287,898,Šantić,Gloria,,M,,0,86:00,114:11,28:11,0,177,BJE,OK Bjelovar,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,2,,114:11,57,03:04,58,08:29,59,14:38,60,17:09,61,21:11,62,26:01,100,27:29,,,,,,,,,,,,,,,,,,,,,,,,
,232216,896,Šantić,Veronika,,M,,0,86:00,114:44,28:44,0,177,BJE,OK Bjelovar,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,3,,114:44,57,03:14,58,08:38,59,15:01,60,17:56,61,21:35,62,26:14,100,27:36,,,,,,,,,,,,,,,,,,,,,,,,
,411359,895,Šantić,Viktoria,,M,,0,86:00,115:01,29:01,0,177,BJE,OK Bjelovar,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,4,,115:01,57,03:21,58,09:06,59,14:52,60,17:31,61,21:29,62,26:10,100,27:37,,,,,,,,,,,,,,,,,,,,,,,,
,210125,984,Velimirović,Beatrice,,M,,0,86:00,116:52,30:52,0,171,Maksimir,OK Maksimir,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,5,,116:52,57,03:18,58,09:29,59,15:28,60,18:34,61,22:26,62,27:52,100,29:48,,,,,,,,,,,,,,,,,,,,,,,,
,210120,985,Velimirović,Vittoria,,M,,0,86:00,116:54,30:54,0,171,Maksimir,OK Maksimir,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,6,,116:54,57,04:02,58,09:23,59,15:44,60,18:31,61,22:29,62,27:59,100,29:53,,,,,,,,,,,,,,,,,,,,,,,,
,893834,1074,Horjan,Zara,,M,,0,80:00,114:18,34:18,0,165,Vihor,OK Vihor,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,7,,114:18,57,02:48,58,11:13,59,15:40,60,19:20,61,24:02,62,32:21,100,33:35,,,,,,,,,,,,,,,,,,,,,,,,
,345947,1086,Toth,Tea,,M,,0,98:00,134:16,36:16,0,168,JAP,OK Japetic,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,8,,134:16,57,02:51,58,09:25,59,14:46,60,17:51,61,23:28,62,32:36,100,35:22,,,,,,,,,,,,,,,,,,,,,,,,
,219388,1075,Obradović,Lidija,,M,,0,74:00,115:21,41:21,0,184,OK Jelen,OK Jelen,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,9,,115:21,57,02:42,58,11:41,59,16:03,60,25:30,61,31:35,62,38:17,100,39:58,,,,,,,,,,,,,,,,,,,,,,,,
,219393,1087,Novosel,Nikolina Matej Marko,,M,,0,86:00,137:19,51:19,0,184,OK Jelen,OK Jelen,CRO,134,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,23,Beginners,2.06,45,7,10,,137:19,57,04:09,58,09:22,59,15:55,60,19:06,61,22:33,62,27:03,100,49:56,,,,,,,,,,,,,,,,,,,,,,,,
