Stno,Chip,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,
,236880,66,Boban,Jakov,,M,,0,48:00,65:09,17:09,0,8,MERZ,OK Ivan Merz,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,1,,65:09,31,02:06,40,03:43,60,08:34,41,11:53,58,14:55,100,16:41,,,,,,,,,,,,,,,,,,,,,,
,2128477,114,Meštrović,Martin,,M,,0,40:00,58:34,18:34,0,2,KAP,OK Kapela,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,2,,58:34,31,02:01,40,03:29,60,07:16,41,09:41,58,17:14,100,18:06,,,,,,,,,,,,,,,,,,,,,,
,222410,51,Mance,Teo,,M,,0,38:00,62:32,24:32,0,4,VIH,OK Vihor,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,3,,62:32,31,04:20,40,05:55,60,12:32,41,17:46,58,21:40,100,24:07,,,,,,,,,,,,,,,,,,,,,,
,219388,269,Oslaković,Luka,,M,,0,36:00,62:33,26:33,0,3,JEL,OK Jelen,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,4,,62:33,31,02:02,40,03:44,60,14:48,41,18:40,58,24:26,100,26:05,,,,,,,,,,,,,,,,,,,,,,
,446316,43,Solenički,Gabrijel,,M,,0,44:00,77:17,33:17,0,3,JEL,OK Jelen,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,5,,77:17,31,04:32,40,06:02,60,12:09,41,23:54,58,30:50,100,32:50,,,,,,,,,,,,,,,,,,,,,,
,2138242,101,Anadolac,Adam,,M,,0,42:00,77:27,35:27,0,8,MERZ,OK Ivan Merz,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,6,,77:27,31,02:22,40,10:46,60,14:15,41,25:58,58,33:00,100,35:01,,,,,,,,,,,,,,,,,,,,,,
,406741,91,Nikolić,Matko,,M,,0,46:00,86:00,40:00,0,4,VIH,OK Vihor,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,7,,86:00,31,02:41,40,04:39,60,30:11,41,33:43,58,37:34,100,39:38,,,,,,,,,,,,,,,,,,,,,,
,409107,270,Hodak,Janko,,M,,0,50:00,65:04,15:04,3,4,VIH,OK Vihor,CRO,17,M12,M12,,,,,,,,,,,,,,,,0,0,0,1,M12-Ž12,1.3,40,6,,,65:04,31,01:38,40,02:41,60,06:52,41,09:54,58,13:00,,,,,,,,,,,,,,,,,,,,,,,,
,8051205,5,Tišljar,Mirko,,M,,0,12:00,31:58,19:58,0,9,ORI,OK Orion,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,1,,31:58,40,02:15,35,05:24,60,09:06,43,10:29,44,14:50,58,18:29,100,19:36,,,,,,,,,,,,,,,,,,,,
,2141169,79,Milković,Patrick,,M,,0,08:00,31:55,23:55,0,7,JAP,OK Japetic,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,2,,31:55,40,02:47,35,08:59,60,13:10,43,14:30,44,18:52,58,22:26,100,23:35,,,,,,,,,,,,,,,,,,,,
,1422007,29,Strmečki,Vibor,,M,,0,10:00,39:49,29:49,0,1,MAK,OK Maksimir,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,3,,39:49,40,03:10,35,10:12,60,15:32,43,17:22,44,21:42,58,27:29,100,29:21,,,,,,,,,,,,,,,,,,,,
,446317,63,Kelc,Noa,,M,,0,06:00,47:59,41:59,0,3,JEL,OK Jelen,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,4,,47:59,40,02:12,35,14:33,60,25:29,43,29:23,44,35:36,58,40:48,100,41:32,,,,,,,,,,,,,,,,,,,,
,2116257,4,Šiljevinac,Gabriel,,M,,0,14:00,78:49,64:49,0,3,JEL,OK Jelen,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,5,,78:49,40,07:58,35,15:46,60,49:51,43,51:58,44,56:01,58,62:52,100,63:56,,,,,,,,,,,,,,,,,,,,
,,265,,Vacant,,M,,0,16:00,,,0,,,,,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,266,,Vacant,,M,,0,02:00,,,0,,,,,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,406735,177,Vukelić,Juraj,,M,,0,04:00,,,1,1,MAK,OK Maksimir,CRO,15,M14,M14,,,,,,,,,,,,,,,,0,0,0,2,M14-OPEN,1.7,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2118094,149,Vodopija,Dario,,M,,0,52:00,93:38,41:38,0,2,KAP,OK Kapela,CRO,13,M16,M16,,,,,,,,,,,,,,,,0,0,0,3,M16-Ž45,2.5,80,10,1,,93:38,34,06:09,40,07:06,37,14:56,38,18:25,39,20:48,51,27:00,55,32:29,59,39:53,58,40:36,100,41:21,,,,,,,,,,,,,,
,,261,,Vacant,,M,,0,54:00,,,0,,,,,13,M16,M16,,,,,,,,,,,,,,,,0,0,0,3,M16-Ž45,2.5,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,262,,Vacant,,M,,0,56:00,,,0,,,,,13,M16,M16,,,,,,,,,,,,,,,,0,0,0,3,M16-Ž45,2.5,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8135002,26,Gobec,Jan,,M,,0,34:00,63:22,29:22,0,4,VIH,OK Vihor,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,1,,63:22,32,01:51,33,04:16,42,05:02,36,08:46,38,10:18,46,14:17,51,16:45,53,19:54,55,22:23,59,25:16,56,27:03,100,29:02,,,,,,,,,,
,1289347,22,Kukec,Jura,,M,,0,40:00,72:08,32:08,0,4,VIH,OK Vihor,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,2,,72:08,32,01:58,33,03:35,42,04:12,36,09:29,38,11:01,46,16:49,51,19:15,53,21:33,55,24:53,59,27:31,56,29:42,100,31:48,,,,,,,,,,
,446318,88,Cindrić,Antonio,,M,,0,38:00,89:45,51:45,0,3,JEL,OK Jelen,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,3,,89:45,32,03:05,33,05:39,42,06:35,36,21:42,38,23:26,46,29:09,51,33:25,53,37:11,55,41:16,59,45:04,56,48:15,100,51:24,,,,,,,,,,
,2113338,21,Kocijan,Luka,,M,,0,46:00,103:15,57:15,0,11,VAR,Orijentacijski klub Varaždin,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,4,,103:15,32,03:00,33,05:00,42,07:00,36,17:52,38,20:30,46,27:13,51,31:31,53,34:28,55,44:39,59,48:31,56,52:31,100,56:52,,,,,,,,,,
,2113340,20,Pasquino,Ivan,,M,,0,32:00,89:47,57:47,0,11,VAR,Orijentacijski klub Varaždin,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,5,,89:47,32,05:09,33,07:11,42,08:42,36,21:26,38,29:41,46,35:12,51,39:29,53,43:17,55,47:21,59,51:07,56,54:17,100,57:25,,,,,,,,,,
,7212119,257,Gobec,Timo Vilim,,M,,0,42:00,132:27,90:27,0,4,VIH,OK Vihor,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,6,,132:27,32,03:03,33,10:57,42,15:16,36,22:44,38,28:34,46,45:30,51,54:47,53,59:36,55,69:02,59,77:05,56,85:52,100,90:03,,,,,,,,,,
,,258,,Vacant,,M,,0,36:00,,,0,,,,,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,237596,165,Verović,Kristijan,,M,,0,44:00,,,1,7,JAP,OK Japetic,CRO,11,M20,M20,,,,,,,,,,,,,,,,0,0,0,4,M20,3.4,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8221221,172,Razum,Matija,,M,,0,18:00,46:43,28:43,0,7,JAP,OK Japetic,CRO,1,M21A,M21A,,,,,,,,,,,,,,,,0,0,0,6,M21A,4.4,135,17,1,,46:43,32,01:40,42,03:13,36,06:39,38,07:38,46,10:24,48,12:19,49,12:55,50,13:50,47,15:21,51,17:24,53,19:23,54,22:48,44,24:27,59,25:35,56,27:03,57,27:33,100,28:25
